"county_fips","per_highCh","pred_outcome"
"01001",41.3,37.2733541648978
"01003",42.8,39.9905876953826
"01005",43,40.5749416508915
"01007",42.4,38.6439242750393
"01009",42.2,40.4813516246794
"01011",43.2,39.2212236889825
"01013",43.4,42.0954450486368
"01015",40.4,39.4038772645007
"01017",41.8,41.537745295506
"01019",45.9,42.897281979068
"01021",43.3,39.3785307624702
"01023",45.3,42.4494576724106
"01025",42,40.7974162536935
"01027",44.5,41.3640335686927
"01029",43.2,41.2168481799621
"01031",40.4,38.4486179052971
"01033",42.7,40.8490442809253
"01035",45,43.2783297735043
"01037",44.8,43.6009625181393
"01039",44.5,41.9483747939096
"01041",42.5,40.7389417008928
"01043",41.5,40.4303051437935
"01045",42.1,39.3273874261068
"01047",44.1,39.8714216416955
"01049",42.6,40.0263537695436
"01051",40.6,37.8360756421327
"01053",42.8,40.2726211851817
"01055",42.5,40.5896944372224
"01057",43.4,41.7861322626141
"01059",43.7,39.2060189495378
"01061",43.6,41.9232858063083
"01063",45.1,42.0937565275463
"01065",42.1,39.8683391619727
"01067",43.9,42.1984378958043
"01069",40.2,39.2965902397167
"01071",43.2,41.5117852226533
"01073",39.5,36.9012538752924
"01075",45.1,42.3691850309966
"01077",40.3,40.5242412740517
"01079",42.7,40.1530305419811
"01081",36.5,34.1986699669109
"01083",40.4,36.9841148002718
"01085",43,40.0524901019012
"01087",39.4,40.357403153905
"01089",38.7,35.7236281343498
"01091",44.3,39.8441119110308
"01093",44.2,41.9286621735725
"01095",42.5,39.1479622836964
"01097",40.2,38.4670820406758
"01099",43.2,41.6869172216746
"01101",38.1,36.3019471892448
"01103",41.8,39.3531799968648
"01105",43.5,40.2710291443879
"01107",42.6,40.0009402859018
"01109",36.6,36.458908735236
"01111",44.4,40.8328488916499
"01113",41.1,37.8031064445946
"01115",42.7,39.2528341013377
"01117",40.4,36.3664062348301
"01119",39.9,39.0659290237826
"01121",42.1,39.807045791631
"01123",45.1,42.3200715860312
"01125",38,35.2756202069784
"01127",41.9,40.7929452661268
"01129",43.3,40.3199486178471
"01131",43.9,41.1018499101697
"01133",45.9,42.3778788653546
"04001",33.8,34.241089313653
"04003",40.9,36.9654626504602
"04005",31.6,32.5743694890905
"04007",40.6,40.0371019323717
"04009",33.2,34.2197224885772
"04011",34.8,32.460494976826
"04012",43.4,45.0925113123666
"04013",36.5,34.379867257074
"04015",41.9,41.7782887469724
"04017",36.3,35.820579914272
"04019",37.9,35.766757338633
"04021",40.3,36.6210917768211
"04023",39.1,35.6640853279162
"04025",41,41.2546513426926
"04027",35.9,37.2770422326497
