"county_fips","per_heartD","pred_outcome"
"01001",7.4,6.350597096828
"01003",8.2,7.50470470279669
"01005",10.5,9.12216729572779
"01007",8.8,8.02467369085795
"01009",9.2,8.04481549634991
"01011",10.3,8.63396469959178
"01013",9.9,9.49685366522853
"01015",8.2,7.8542524315483
"01017",9.7,8.69451410291144
"01019",10.1,9.09965708815319
"01021",8.4,7.6511620274199
"01023",11.1,9.94506117070177
"01025",9.8,9.30275874995762
"01027",10.4,8.99013996047977
"01029",10.1,8.04163695814632
"01031",8,7.36760555491007
"01033",8.9,8.44061459602588
"01035",11.2,9.86023992005837
"01037",10.5,9.61610650123417
"01039",9.2,9.07069636769292
"01041",9.2,8.44815873525372
"01043",9.6,7.93840950773442
"01045",9,7.70847847786563
"01047",10,9.29997920259276
"01049",10.5,8.18501465690161
"01051",7.3,6.57716582582441
"01053",9.6,8.69894183209913
"01055",9.5,8.08304734773495
"01057",10.6,9.4153980637402
"01059",9.9,7.96795446696901
"01061",10.3,8.93694602127064
"01063",11.5,10.9860506788429
"01065",9.7,9.17950343203659
"01067",10.6,8.95379889949125
"01069",8.8,7.68718266284907
"01071",10.3,8.87713180456793
"01073",7.4,6.63804481038888
"01075",10.1,9.30963878247805
"01077",8,8.05371446030719
"01079",9.7,8.29497930147207
"01081",6.2,5.36469807267098
"01083",7.2,6.5262978726274
"01085",10.5,9.24164294872144
"01087",9.3,9.13180787268244
"01089",6.6,5.77359466282366
"01091",9.9,8.7085837685595
"01093",10.8,9.05765703148427
"01095",8.2,7.62195935561039
"01097",8.7,7.37881304269515
"01099",10,9.4147947895095
"01101",7.8,6.74432228145882
"01103",8.9,7.42125473637856
"01105",10.7,10.0672002761852
"01107",9.5,8.94882971956553
"01109",6.8,7.08626824779297
"01111",9.7,8.80150708481695
"01113",8.4,7.48086025911115
"01115",7.6,7.26771704648185
"01117",6.1,5.51144076515308
"01119",8.6,9.11172868684231
"01121",9,8.2817375484732
"01123",10.1,9.08336910238229
"01125",6.5,6.05105174764455
"01127",10.1,8.54531916206292
"01129",10.2,8.72441929280456
"01131",11.1,9.9673106258342
"01133",10.6,9.33480422243669
"04001",11.4,9.24657957687001
"04003",9.3,7.72758094313606
"04005",6.2,5.57225310752256
"04007",11.1,9.88380600240085
"04009",7,6.47941917381339
"04011",6.5,5.59279311509327
"04012",14.9,12.9026576428087
"04013",6.5,5.54969542376887
"04015",11.5,9.91871883028927
"04017",10.2,8.58387873788946
"04019",7.1,6.80285803522687
"04021",8.1,7.20700033041134
"04023",8,7.72813457925256
"04025",10,9.50705724287262
"04027",8.7,7.79743372242912
"05001",10,9.06692275959504
"05003",11,10.0150733441668
"05005",12.3,11.1355122830695
"05007",6.5,5.3900516927855
"05009",9,8.71678834266252
"05011",9.9,8.63959054893305
"05013",9.2,9.11088239124391
"05015",10.7,9.23889792368291
"05017",11.2,10.1479969871551
"05019",8.2,7.40196611031114
"05021",10.8,9.55924489231211
"05023",11,10.5273349693985
"05025",10.9,8.98023743903529
"05027",8.3,8.35409104869655
"05029",10.4,8.94229053446567
"05031",7.9,6.53466102295187
"05033",9.3,8.00432810434299
"05035",8.2,7.73463268752786
"05037",9.8,8.78350873800746
"05039",10.6,10.0045877870898
"05041",11.1,9.88653548369406
"05043",8.6,8.14260290479122
"05045",6.7,6.00651214286638
"05047",10.3,9.45448694464827
"05049",13.8,10.3516066267176
"05051",10,9.17181785422726
"05053",8.6,7.92268153214206
"05055",9.1,7.78347085943672
"05057",9.4,8.87768128429855
"05059",9.5,8.84299757707884
"05061",8.9,8.5209175991982
"05063",9.7,8.38030626773674
"05065",10.3,10.3617971472302
"05067",9.5,8.86128273449775
"05069",8.5,8.35317059115963
"05071",10.3,8.59872346417702
"05073",12.4,10.5593048145096
"05075",10.5,8.80538903812231
"05077",10.3,10.1535304145808
"05079",8.3,7.67158603147977
"05081",9.4,8.54513566360494
"05083",10.3,8.77585014063295
"05085",7.8,6.66052095195761
"05087",10.1,9.30045041027384
"05089",12.8,11.2881155218468
"05091",9,8.10680622801186
"05093",9,8.01028610090668
"05095",11.6,10.6658728575975
"05097",12.3,10.6697561950834
"05099",10.7,10.4279029925068
"05101",11.3,10.2521139745379
"05103",9.7,9.36989910660008
"05105",10,8.94424958996527
"05107",11.1,10.1718528294657
"05109",9.8,8.8764601941365
"05111",10.5,9.0154101404049
"05113",10.7,9.44020041718221
"05115",9.1,7.50661655867845
"05117",10.3,9.33283733673393
"05119",7.7,6.51995774412828
"05121",11,8.93459332642118
"05123",9.6,9.23735281313396
"05125",7.7,6.97676269495968
"05127",11.1,9.31756664158742
"05129",13,11.1730090390931
"05131",9.3,7.35442119392357
"05133",8.7,7.87645660757001
"05135",11.1,10.5066026506899
"05137",12.7,11.3289322656484
"05139",8.9,8.49004173068886
"05141",12.5,10.8791439632516
"05143",6.8,5.68936239870472
"05145",8.9,7.67472777348175
"05147",11.3,10.1735875525458
"05149",10.3,8.08449299404711
"06001",5.1,4.1393793236067
"06003",8,7.18096428654748
"06005",8.6,8.2440396981518
"06007",6.7,6.50048886960047
"06009",9.3,9.07179637325147
"06011",7.3,6.44670296935282
"06013",6,4.87258674250343
"06015",9,7.02235690130283
"06017",6.9,6.62586029213476
"06019",6.3,5.6235844439332
"06021",7.4,7.02502783044101
"06023",7.3,6.74762863291352
"06025",6.9,6.41990730634553
"06027",7.7,7.52902190943685
"06029",6.3,5.67728546479098
"06031",6,5.31777064185917
"06033",8.5,7.9301594924333
"06035",7.3,6.46832883352125
"06037",5.4,5.42440520413863
"06039",7,6.45470804704704
"06041",6.4,5.51701619620498
"06043",10.7,9.03168628998099
"06045",8.3,7.89924590827365
"06047",6.6,5.81239622862715
"06049",10.2,9.29256876437277
"06051",6.5,5.92488713601657
"06053",6.5,5.61693302352637
"06055",7.1,6.06259964918776
"06057",8.8,7.92812649084334
"06059",5.7,4.95781060492275
"06061",6.5,5.80546407024825
"06063",9.2,9.04618970725714
"06065",6,5.9059209604084
"06067",6,5.27873748776179
"06069",5.2,5.50489727475689
"06071",5.6,5.56894835263966
"06073",5.5,4.87428009707797
"06075",4.7,4.09294407406048
"06077",5.9,5.55677341779976
"06079",6.5,6.38826609413568
"06081",5.2,4.44567348879409
"06083",5.9,5.6636061965127
"06085",4.9,3.72660197118477
"06087",6,5.47595731882564
"06089",7.8,7.35844674797978
"06091",9.6,9.77334647668631
"06093",9.3,8.61923083072758
"06095",5.9,5.64329290095225
"06097",6.4,6.21087560012753
"06099",5.9,5.83388107579473
"06101",7.2,6.12445251444297
"06103",7.8,7.49314266086108
"06105",10.4,9.51932561445385
"06107",6.4,5.90058147394782
"06109",8.4,8.37837264007534
"06111",6.2,5.5790076913755
"06113",5.4,4.72386664904399
"06115",6.4,5.97614422236821
"08001",5,5.17273408859326
"08003",5.9,6.28313180900541
"08005",5.1,4.53366237275032
"08007",8,7.42420318565571
"08009",9.6,8.41573041073068
"08011",8.5,6.90052626735325
"08013",4.9,4.02144138336361
"08014",4.5,3.99151637662091
"08015",8.1,6.87074638108997
"08017",7.8,7.54185104665802
"08019",6.3,5.81097295729846
"08021",8.2,7.6768484637709
"08023",10.3,8.99435814157912
"08025",6.9,6.33037739287245
"08027",9.6,8.10992342248452
"08029",8.7,8.14801160310503
"08031",4.6,3.86840219890777
"08033",7.7,9.8917125937689
"08035",4.6,3.65029677790703
"08037",5,4.40349930487692
"08039",6.4,6.17660778645389
"08041",5.3,4.84364131088045
"08043",8.1,7.06956526797414
"08045",5.5,5.6166512084239
"08047",6.7,5.60548438208101
"08049",6.2,6.35693225872869
"08051",4.6,4.34888921073075
"08053",8.4,8.38182818442199
"08055",9.6,8.97659767957249
"08057",10,9.0931029626772
"08059",5.7,4.90438024442965
"08061",9.8,8.45193461937245
"08063",7.9,7.61501941714478
"08065",4.9,5.30220527233821
"08067",5.9,5.90205810782973
"08069",5,4.90939209230961
"08071",8.9,8.37525226128186
"08073",7.4,6.57541940096297
"08075",7.4,6.91560219669999
"08077",6.6,6.43283454825496
"08079",8.2,6.85458654509755
"08081",7.3,6.33764321645086
"08083",8.4,7.60222180907316
"08085",7.9,7.63459256544578
"08087",6.4,6.84532116361888
"08089",9.5,7.73897843416301
"08091",7.7,8.34600893213184
"08093",6.7,6.79113328323199
"08095",8.5,7.44567512607096
"08097",5.6,4.85474288050584
"08099",7.6,7.34007604256889
"08101",6.9,6.85322182425684
"08103",6.6,6.72391582528561
"08105",6.9,7.02486518689922
"08107",5.8,5.1447977274882
"08109",9.7,8.35908515854814
"08111",7.3,7.52026566386665
"08113",5.9,4.89493923665088
"08115",11.3,8.45391344618743
"08117",5.4,4.45319782700081
"08119",7.4,6.82033706513482
"08121",7.8,7.43860319834187
"08123",5.4,5.46971127581704
"08125",7.8,7.30386008730443
"10001",6.6,6.58047617586809
"10003",6.2,5.70755912367608
"10005",9.5,8.48210228775485
"11001",4.3,4.13477357595931
"12001",6,5.02122213238107
"12003",7.5,7.077276078279
"12005",7.8,6.93143955627481
"12007",9.3,8.11623156915115
"12009",8.2,7.71173868052097
"12011",7.9,5.9431964177635
"12013",10,8.28076677413978
"12015",12.3,12.565667274822
"12017",12,12.2127211609981
"12019",7,6.23274376036696
"12021",10.4,9.53485132734396
"12023",9.7,8.23019153392234
"12027",11.6,9.81012668315811
"12029",11.3,9.87654472061507
"12031",6.9,5.69259062877876
"12033",8,7.01484673519296
"12035",10.5,9.70802795298185
"12037",10.5,9.47542281484505
"12039",9,8.56103242625196
"12041",9.9,8.32378965334285
"12043",12.6,10.5421247133126
"12045",9.4,8.55635147476494
"12047",10.4,9.10854138675427
"12049",9.6,8.42494223005258
"12051",8.4,7.39227363622065
"12053",10.5,9.62521309462942
"12055",13.1,12.0830065336118
"12057",6.5,5.34741164132241
"12059",9.9,8.65468046817129
"12061",11.1,10.2365576939176
"12063",9.8,8.99838088720239
"12065",9.3,9.33316967148903
"12067",10.4,8.84777296506031
"12069",9.7,8.93801721023031
"12071",10.1,9.31713751108197
"12073",5.8,4.90524903238116
"12075",10.6,9.55695824622477
"12077",8.7,7.02335529099485
"12079",10.4,9.52760443671439
"12081",9.8,8.87696335725345
"12083",11,10.0387241711281
"12085",10.4,9.52180053052306
"12086",7.7,6.11329174677231
"12087",8.6,7.41691300737697
"12089",8.4,7.50646299646258
"12091",6.8,5.98711692728173
"12093",10.2,8.28722495184185
"12095",6,4.66059858342404
"12097",6.6,5.65936409787298
"12099",9.6,7.3911171953794
"12101",8.1,7.89890753502849
"12103",9.7,8.14422635711764
"12105",8.6,7.8511960744035
"12107",11.3,9.79188334990282
"12109",6.9,5.69459159107267
"12111",9.2,8.48739255115818
"12113",7.2,6.18195400467456
"12115",10.4,10.6771249083221
"12117",6.5,5.05434031605264
"12119",13.6,16.1713450262996
"12121",10.1,8.57825816478577
"12123",10.3,8.58388732705969
"12125",8.6,7.96022803817061
"12127",8.3,8.51996057206915
"12129",7.4,6.53314852111717
"12131",8.2,6.86794519305033
"12133",9.2,8.26245204242353
"13001",8.7,8.60198575688147
"13003",8.9,7.72296968855533
"13005",8.4,8.22251301832861
"13007",11.2,10.2759054527271
"13009",7.3,7.28620940428727
"13011",7.9,7.38854111508033
"13013",6.1,5.96238150080039
"13015",6.8,6.3793062695608
"13017",9.4,8.61142492283093
"13019",9,8.29916417602393
"13021",7.9,7.34943065292844
"13023",7.8,7.37845756323962
"13025",8.9,7.95026691871675
"13027",10,8.97414510226219
"13029",5.3,4.29858348167612
"13031",5.6,5.79887278725019
"13033",7.8,7.46060791222585
"13035",7,7.33825260105818
