"county_fips","per_copd","pred_outcome"
"01001",7.8,7.10249588774414
"01003",7.9,7.80723641982592
"01005",11.7,10.4784269643439
"01007",10.3,9.92992861106348
"01009",10.5,9.83995250584099
"01011",12.3,10.1436041472458
"01013",10.9,10.8573945971923
"01015",9.1,9.29261980246441
"01017",11.3,10.0127693061113
"01019",10,10.6317276339508
"01021",9.2,9.14351191725501
"01023",12.5,11.1741816965055
"01025",11.3,10.7256033584063
"01027",11.9,10.6468363990835
"01029",12,9.40745241182769
"01031",8.2,8.45195609711971
"01033",9.3,10.2653857115931
"01035",11.7,10.9950610715865
"01037",10.9,10.6990091938277
"01039",9.4,10.4516032139555
"01041",10,9.62541141242738
"01043",10.8,9.54884339482531
"01045",10,8.9316158126019
"01047",11,10.667461535902
"01049",13,10.1578133130646
"01051",7.6,7.44295284588773
"01053",10.9,10.2155308288131
"01055",10.4,9.45872835361399
"01057",12.1,11.4737370587463
"01059",11.4,9.77837339789745
"01061",11,10.516292109673
"01063",13,11.935671485413
"01065",10.7,10.5585480606157
"01067",12.5,9.70392444880161
"01069",9.6,8.66982922971323
"01071",12,10.9646110466054
"01073",7.4,7.0210462676874
"01075",11.2,11.0917510208486
"01077",8.3,9.45475411743632
"01079",11.4,9.98531471674305
"01081",6.9,5.91894525847196
"01083",7.5,7.70248793798897
"01085",12,10.437119613436
"01087",10.3,9.96005840571222
"01089",6.4,6.02334292981273
"01091",11.3,9.65959218331873
"01093",12.4,11.0591074046188
"01095",8.8,9.31834473754997
"01097",9.7,8.31831646079403
"01099",11,10.7802158895701
"01101",8.3,7.12004665515146
"01103",9.8,8.59566322031981
"01105",12,11.7960029298723
"01107",10.5,10.4427442168946
"01109",7.2,8.1849373709263
"01111",10.6,10.2119560662603
"01113",10.1,8.88430534452762
"01115",7.9,8.54529427671028
"01117",5.5,5.49289143400045
"01119",9.5,10.2927633751962
"01121",10.3,9.6849033023785
"01123",10.6,10.1744663229639
"01125",7.4,6.97506555627269
"01127",12.4,10.2819737580384
"01129",11.3,9.97156038760337
"01131",13.3,11.4066507678816
"01133",11.6,11.4309880644991
"04001",13.5,10.5689325962733
"04003",9.3,7.71788290459781
"04005",6.7,6.00523228753108
"04007",11.5,9.85308927839079
"04009",7.1,6.96879196675822
"04011",6.3,5.77682763996205
"04012",14.5,13.1101510341688
"04013",6.3,5.85836917915331
"04015",11.8,10.0909314052765
"04017",11.7,9.27109013945404
"04019",6.8,6.8711788270195
"04021",8.3,7.49376937958393
"04023",6.5,8.21293714386763
"04025",10.7,9.31962990273732
"04027",7.6,8.3688512592905
"05001",11.1,10.2370121110818
"05003",11.3,11.8063837419617
"05005",12.3,11.6790796243723
"05007",6.1,5.2132013388496
"05009",9.2,9.96677474058603
"05011",10.9,9.75802803321825
"05013",9.4,9.88434789023478
"05015",10.8,10.110044856973
"05017",12.3,11.4187908040798
"05019",9.1,8.47511381623177
"05021",12.1,11.5702431499024
"05023",10.5,11.3718092207397
"05025",12.3,9.67417877602033
"05027",8.7,9.66821879435615
"05029",11.8,10.2965329074304
"05031",9.1,7.9882398315327
"05033",10.5,9.2505424273763
"05035",9.2,9.0509571307757
"05037",10.7,10.3288479359357
"05039",11,10.227613620143
"05041",13.1,11.5592916012007
"05043",8.9,9.19003400006877
"05045",6.8,6.76737902186056
"05047",11.7,11.0557369624882
"05049",15.8,11.864548821191
"05051",9.2,9.96070569488249
"05053",8.8,8.92937461044822
"05055",10.8,10.0038712305046
"05057",10,10.3668729282768
"05059",10.1,10.31621251885
"05061",8.6,9.81678891506723
"05063",10.8,10.2660453916516
"05065",10.3,11.3935604722027
"05067",11.2,10.7772461724254
"05069",9.4,9.04585266390449
"05071",12,10.3228288094589
"05073",14.2,11.9623099851408
"05075",12.5,10.9372472565422
"05077",11.6,11.8672155225364
"05079",9.3,9.27294048545052
"05081",9.7,9.17037305712948
"05083",11.8,9.92953194732142
"05085",8.3,7.83521891540587
