GEOID,under_18,over_65,median_age,male_over65,female_over65,white,black,asian,hispanic,male,female,less_than_9th,bach,high_school,poverty,median_income,uninsured,CountyFIPS,StateAbbr,per_arthritis,per_HighBP,per_cancer,per_asthma,per_heartDisease,per_copd,per_smoking,per_depression,per_diabetes,per_highChol,per_obesity,per_stroke,Food_environment_index,primCare100k,per_rural
0500000US48445,27.4,14.8,35.4,45,55,63.5,4.5,0.2,57,54.6,45.4,14.7,11,29.2,22.4,42694,21.8,48445,TX,26.5,37.5,6.7,10.1,8.7,9.1,19.5,23.4,17.6,38.3,42.2,4.5,5.8,40.52849153,24.67
0500000US48447,18.3,25.5,48.8,55,45,92.4,0.2,0.4,12.9,53.7,46.3,6.2,20.2,73,14,55221,26.5,48447,TX,33.6,42.7,11.1,9.8,10.4,9.9,14.9,23.1,15.8,42.2,37.3,4.8,4,66.62225183,100
0500000US48449,28.8,14.5,34.4,46.3,53.7,60.7,9.6,1.3,45,49.8,50.2,12.6,15.3,40.8,18.3,57634,19.8,48449,TX,27.7,37,7.1,10.2,8.1,8.8,17.4,23.6,15.8,38,39.9,4.3,6.5,42.7480916,50.56
0500000US48451,24.1,15.9,35,45.5,54.5,73.1,3.9,1.3,41.8,50.1,49.9,6.2,24.6,30,11.7,67215,13.8,48451,TX,26.6,33.5,7.2,9.8,7.6,8,15.5,23.4,14.1,35.4,36.7,3.7,7.1,73.82550336,15.64
0500000US48453,20.7,10.4,35.1,45.4,54.6,63.1,8.3,7.2,33.3,51.1,48.9,5.3,53.8,24.8,11.3,92731,12.5,48453,TX,18.2,25.8,5.7,9.5,5.1,5.3,12.4,22.3,10.8,32,29.6,2.6,7.8,87.83676648,5.46
0500000US48455,19.7,26.4,50.1,48.5,51.5,81.4,8.4,0.1,11.5,49.4,50.6,5.3,14.8,45.8,14.2,51165,17.3,48455,TX,34,45.1,10.6,10.1,10.5,10.8,17.3,23,16.9,42.4,38.6,5.2,6.4,13.65094533,77.24
0500000US48457,19.1,22.1,42.6,47.3,52.7,81.7,10.6,0.8,7.2,54.2,45.8,5.8,13.1,50.8,18,50898,15.9,48457,TX,31.8,40.7,9.5,10.1,9.8,10.7,18,23.9,15.4,40.1,39.4,4.9,5.6,18.4569952,78.13
0500000US48459,23.8,18.3,40.9,46.3,53.7,83.9,7.5,0.5,9.3,49.7,50.3,4.3,17,34.8,14.6,60456,16.4,48459,TX,33.1,39.1,8.8,11,9.3,11,20.4,25.8,15.4,38.3,40.8,4.8,7.3,28.74044979,79.3
0500000US48461,27.2,16.4,39.9,42.1,57.9,43.5,2.2,1.1,56.3,49.9,50.1,11.5,9.7,57.4,20.3,55284,11.8,48461,TX,27.1,34.6,6.8,10,8.8,9,18.7,23,17.3,37,41.3,4.4,7.8,54.68963631,100
0500000US48463,26.1,16.3,34.2,44.4,55.6,77,1.1,1.8,72.3,50,50,12.4,19.1,28,24.1,55000,19.3,48463,TX,24.5,33.8,6.5,9.5,7.9,7.1,14.5,21.9,16.6,37,40.4,3.9,5.6,37.39575932,31.38
0500000US48465,28,13.9,31.7,44.7,55.3,72.4,1.2,0.6,82.4,51.7,48.3,16.1,20.2,43.9,16.2,57250,20.6,48465,TX,21.4,33,5.2,9.2,7.5,6.5,14.9,20.8,16.8,35.7,40.8,3.8,5.8,34.67618562,10.16
0500000US48467,22.8,20.1,42,45.5,54.5,89.9,2.8,0.5,12.4,49.3,50.7,4.2,17.1,60.9,13.1,62334,17.7,48467,TX,30,38.3,9.5,10.8,8.9,10.1,17.4,25.7,14.3,40.5,36.2,4.4,6.7,12.36967662,75.02
0500000US48469,25.2,16.4,36.3,44.7,55.3,69.1,5.5,1.4,48.5,49.3,50.7,6.7,19.2,35.4,16.6,66308,16.4,48469,TX,25,35.4,7.3,10,7.7,7.9,16.2,23.3,15.1,37.8,38.7,3.8,7.2,74.93158421,26.63
0500000US48471,14.2,13.5,36.5,49,51,64.9,21.9,1.2,18.4,59.1,40.9,5.9,19.3,27.2,19.5,47193,15,48471,TX,24.4,35.3,6.4,10.2,7.3,8.2,18.2,23.4,13.7,34.2,40.7,3.9,7.3,28.77855587,45.58
0500000US48473,23.3,11.5,28.7,47.1,52.9,48.9,24.7,1.5,30.9,49.6,50.4,6.7,24.9,26.2,13,71643,18.3,48473,TX,20.3,30.3,5.5,10,5.8,6.5,14.2,22,11.9,32,39.4,3.1,7.1,14.48068639,61.64
0500000US48475,29,13.4,35.2,43.1,56.9,74.9,6.3,0.7,55.7,50.5,49.5,10.1,11.3,48,13.6,70771,12,48475,TX,23.8,35,6.3,9.8,7.2,7.3,17.2,22.8,15.3,36.9,40.8,3.6,8.4,16.66944491,27.89
0500000US48477,21.4,21.7,41.9,45.3,54.7,71.8,18,0.7,17.3,49.2,50.8,4.1,28.9,34.7,11.9,70043,13.4,48477,TX,28.8,39.1,9.2,9.9,8.6,9.1,15.4,22.1,14.8,37.6,36,4.3,7.4,55.73825316,53.49
0500000US48479,31.8,9.7,29.4,42.9,57.1,53.7,0.5,0.5,95.4,49.6,50.4,15.9,20.6,36.5,21.4,59984,28.4,48479,TX,18.6,30.4,4.5,8.8,5.8,4.4,11.9,20.1,15.4,36,41,2.9,6.8,30.36305539,2.6
0500000US48481,25.8,17.2,37.7,45.6,54.4,70.8,12.9,0.5,43,49.9,50.1,8.4,18.1,32.3,14.6,59712,19,48481,TX,26.9,37.3,7.7,10.1,8,8,16.5,22.4,15.7,38.2,40.7,4.1,7.5,36.09587063,49.9
0500000US48483,24.6,20,40,49.6,50.4,85.3,2.7,0.3,25.5,51.8,48.2,6.9,17.3,43.6,18.3,58158,22.3,48483,TX,30.7,40.2,9.3,10.1,9.7,10.4,18.5,24,16.1,40.4,39.4,4.8,7.3,39.55696203,100
0500000US48485,22.7,14.9,34.8,43.8,56.2,75.8,10,2.3,20.4,51.8,48.2,5.5,23.9,39.7,15.8,58862,14.7,48485,TX,25.3,36.5,7.3,10,7.1,7.7,15.9,24.3,13.1,36.2,37.8,3.6,6.4,83.94464191,10.67
0500000US48487,22.8,17.8,37.2,45.7,54.3,68.4,7.6,3.3,30.4,49.3,50.7,8.7,16.6,45.9,18.4,50769,11.4,48487,TX,30.1,39.6,8.1,10.6,9.6,10.6,19.7,24.2,17.2,39,41,5.1,5.6,31.32586734,21.89
0500000US48489,24.1,14.6,33.7,44.6,55.4,69.5,0.9,0,88.3,54.4,45.6,17.1,10.5,47.4,26.6,42839,28.3,48489,TX,22.3,36.5,4.9,9.1,8.3,7.5,16.7,20.7,19.5,37.8,47.4,4.4,4.6,32.77460436,34.58
0500000US48491,24.7,12.6,36.9,44.1,55.9,67.6,6.8,8.2,25,49.7,50.3,2.8,46.3,40,6.3,102851,9.7,48491,TX,23.3,29.9,6.8,9,5.3,4.8,11,21,10.4,34.4,30.1,2.5,7.8,68.74935442,11.99
0500000US48493,23.7,16.2,39.9,48.3,51.7,76.9,1.6,0.4,40.7,50.6,49.4,4.7,25.4,40.7,10.3,89708,12.2,48493,TX,25.4,34.2,7.7,9.4,7.3,6.9,15.3,22.1,14.6,37.3,42.5,3.4,8.6,43.07812806,85.86
0500000US48495,28.8,13.6,36.2,45.2,54.8,64.9,5.5,0.6,62.6,51.8,48.2,12.5,9.1,60,12.6,89155,18.7,48495,TX,23,32.9,6,9.7,6.8,6.6,16.7,22.1,15.2,36.2,39.5,3.3,8.5,24.96878901,18.13
0500000US48497,24.5,15.2,39.3,47.2,52.8,86.3,1.4,0.6,20.4,50.6,49.4,5.7,20.8,46.3,9.1,85385,16.2,48497,TX,28,34.4,8.1,10,7.5,8.6,18,23.6,13.2,37.8,41,3.6,7.7,40.00914495,72.11
0500000US48499,18.8,26.9,48.4,47.2,52.8,85.9,4,0.6,10.8,50.2,49.8,5.3,21.1,40.6,12.6,61748,15.1,48499,TX,33.4,41.4,11,9.8,9.8,9.7,15.8,22.6,15.1,41.8,35.2,4.5,6.7,41.72247963,74.2
0500000US48501,32.3,10,30,49.4,50.6,64.7,1.6,0.5,67.9,46.9,53.1,19.2,9.7,21.2,13.6,80317,19.8,48501,TX,23,32.1,5.9,10.1,7.5,7.9,18.3,23.4,15.9,35.4,40,3.8,8.6,34.43130954,37.33
0500000US48503,23.9,20.9,40.3,45.4,54.6,88.2,1.8,0.3,19.7,49.3,50.7,5.2,22.5,65,15.7,65565,18.9,48503,TX,30.1,37.9,9.2,10.1,8.8,9.4,17.7,24.4,14.6,38.9,38.4,4.2,6.7,88.83953359,33.57
0500000US48505,32.6,13.7,30.9,47.1,52.9,52.7,0.1,0.2,94.7,50,50,19.7,11.3,44.9,37.2,35061,26.9,48505,TX,25.7,36,5,10.4,9.6,9.1,19.9,22.9,22,37.2,45.4,5.2,6.2,7.052683546,23.53
0500000US48507,29.4,16.1,33.2,47.1,52.9,57.9,0.7,0.3,93.8,52.6,47.4,16.5,13.8,27.3,31,49243,12.2,48507,TX,24.1,38.1,5.1,9.9,8.6,7.4,17,22.1,21,39,47,4.5,4.3,8.445945946,38.03
0500000US49001,30.8,14.1,33.8,53.1,46.9,89.1,0.1,0,12.9,53.7,46.3,3.2,27.5,25.8,7,80268,11.9,49001,UT,26.3,29.8,8.3,10.9,6.3,6.3,9.8,23.7,10.5,33.3,32.3,3.2,8.2,89.41877794,56.52
0500000US49003,31,12.6,33.1,48.6,51.4,90.3,0.4,1,9.9,51.2,48.8,2.1,25.8,50.3,8.1,72769,8.1,49003,UT,26.2,30.2,7.9,11.4,5.5,5.6,10.1,25.2,9.5,33.3,31.8,2.8,8.2,30.3322271,31.1
0500000US49005,29.6,9.7,25.5,47.8,52.2,87.3,0.7,2,11,50.3,49.7,2.4,40,26.8,13.5,72719,6.5,49005,UT,20.8,24.3,6.3,11.5,4.8,5.3,9.7,27.1,7.9,28,32.6,2.6,7.6,44.43093328,15.69
0500000US49007,25.8,18.4,37.8,47.4,52.6,89.6,1.1,0.3,13.8,50.2,49.8,2.4,16.7,39.4,16.6,53734,7,49007,UT,31.2,33.4,9.2,12.3,7.6,8.2,13.3,26.8,12.9,38,34.9,4.1,7,34.20808288,33.71
0500000US49009,25.4,18.5,43.3,65.3,34.7,92.8,0,0,2.8,57.4,42.6,0.7,18.2,48.9,7.8,61250,6.2,49009,UT,36.3,36.5,11.5,11,9,7.9,10.3,23.5,13.6,38.3,34,4.3,7.7,0,100
0500000US49011,31.1,10.5,32,46.4,53.6,87.4,1.2,1.8,10.5,50.8,49.2,1.4,38.4,38.6,6,101285,5.9,49011,UT,23.7,25.8,7.5,10.8,4.5,4.4,7.9,27.7,9,31.3,30.1,2.4,8.6,48.94776373,0.92
0500000US49013,32.8,12.3,33.1,49.4,50.6,88.8,0.4,0.4,8.5,50.6,49.4,2.2,14.4,41.4,13.5,70821,14.2,49013,UT,27.3,30.5,8.2,11.9,6.6,7,12,25.8,10.8,30.8,33.1,3.5,7.5,45.1399338,68.21
0500000US49015,28.6,17.7,38.4,48.6,51.4,95.6,0.1,0,6.8,50.9,49.1,2.1,15.6,47.1,11.8,67056,7.8,49015,UT,30.3,33.6,9.3,12,7.5,7.9,12.2,26,12.2,34.9,34.5,3.9,7,9.988014383,73.64
0500000US49017,22.1,22.9,40.4,50.1,49.9,94.2,0.1,0,7.4,51.5,48.5,1.4,30.3,52.9,15.9,56481,14.5,49017,UT,31.3,34.9,10.8,11,8,7,9.8,24.2,12.7,36.4,35.7,4,5.5,39.59611958,100
0500000US49019,18.4,19.7,40.3,46.9,53.1,87.1,0,1.4,10.9,51.1,48.9,1.9,31.7,50.2,15.7,59171,12.2,49019,UT,29.4,33.5,9.3,11.3,7.6,7.7,11.4,25.6,12.3,34.9,31.1,4,8,123.0264507,25.39
0500000US49021,27.8,12.9,29.5,49.6,50.4,88.2,0.7,1.1,9.7,50.3,49.7,2,30.4,26.2,14.1,63005,10,49021,UT,26,29.7,7.5,11.1,5.6,5.4,9,25.5,9.4,31.9,31.8,2.9,6.4,38.29391492,22.55
0500000US49023,33.7,12.5,30.1,48.5,51.5,92.6,0.6,0.6,5.7,52.6,47.4,1.3,21.4,55.8,8.6,88048,7.5,49023,UT,24.4,28.8,7.6,11.3,5.8,6.2,9.6,25,9.5,31.6,34,3,7.1,66.57235583,43.47
0500000US49025,22.8,23.8,42.9,48.9,51.1,93.2,0.2,1.1,5.4,49.9,50.1,1.5,32.4,37.2,12.9,70327,7.8,49025,UT,33.7,34.3,10.7,11.2,8.2,7.7,9.8,24.2,12.6,37.1,36.3,4.1,6.7,38.04209992,54.92
0500000US49027,31.2,17.3,34.4,49.9,50.1,85.9,0.2,1.7,12.7,51.5,48.5,3.2,23.6,40.6,11.2,69403,11.1,49027,UT,26.6,31.1,9.2,11.5,7.2,6.8,11.1,25.6,11.7,34.8,34.7,3.6,7.9,45.49590537,73.94
0500000US49029,34.3,12,32.1,48.1,51.9,94.9,0.6,0.4,3.1,51.9,48.1,0.6,37.6,25.1,1.7,120854,5,49029,UT,24.4,26.3,8.3,10.8,5.5,5.5,9.1,25.1,9,31.8,32,2.8,9.4,90.7291323,62.85
0500000US49031,19.2,30.9,49.5,44,56,95.3,0.2,0,4.3,53.3,46.7,4.6,19.6,19.8,20.9,33359,15.6,49031,UT,38,40.2,11.6,11.9,11.6,11.6,13.4,24.7,16.6,39.2,34.5,6.2,2.7,0,100
0500000US49033,32.2,18,33.9,63,37,88,0,0,10.1,50.6,49.4,1.9,26.8,43.1,8,69250,7.9,49033,UT,29.1,33.5,10.2,11,7,6.1,9.7,24.9,11.2,34.9,32.4,3.4,4.6,-999,100
0500000US49035,26.1,11.3,33.4,45.8,54.2,74.6,1.8,4.2,19.1,50.6,49.4,3.3,37.7,35.8,8.1,90011,9.9,49035,UT,22.2,25.6,6.8,11,4.8,4.8,8.6,27.2,9.1,30.1,32.8,2.6,8.5,77.90168704,0.9
0500000US49037,28.2,15.5,33.2,46.7,53.3,46.6,0.2,0.5,6.3,50.2,49.8,6,19.1,43.6,20.7,52108,19,49037,UT,29.4,35.4,8.1,13.3,8.3,8.5,14.4,24.8,15.1,30.2,37,5,4.2,65.32532009,77.87
0500000US49039,24.8,14.1,33.1,48,52,87,0.9,0.8,9.5,53.2,46.8,3.8,22.3,30.6,14.8,64356,10.8,49039,UT,23.7,29,8,11.7,6.2,6.8,11.9,26.7,10.2,31.5,31.5,3.4,7.5,48.48249782,40.93
0500000US49041,28.8,16.5,36.2,49.1,50.9,92.9,0.5,0.4,5.6,51.4,48.6,2.7,22.8,30.8,11.7,66972,9.4,49041,UT,29.6,31.7,9.1,11.8,7.1,7.4,11.4,27.7,11.3,36.5,35,3.7,8,46.25346901,64.71
0500000US49043,23.5,13.8,40.5,51.7,48.3,87.8,0.8,1.8,11,51.7,48.3,1.6,57.4,30.1,5.2,126392,6.9,49043,UT,22.3,25.4,8.8,10.4,5.2,4.8,7.2,22,9,32.2,23.7,2.6,8.7,135.2473603,39.2
0500000US49045,31.7,9,31.7,47.2,52.8,86.6,0.8,0.8,13.7,51,49,2.1,22.6,56.2,4.5,95545,7.5,49045,UT,22.3,27.9,6.6,11.1,4.8,5.1,10.5,27.9,9.3,28.5,39.3,2.5,8.3,13.83910655,17.7
0500000US49047,32.1,11.3,32.4,48.8,51.2,83,0.4,0.6,8.8,50.7,49.3,1.3,18,51.8,11.6,67983,13.8,49047,UT,27.1,32,7.3,11.9,6.1,7,13.1,23.8,10.7,29.3,34.6,3.4,7.4,30.78300778,46.85
