GEOID,under_18,over_65,median_age,male_over65,female_over65,white,black,asian,hispanic,male,female,less_than_9th,bach,high_school,poverty,median_income,uninsured,CountyFIPS,StateAbbr,per_arthritis,per_HighBP,per_cancer,per_asthma,per_heartDisease,per_copd,per_smoking,per_depression,per_diabetes,per_highChol,per_obesity,per_stroke,Food_Environment_Index,primCare100k,per_rural
0500000US48389,24.8,12.3,34.4,47.9,52.1,41.7,1.5,0.4,84.8,59.4,40.6,15.1,6.9,34.3,21.9,56056,20.2,48389,TX,21,35.6,4.5,8.7,7,6.2,15.6,19.6,17.6,36.4,40.7,3.8,7.7,0.000313499,14.49611841
0500000US48391,22.3,22.5,43.9,46.3,53.7,61.9,7.4,0.2,50.1,47.9,52.1,8.3,13.8,31.6,17.3,58016,16.7,48391,TX,28.4,40.8,7.8,9.7,8.6,8.4,15,21,17.6,40.4,39.7,4.6,6.7,0.000145412,60.6799404
0500000US48393,28,16.8,39.4,45.5,54.5,95.2,0.3,0,10.6,52.4,47.6,0.8,22,48.8,6.4,66118,12.7,48393,TX,27.6,36.3,9.8,9.7,6.9,6.7,12.4,22.8,11.6,38.5,33.7,3.5,6.1,0,100
0500000US48395,23.9,20.2,40.9,44.5,55.5,63.5,20.5,0.3,21.9,49.1,50.9,4.8,19.1,40.1,16.5,66250,11.9,48395,TX,28.9,40.8,8.4,10.5,8,8.7,15.7,22.2,15.4,39.4,37.9,4.5,6.9,5.83E-05,73.85392853
0500000US48397,26.7,12.5,37.6,44.9,55.1,71.2,8.5,3.5,20.2,49.7,50.3,2.6,44,37.3,4.3,124917,9.1,48397,TX,20.8,30.5,7,9.7,4.5,4.5,10,21.8,9.4,34,35.1,2.5,8.7,0.000709814,16.03584513
0500000US48399,23.6,20.9,41.8,49,51,69.7,3,0,34.4,50.3,49.7,5.8,19.1,42.4,10.4,63490,15,48399,TX,27.6,38.2,8.5,9.7,7.8,7.8,14.3,21.9,14.7,39,35.9,4.1,6.4,0.000673012,40.75802305
0500000US48401,22.7,17.1,38.8,46.9,53.1,67.6,13.2,0.4,18.7,53.1,46.9,5.2,17.9,36.3,14.3,67506,14,48401,TX,26.6,39,7.5,10.4,7.1,8,16.1,22.7,13.9,36.9,37.5,4,6.9,0.000202489,65.87286705
0500000US48403,17.7,29.8,54.3,50.3,49.7,86.6,4.6,2,4.2,50.3,49.7,5.3,17.8,30.5,14.3,59924,14.1,48403,TX,35.2,45.9,11.4,10.6,10.4,11.1,16.2,23.1,16.6,43.3,35.5,5.4,6,0.000190349,100
0500000US48405,20.1,27.1,48.8,46.5,53.5,70.7,22.1,0,8.2,48,52,4.7,11.5,51.1,27.5,46338,20,48405,TX,36.1,49.7,9.8,11.5,11.9,14.1,21.8,24.3,20.9,43.2,43.5,6.8,5,0.000242483,100
0500000US48407,21.6,21.1,45,48.8,51.2,73.2,8.5,0.2,18.3,49.6,50.4,7.1,15.8,53.8,17.7,59526,19.6,48407,TX,31,42.7,9,10.6,9,10.1,17.5,23.9,16.4,40.7,39,4.8,7.1,6.83E-05,100
