"county_fips","per_HighBP","pred_outcome"
"01001",40.6,34.9856287786286
"01003",38.7,35.1944272128458
"01005",48.9,46.2803269203345
"01007",42.3,40.5683969728983
"01009",40.5,38.8764551877394
"01011",52.4,47.7030260189471
"01013",47.7,47.292265676198
"01015",41.3,39.7726841956169
"01017",46.8,44.6831672670891
"01019",44.3,41.5537805667643
"01021",41,40.1460220619126
"01023",51.1,48.1288533930362
"01025",47.7,46.9093981918554
"01027",45.1,43.2647560111872
"01029",42.3,39.1257915891674
"01031",39.1,38.3447067422105
"01033",42.1,40.19180272341
"01035",49.9,47.7040302182059
"01037",46.9,45.2033426980416
"01039",42,41.8275900773587
"01041",43.5,42.4608491300428
"01043",40.9,37.7985436756543
"01045",42.1,39.8007139875575
"01047",51,49.2109391054544
"01049",41.8,40.6963817920354
"01051",38.7,36.4942752974254
"01053",46.2,43.6393717093954
"01055",42,39.7076432212502
"01057",45.7,43.0938142203264
"01059",41,39.8624452537082
"01061",43.4,42.5076124656702
"01063",57.7,53.9297800570017
"01065",49.6,48.5634962591725
"01067",45.5,42.9592177080308
"01069",43.4,39.6956189285907
"01071",42.2,40.5723867934716
"01073",41.8,36.9297741714979
"01075",44.4,43.1674381647887
"01077",39.4,37.3365000541637
"01079",43.4,41.3658829329677
"01081",34.8,32.3015803644306
"01083",37.9,34.4592643928674
"01085",53.9,50.3800567146123
"01087",48.4,49.7344479518691
"01089",37.3,31.13082487695
"01091",49.6,45.1948044681579
"01093",42.9,41.3677181094227
"01095",39.6,37.0547338004577
"01097",41.5,39.4755071239374
"01099",48.2,46.5565636826634
"01101",43.8,39.9299383051932
"01103",42.2,37.0452501841321
"01105",52.7,52.6599513095551
"01107",46.5,46.108017321329
"01109",37.4,40.100180000182
"01111",45.1,42.2944416965398
"01113",44.3,43.0619489346516
"01115",37.9,37.4049024418424
"01117",36.8,29.5777494184347
"01119",47.9,50.0763408086147
"01121",46,42.5114643502362
"01123",45.9,43.2334521502069
"01125",37.5,35.9489383433551
"01127",41.8,39.8899861931086
"01129",47.5,43.5613769862622
"01131",53.8,52.2962502824287
"01133",43.3,41.1815761162376
"04001",36.4,48.9148811388423
"04003",36.9,38.9043973582107
"04005",25.2,33.6330528599259
"04007",37.1,45.2917595706671
"04009",29.7,38.3527686396182
"04011",26.8,36.3237139840972
"04012",44.8,52.0400939954614
"04013",29.3,32.9078866175428
"04015",39,44.0104643794079
"04017",37.5,44.784247215044
"04019",31.4,36.0511339590635
"04021",33.3,37.9695952245919
"04023",31.1,41.3660005383477
"04025",36.5,40.992614137638
"04027",33.3,40.86052021753
"05001",42.7,41.5722272674699
"05003",46.3,45.162155316986
"05005",46.7,43.3266755625462
"05007",32.6,31.208881890309
"05009",41.2,38.6392024113622
"05011",45.2,42.8624527187793
"05013",43.7,42.8900317729207
"05015",42.5,40.3887211938612
"05017",51.9,46.777031410782
"05019",36.5,39.0498125496367
"05021",44.7,41.1081198252525
"05023",44.5,41.7739493329588
"05025",45.1,42.6446474533434
"05027",41.8,42.4415726759847
"05029",45.1,40.3141294227196
"05031",36.9,35.3724538586172
"05033",40.3,37.7594754798488
"05035",45.4,42.7582584454861
"05037",44.1,41.8447974231975
"05039",48.6,45.938982449486
"05041",50.6,46.4433794449483
"05043",41.7,40.1320594494406
"05045",33.6,33.0799519680736
"05047",44.8,41.9435079136566
"05049",49,42.3622337523585
"05051",41.4,39.4420721012617
"05053",39,37.4232931107143
"05055",38.4,37.1339271485371
"05057",44,43.9915360903943
"05059",41.5,39.4242382741478
"05061",42.3,42.9689295679836
"05063",42,38.9520245416365
"05065",44.8,41.7702236165479
"05067",44.3,41.7932812896185
"05069",48.8,43.2232700689673
"05071",40.1,39.8825997496668
"05073",51.6,47.6550909233747
"05075",40.8,39.441935003155
"05077",50.8,46.7660167525832
"05079",41.2,38.5516969231789
"05081",42.4,42.0532924320211
"05083",43.1,40.0378384859872
"05085",37.7,35.0464843487425
"05087",42,42.0815112914535
"05089",46.7,44.3711946220895
"05091",42.4,40.6215518939487
"05093",43.2,41.8404400901487
"05095",50.8,47.766946915947
"05097",47.9,42.9938791757799
"05099",47.4,46.9411736720609
"05101",45,42.0284891602446
"05103",46.8,44.820145440388
"05105",42.1,40.0580023826166
"05107",51.4,49.4284087625644
"05109",42,40.6245740986762
"05111",43.4,41.6739581283684
"05113",42.2,41.2850903362603
"05115",38.8,36.3780910137721
"05117",43.7,41.499791665362
"05119",40.6,36.3463592768945
"05121",43.9,39.8319663536431
"05123",49.2,44.7085215782976
"05125",39.2,34.7170759292888
"05127",43.7,40.5110539927964
"05129",47.6,45.1368948024512
"05131",39.3,37.1761311972513
"05133",39.8,41.6649763801135
"05135",46.5,43.3652629360675
"05137",48.7,45.0109191986496
"05139",42.7,41.9688687598041
"05141",46.5,43.5504651343723
"05143",31.6,32.0493288975169
"05145",41.2,36.9464218035412
"05147",47.8,45.2069849177496
"05149",42.3,39.8501988632208
"06001",27.2,32.4173249695902
"06003",33.2,36.8540186490226
"06005",34.7,39.4912336231427
"06007",30.7,35.8776474449497
"06009",37.5,42.6969093729528
"06011",30.8,38.9335794271146
"06013",27.9,33.2299674926855
"06015",34.8,38.6135822307173
"06017",31.3,33.8072091819152
"06019",31,38.3699487157235
"06021",32.6,39.5006595056355
"06023",32,36.8117057514731
"06025",30.3,41.5677833497749
"06027",33.2,38.7853120631984
"06029",30.1,37.6843565797311
"06031",28.8,36.7671936615475
"06033",35.1,41.7324956340946
"06035",30.8,35.7498211355122
"06037",28.2,36.1319803797067
"06039",30.1,41.629113244845
"06041",28.1,28.8860282317022
"06043",38.1,42.1189155390228
"06045",34.3,40.4107839226211
"06047",30.1,40.444249353541
"06049",39,43.2825862770162
"06051",29,31.3767488734534
"06053",29,37.5134765479886
"06055",30.7,34.4609562949883
"06057",35.5,36.3272389231154
"06059",27.9,32.748229241131
"06061",29.9,32.0370695440744
"06063",36.8,41.4533005372495
"06065",28.6,37.6960449616875
"06067",29.7,35.8530349144805
"06069",26.7,36.4618590943844
"06071",29.8,37.5027695826948
"06073",25.5,31.837533639418
"06075",25.5,29.7683575861338
"06077",29.1,38.8719169248039
"06079",29.9,33.9268050239125
"06081",27.4,31.2844441938178
"06083",27,33.8940451379104
"06085",24.8,29.9539705955573
"06087",29.4,32.5703286679733
"06089",32.1,37.9663193365289
"06091",38.2,43.2462111069855
"06093",37,42.0927219599358
"06095",30.3,37.3126462207232
"06097",29.7,34.6052971493948
"06099",30.6,37.9500922785543
"06101",31.4,38.7512889923257
"06103",34.7,40.4939223590521
"06105",40.3,44.1695804605691
"06107",30.4,39.3964895156101
"06109",34.8,39.4470364087511
"06111",30.9,33.2192078596621
"06113",26,32.5344391072574
"06115",29.6,37.4872195375138
"08001",24.8,32.1609571601499
"08003",27.7,35.9118942819076
"08005",26.6,29.3082620528551
"08007",32.9,36.0415994539643
"08009",35.6,41.4545755932954
"08011",34.4,37.8970569324544
"08013",24.1,24.0820522451142
"08014",23.7,23.9192091336432
"08015",33.3,33.5697072609123
"08017",31.3,38.3221545900853
"08019",27.1,29.2094672706643
"08021",32.5,40.0420266835686
"08023",37.5,46.0873691143481
"08025",31.1,36.5639323650416
"08027",36.5,38.1458555225149
"08029",34.9,40.0686126319592
"08031",23.5,26.5284777716492
"08033",32.1,43.5923502330198
"08035",24.3,22.3639716733769
"08037",25,24.9929248213611
"08039",28.8,32.544718403827
"08041",25.2,29.224021166261
"08043",32,35.2934175741773
"08045",27.1,30.2712843252224
"08047",28.5,29.4426817742653
"08049",27.8,32.2985911321067
"08051",23.4,23.5060260012162
"08053",33.7,38.7033750218151
"08055",36.4,42.7352033579625
"08057",34.7,42.1673913153726
"08059",26.1,27.3813779079397
"08061",35.7,40.9300454564601
"08063",31.9,37.6782385418847
"08065",23.9,29.0334382793557
"08067",27.2,30.7310891581321
"08069",23.8,27.4026833449084
"08071",34,42.6616308576534
"08073",30.8,33.4866895610149
"08075",31.1,35.3458195950726
"08077",30.1,34.0218397808572
"08079",33.1,31.6239449525715
"08081",30.9,34.877375722353
"08083",33.6,38.1388861695301
"08085",32.6,37.7333996056174
"08087",28.5,36.7650722015017
"08089",33.6,41.5098416613884
"08091",33.3,35.9548289898898
"08093",31.5,33.3099287651456
"08095",33.8,37.7619779248208
"08097",25,25.1977814438292
"08099",30.5,38.7980218171239
"08101",31.6,37.4601987521809
"08103",29.5,35.5324468989692
"08105",29.4,35.6108905503903
"08107",25.8,26.9923423995742
"08109",34.8,41.3397551115861
"08111",31.2,34.6362431141553
"08113",27.2,24.0180327719214
"08115",37,40.3007850987489
"08117",23.6,24.2367215546606
"08119",29.8,34.0764892151148
"08121",33.1,36.6436007109026
"08123",25.5,30.9505122752353
"08125",30.8,36.1995008848912
"10001",36.1,38.1349101011801
