"county_fips","per_smoking","pred_outcome"
"01001",15.5,15.7344933225775
"01003",14,13.884012615355
"01005",20.9,22.31295120954
"01007",21.1,22.2217021830374
"01009",19.1,20.0254508398638
"01011",24.6,23.5773383863666
"01013",19.5,21.5739102198992
"01015",17,19.1204917980437
"01017",20.6,20.5051172943497
"01019",16.3,19.4863794394497
"01021",15.8,20.3893899331515
"01023",20.2,21.528065494509
"01025",19.9,22.0247289197688
"01027",20.6,21.5346079179867
"01029",20.9,19.3559904984396
"01031",14.4,18.357606253795
"01033",17.6,18.9559407160388
"01035",18.8,20.6500481979222
"01037",18.9,19.4514134424412
"01039",16.9,20.263458983456
"01041",19,19.8232305831378
"01043",18.4,18.5806339692723
"01045",18.1,19.3151882154305
"01047",18.9,22.4324298633454
"01049",22.5,21.6236366823081
"01051",15.6,16.5300538685386
"01053",21.1,21.7221190173935
"01055",18.4,18.6728391055635
"01057",20.7,22.1937858155101
"01059",19.9,20.2125477482665
"01061",17.6,21.7485813315351
"01063",22,23.7374848141074
"01065",18.3,22.6873364744666
"01067",20.8,18.5020049003477
"01069",17.8,18.2132532343912
"01071",20.2,20.4497828292571
"01073",14.6,14.800529321068
"01075",18.2,21.2139818749309
"01077",14.7,16.5786623289964
"01079",20.1,20.3448726458479
"01081",15.2,15.3781047941725
"01083",15.6,15.8324753525513
"01085",21.6,22.8204093674114
"01087",17.6,20.6753181561515
"01089",13.2,11.5788472974562
"01091",19.9,19.9448478689177
"01093",19.1,20.9216607254596
"01095",16.2,18.6768914095409
"01097",18.8,17.7053654044664
"01099",19.5,21.9642766886741
"01101",17.4,16.1419443898823
"01103",17.3,16.9049965723535
"01105",21.1,25.3759867673785
"01107",19.4,22.5289656887608
"01109",14.3,19.6705074610932
"01111",18.9,20.4823710725091
"01113",20.3,21.0993910520986
"01115",15.3,18.0818045794833
"01117",10.7,10.6563058139213
"01119",17.9,23.2646387795947
"01121",18.2,20.2445229867692
"01123",17.3,19.2500401581592
"01125",16.2,16.9384791921711
"01127",21.2,19.9736032072232
"01129",20.3,20.5574279955095
"01131",23.6,24.0725022607924
"01133",17.6,20.8080211828
"04001",26.3,23.8748648210218
"04003",14.8,15.8739939719094
"04005",12.4,14.7204516019426
"04007",17,18.0949668483999
"04009",15.2,20.6290226466275
"04011",13.3,19.312038901433
"04012",16.7,18.0264313591592
"04013",11.7,13.3702139444081
"04015",16.8,17.5572713135658
"04017",21.5,21.2082499127526
"04019",12.8,13.9692461392646
"04021",14.8,15.82184885721
"04023",12.4,18.1668770121707
"04025",14.4,13.4049758530402
"04027",13.3,18.2528072754722
"05001",22.1,19.6280311584655
"05003",20,22.4989050010965
"05005",19.6,17.34882100213
"05007",13.8,13.0743873190961
"05009",18.5,18.8268669748773
"05011",21.5,19.7594781237447
"05013",20.5,19.8184488504758
"05015",18.1,17.6741765852801
"05017",22.7,21.7574271298633
"05019",17.6,19.0011815064152
"05021",22,20.7156623657375
"05023",18.5,18.2726731000715
"05025",23,20.3743358964691
"05027",17.4,21.2118514659401
"05029",23.3,20.7176997563344
"05031",19.3,18.2284291949078
"05033",18.8,19.4474899939611
"05035",21.6,20.206656473463
"05037",21.3,21.0718452208558
"05039",20.7,18.4096338733347
"05041",25.2,22.830232784428
"05043",19.2,19.6185208902581
"05045",14.7,16.5514881684869
"05047",23.4,22.3302036923477
"05049",25.1,19.5117804073096
"05051",16.4,16.9813965060216
"05053",19.5,19.045552676045
"05055",22.1,20.146303401594
"05057",19.8,21.4753625167714
"05059",21.4,20.7482197775109
"05061",17.7,20.6087622293284
"05063",22.6,20.7087784128062
"05065",19.8,19.9420102394376
"05067",24,22.0674427792354
"05069",22.2,19.2782208911836
"05071",23.1,22.0048622623488
"05073",24.6,22.1731766597057
"05075",23,21.0634135711268
"05077",25.7,23.9613800351135
"05079",23.2,21.7631444221925
"05081",19.6,18.7808664208389
"05083",21.4,20.00340495738
"05085",18.3,18.2297057387679
"05087",22.3,21.1213940146927
"05089",20.5,20.0713821675604
"05091",22.9,20.8045600605993
"05093",24.1,21.6751401576085
"05095",23.4,21.8195437994877
"05097",20.4,19.6137723147311
"05099",21.7,24.3719372962237
"05101",21.8,18.5321915067565
"05103",20.2,20.6124284574019
"05105",19.7,20.4826677364125
"05107",23.6,23.7784909341663
"05109",19.6,20.1636812080419
"05111",25.9,22.4961523843162
"05113",20.6,19.9829495231836
"05115",18.2,18.9498494392796
"05117",21.9,18.2540070890405
"05119",16.3,14.7662825540581
"05121",22.8,20.9023706742743
"05123",25.6,22.9639227196357
"05125",15.1,15.1442706122846
"05127",22.2,20.445578694375
"05129",24.2,23.1720195384577
"05131",18.9,17.4894509930609
"05133",19.4,21.5689967372566
"05135",22.3,20.5838318497487
"05137",21.8,21.3100465278869
"05139",17.4,20.0519758805207
"05141",23.6,20.1709382270557
"05143",16.5,15.3431431633719
"05145",21.7,19.0716878668762
"05147",22.1,20.6288342287107
"05149",21,19.6600229294639
"06001",10.1,9.72885707493084
"06003",12.3,13.0859152969131
"06005",13.2,15.20431177688
"06007",13.1,16.6030232561103
"06009",14,16.9340396868443
"06011",14.7,18.3144143264627
"06013",10.4,10.6923794594548
"06015",19.3,18.061250424329
"06017",9.8,12.2868230638771
"06019",14.1,18.8919877082095
"06021",14.9,19.2126002767842
"06023",15.8,17.1459132552654
"06025",13.6,20.8435609247194
"06027",12.9,14.7641220995076
"06029",16.5,20.0056939187312
"06031",16,19.6237315735175
"06033",13.2,18.3873285475152
"06035",16.7,19.8096866871528
"06037",10.7,14.2122244041727
"06039",15.1,20.6747367850015
"06041",7.3,6.23097264167846
"06043",15.9,16.3611176706801
"06045",13.6,17.0962785384993
"06047",17.4,20.462161148762
"06049",13.7,17.1422127204289
"06051",12.6,14.1180774593037
"06053",13.6,15.3940334471839
"06055",12.6,11.6931457106596
"06057",15.5,11.9027319313982
"06059",10.7,11.3861594117767
"06061",11.2,10.8193765887096
"06063",12.9,16.1345271313893
"06065",11.3,15.9029815106653
"06067",12.9,14.8896453020788
"06069",11.1,16.0023098319943
"06071",12.7,17.2970809564026
"06073",10,12.118541304332
"06075",8.6,7.80622061471675
"06077",12.5,17.573768473367
"06079",9.8,12.9957534292252
"06081",8.8,8.28114945142998
"06083",9,13.8266280157566
"06085",8.9,8.08502905897492
"06087",10.4,12.0720367868213
"06089",13.5,16.8179587653656
"06091",14.3,16.1345804292995
"06093",14.8,17.8242894511062
"06095",12.7,14.3673791652298
"06097",10,12.0560620396284
"06099",12.6,18.3882188434622
"06101",15.9,17.4860430379523
"06103",15.5,19.1460683905996
"06105",15.6,19.7241682191531
"06107",15,20.4709536532171
"06109",12.3,15.3159900966771
"06111",10.5,12.8529933834886
"06113",11.3,14.2826370124184
"06115",15.7,19.3349980638649
"08001",15,15.0982826474577
"08003",14.9,17.0453424122018
"08005",12.3,10.6362657277423
"08007",10.7,11.0425864823851
"08009",18.6,20.2796667153699
"08011",18.5,21.5421535438206
"08013",9.8,8.002880316488
"08014",8.6,7.10756300369491
"08015",15.1,11.4693508049429
"08017",13.2,17.450235177652
"08019",10.9,9.01255199283795
"08021",13.8,17.79290348023
"08023",16.1,19.3587522888694
"08025",19.4,22.5114608174253
"08027",13.2,12.2413891500407
"08029",15.7,16.3887123925989
"08031",14.2,9.81547159541086
"08033",14.9,15.6488912514034
"08035",8.5,6.77326606563451
"08037",11.8,9.09646145993899
"08039",13.1,13.3790394673152
"08041",13,12.275409070973
"08043",15.8,16.873595843126
"08045",12.7,12.7376906830675
"08047",13.2,12.7232203466559
"08049",11.8,12.7838083132738
"08051",8.9,9.32951974203328
"08053",11.4,9.83260875068175
"08055",14.7,16.8727848664618
"08057",16.6,17.4839169661516
"08059",10.6,9.40696605152911
"08061",18.1,20.0664257367835
"08063",13.1,16.7935224106078
"08065",9.4,11.2916930468961
"08067",11.3,11.5675302457593
"08069",9,10.5361476969326
"08071",15.6,18.9257391057472
"08073",16,17.067982310792
"08075",17.1,16.8707206429076
"08077",14.8,14.3079875138644
"08079",13.4,8.6051108412309
"08081",18.2,18.1445815499825
"08083",15.5,14.9198382805925
"08085",14.4,14.4397317376639
"08087",14.1,17.8659916917084
"08089",19.3,20.6544644728012
"08091",11.6,7.06061386472606
"08093",13.1,12.9456838782328
"08095",16.2,17.9154219027062
"08097",8.5,6.56996654018753
"08099",16.1,19.113953426765
"08101",14,17.4535431531462
"08103",15.5,17.9986688858211
"08105",11.9,13.8763428972475
"08107",12.2,9.86966775343751
"08109",17.1,17.9216203795617
"08111",14,14.1299364417493
"08113",11.9,8.17977144946893
"08115",16,17.4574719905994
"08117",12.1,8.51518633266444
"08119",11.9,11.9572362045574
"08121",13.7,16.6663885220029
"08123",12.7,14.7698107219068
"08125",15,16.8956990061253
"10001",14.6,16.1210579867459
"10003",14,12.8718013743374
"10005",13.7,13.5507276802491
"11001",11.2,9.43359657082954
"12001",13.1,14.2111451480892
"12003",19.1,19.4108554337414
"12005",15.8,15.0851407719466
"12007",20.9,20.6315960966091
"12009",13.1,12.539397232435
"12011",13.4,13.0408935349301
"12013",19.8,20.5563022060415
"12015",13.9,12.2377856206619
"12017",13.5,15.7187874828599
"12019",13.5,14.7589221438054
"12021",11.5,10.0277273979228
"12023",19.4,19.0069207009671
"12027",19.8,21.3154386984767
"12029",22.1,19.99337637722
"12031",14.9,14.8614046778326
"12033",15.9,15.653511549659
"12035",13.4,12.5701689682465
"12037",17.7,18.2041679555928
"12039",17.7,21.0776397078882
"12041",18.8,18.7862148624747
"12043",20.3,19.4652613110243
"12045",16.8,16.42155151045
"12047",21.9,22.7934807742847
"12049",19.9,23.6178939772701
"12051",18.4,21.2863634799841
"12053",15.9,15.7670325070827
"12055",15.6,15.7067961894643
"12057",12.8,13.8091434337882
"12059",21.6,20.1943425422902
"12061",13.5,11.5762445547136
"12063",22,20.4644963026113
"12065",17.9,19.2717243685097
"12067",21.9,21.485036612072
"12069",14.8,13.8801156444531
"12071",12.2,12.682936304955
"12073",12.3,13.7180501756903
"12075",18.2,18.9627339697931
"12077",21.2,21.8663998688026
