"county_fips","per_highChol","pred_outcome"
"01001",35.9,35.8007313059472
"01003",38.9,37.6540569076579
"01005",39.4,39.5043189891415
"01007",38.6,37.916169154827
"01009",40,38.8283802768394
"01011",37.9,38.3872391611645
"01013",39.8,40.8827777430827
"01015",37.4,38.2731339917871
"01017",39.5,39.9352314360121
"01019",40.9,40.9277590225956
"01021",38.3,38.8200222414477
"01023",41.7,41.5508159125636
"01025",38.8,40.2796220104416
"01027",40.6,40.2862368276825
"01029",40.1,39.276374106834
"01031",34.7,37.5546611844983
"01033",38.7,38.8644138736034
"01035",40.5,41.1017451448711
"01037",41.3,40.9663654392413
"01039",38.8,40.2391105090414
"01041",39.7,39.39569425814
"01043",39.2,38.6709118514176
"01045",38.4,37.9789604313279
"01047",38.3,39.7770719652448
"01049",40,39.2409255260732
"01051",35.2,36.6192147696215
"01053",37.1,39.3938439728896
"01055",39.1,39.0272079446445
"01057",41.1,40.4845208185394
"01059",38.5,38.567958488762
"01061",41.3,40.3433866046172
"01063",41.1,42.0569860109334
"01065",38.9,39.7369519344422
"01067",40.5,40.3045326979109
"01069",36.7,38.1508087321036
"01071",40.7,39.85956389247
"01073",35.4,35.6296323674874
"01075",40.1,40.7309222278576
"01077",38.7,38.2931274611554
"01079",39.2,39.0490054065107
"01081",32.4,33.6339259946255
"01083",36.9,35.6591608802044
"01085",38.3,39.9216413774208
"01087",36.1,39.8342904146418
"01089",35.1,33.7604456282014
"01091",39.7,39.1875933283142
"01093",40.5,40.3953343671439
"01095",37.9,37.6935111956955
"01097",37.8,37.2890596841206
"01099",40.5,40.4411706191008
"01101",34.9,35.9245506129431
"01103",39.6,37.5071807113419
"01105",40.1,40.7308727304612
"01107",38.4,39.8629852298157
"01109",33.6,36.6249207133968
"01111",39.1,39.6333317758931
"01113",36.6,37.8169053013556
"01115",38.4,37.7198776879829
"01117",35.5,33.8964075111144
"01119",37.3,39.6225898998621
"01121",39.5,38.8611130864521
"01123",41.4,40.1878612804454
"01125",34.3,34.9535725705449
"01127",39.7,39.5725574972389
"01129",40.6,39.6543572059278
"01131",39.6,41.1809281632403
"01133",40.5,40.5119166556886
"04001",33.6,39.8589424875009
"04003",36.9,38.4781018719676
"04005",27.3,34.1847389662538
"04007",34.5,42.3447263211235
"04009",32.8,36.3082232962089
"04011",29.7,35.2506410618309
"04012",41,47.3250934143238
"04013",33.3,35.0048591389167
"04015",37.2,42.9037556402162
"04017",34.8,39.2436825724246
"04019",34.1,36.7716866433406
"04021",36.9,37.9347271259246
"04023",35.3,38.3208676261886
"04025",39.2,42.3204933431688
"04027",35,38.6535362252186
"05001",36.6,38.8894136115814
"05003",37.3,40.5762506543675
"05005",43.6,42.8550051145394
"05007",33.3,34.0807720145222
"05009",40.5,39.1941366607433
"05011",39.5,39.4558932078313
"05013",37,40.0256223239812
"05015",39.2,39.9870079395918
"05017",39,39.6669414332544
"05019",32.4,37.235536644914
"05021",39.1,40.3095465465547
"05023",42.2,41.5689279413037
"05025",39.8,39.8908270613695
"05027",34.9,38.0549669396319
"05029",40.6,38.669438367471
"05031",35.4,35.4541607543929
"05033",40.2,37.677719193067
"05035",36.6,37.1592013311498
"05037",38.6,38.7507079055425
"05039",39.5,40.6844778295571
"05041",37.9,39.4738097910665
"05043",37.2,37.2300943446363
"05045",32.9,34.765992004842
"05047",40,39.7214307803914
"05049",44.9,41.7035949210781
"05051",39.9,39.7136769554576
"05053",38.1,37.8317840886571
"05055",37.3,37.6067351038169
"05057",37.7,39.1399896637171
"05059",39.1,38.2387620085277
"05061",37.7,39.4194846626049
"05063",38.6,38.2892569137425
"05065",41.5,40.3842174347148
"05067",38.4,38.7906267159983
"05069",37.8,37.3312942072642
"05071",38.2,38.1531554195404
"05073",42.1,41.4999538216079
"05075",37.8,39.0375489908465
"05077",39.2,38.8400071559117
"05079",35.3,35.683099588098
"05081",39.2,39.3413638639872
"05083",39.3,39.2207477915669
"05085",35.7,36.1478825602156
"05087",39.9,39.7037721363102
"05089",43.4,42.7132312553028
"05091",37.3,37.9785136529746
"05093",37.6,37.4400396148917
"05095",42.1,41.1628871470963
"05097",43,42.0498089161663
"05099",39.6,40.2247889494824
"05101",41.4,41.3443137177185
"05103",37.1,39.459605961413
"05105",39,38.9731784308397
"05107",40,39.8901821555168
"05109",39.5,39.7023353921522
"05111",39.6,39.4317950414926
"05113",40.7,40.4335527912656
"05115",37.5,36.7825799379706
"05117",40.1,40.392390743204
"05119",34,35.4044363750616
"05121",39.2,38.954621701437
"05123",37.5,37.6039208381542
