"county_fips","per_depression","pred_outcome"
"01001",25.1,20.8372922274104
"01003",22.5,20.2790180728558
"01005",22.1,19.9899498591694
"01007",24.4,22.8116449971066
"01009",24.8,22.5965548306837
"01011",21.1,18.7445616533066
"01013",22.5,21.3237264906989
"01015",24.6,22.1404431679641
"01017",22.7,20.4669167206728
"01019",25,22.2797268119936
"01021",24.5,22.3902353387928
"01023",23.3,21.0032535837641
"01025",22.6,21.2086264218087
"01027",24.4,22.6540871536976
"01029",25.5,22.3252948200766
"01031",24.3,22.0000512171419
"01033",24.5,22.4887392555315
"01035",22.3,22.4790152520832
"01037",22.2,18.6359540578844
"01039",24.3,22.8409667562993
"01041",23.8,21.6047776796963
"01043",25.4,22.68147622529
"01045",24.8,22.0223069165553
"01047",20.3,21.3063685581137
"01049",26.3,23.5180227726266
"01051",23,20.7927032078519
"01053",24,21.9450736349893
"01055",24.9,22.422652386596
"01057",25.7,23.3133094422425
"01059",25.1,22.6424229304272
"01061",25.7,23.3373753524736
"01063",20.4,20.8735572532561
"01065",21.2,20.8490648090516
"01067",23,20.6848943108971
"01069",24.9,21.6005942003325
"01071",26.7,23.0569779974754
"01073",22.7,19.6479444279719
"01075",24.7,22.5467833494674
"01077",24.2,21.6890288463577
"01079",24.9,21.5923741593872
"01081",23.6,21.8628559734763
"01083",23.7,20.3787052323348
"01085",20.9,20.8858672799241
"01087",20.7,18.4389311907462
"01089",21.6,18.9395802814139
"01091",22.3,20.8945699033086
"01093",25.7,23.3894370862919
"01095",25.4,22.6143215422388
"01097",22.1,20.5430393465773
"01099",22.7,21.6195764495267
"01101",21,18.9941503605993
"01103",24,21.2257684203208
"01105",22.1,21.8448687645648
"01107",22.3,22.2737902476333
"01109",24.7,22.5698230510227
"01111",24.4,22.1672880829416
"01113",23.9,21.8673106626132
"01115",25,21.8115562725071
"01117",21.6,19.1663931798052
"01119",21.5,21.2817826181275
"01121",22.7,21.508164281529
"01123",23.5,20.6163637684164
"01125",25,21.4646317580018
"01127",26.6,23.4728542249694
"01129",24.1,21.5054263591243
"01131",21.4,20.8694686682276
"01133",26.2,23.9368261610551
"04001",20.4,20.500797083564
"04003",19.9,19.3444654086221
"04005",22.5,20.3575244416448
"04007",20.7,19.4744614284528
"04009",20.3,21.6673326544229
"04011",19.2,20.1834744973902
"04012",17.9,16.6314997336596
"04013",18.6,19.2000926525691
"04015",19.2,20.3525122973179
"04017",22.2,20.6996965645671
"04019",22.8,19.2150420309624
"04021",19.8,18.6389178781781
"04023",16,19.6218417209
"04025",19.3,18.60310056361
"04027",17.9,18.7092833607293
"05001",23.4,21.4581905030742
"05003",25.6,23.506620577846
"05005",25.7,21.2714669278768
"05007",23.7,18.8537585699033
"05009",25.4,22.9141816948428
"05011",23.2,21.8269187580879
"05013",23,20.6447193674096
"05015",24.2,20.3479007852824
"05017",21.5,20.0322885366684
"05019",26,22.9506927906305
"05021",26.8,23.7462318249344
"05023",24.8,21.6104126547807
"05025",24.6,22.959895839986
"05027",23.7,22.8864923972245
"05029",24.9,23.6091686603341
"05031",26.5,23.138342236679
"05033",26.1,23.0974825243687
"05035",23.9,21.2871710120332
"05037",25.3,23.1949501107986
"05039",21.7,18.1129667385092
"05041",23.2,22.9461619930852
"05043",24.1,22.8889833716764
"05045",26.4,22.5609391579848
"05047",27,23.6020785239107
"05049",26.2,22.035765146831
"05051",24.1,21.722401488287
"05053",24.9,22.4503992873427
"05055",27.8,24.1091971542998
"05057",22.1,21.4052102853719
"05059",23.9,22.2632094442745
"05061",24.3,22.2349537849851
"05063",26.1,23.7848648844713
"05065",25.6,22.5221835415276
"05067",26.3,23.4923570273903
"05069",21.5,19.7900171819998
"05071",25.4,23.9922109506172
"05073",23.9,21.8457566031896
"05075",27.3,24.2719948740683
"05077",21.3,20.5741949231618
"05079",22,19.0280896698024
"05081",24.5,22.2621055098483
"05083",25.8,22.830313202562
"05085",25.8,22.5149341142247
"05087",25.6,21.4335333228638
"05089",24.8,22.424490217651
"05091",24.6,22.7264802875536
"05093",24.8,22.4599625735516
"05095",22.9,21.1826491508199
"05097",25.2,22.5536746235225
"05099",24.1,24.2397263383305
"05101",24.7,21.5343214444208
"05103",23.2,20.8121485251117
"05105",25.1,22.9444797494345
"05107",22.6,21.9728441909339
"05109",25.7,23.2388198605988
"05111",26.8,24.3542502445193
"05113",25,23.4330524293445
"05115",24.6,23.3879032816415
"05117",23.8,20.320724692277
"05119",23.1,19.6196130242255
"05121",26.8,24.5272510156665
"05123",21.7,20.8617757160446
"05125",24.7,20.7816344709272
"05127",25.1,22.2557971883377
"05129",26,24.1705404794095
"05131",24.9,21.5581046250237
"05133",24.1,21.7246838752706
"05135",26.1,23.1997672158081
"05137",25.3,23.2017045309083
"05139",23.6,21.8479563016933
"05141",24.8,22.8457947013691
"05143",24.6,20.91355716459
"05145",26.3,23.5945941816716
"05147",24.4,21.8227965755958
"05149",25.1,21.7794493159098
"06001",18.6,15.6191092377319
"06003",21.7,17.6901610456246
"06005",21.7,17.4798927759042
"06007",25.6,21.7985879658496
"06009",23.2,19.9922476337931
"06011",21.6,18.862190873667
"06013",19.1,16.539343604806
"06015",23.5,18.8982200795301
"06017",22.3,18.9138112390361
"06019",21.4,20.3744123089243
"06021",22.6,19.7228218751533
"06023",26.1,21.9022013561317
"06025",19.9,19.5225762064431
"06027",22.2,17.7320745239067
"06029",22.8,21.3712934413749
"06031",21.1,19.9731900376664
"06033",24,20.7742640206158
"06035",22.9,18.7622152296746
"06037",19,17.6456462298558
"06039",21.8,21.0969423728157
"06041",20.6,16.9547801318529
"06043",22.6,18.8946766587118
"06045",23,19.8695450409095
"06047",21.5,20.1908483930609
"06049",23.9,21.1019844085143
"06051",22.8,18.5909102570289
"06053",19.2,17.5348019418364
"06055",20.8,17.4759096380295
"06057",23,18.9462844606542
"06059",19,17.1295276799549
"06061",21.3,18.3483845071543
"06063",23.4,19.5310769445499
"06065",21.7,18.0385263609119
"06067",22.5,18.8348269743404
"06069",20.2,17.91833160172
"06071",19.6,18.9422967853499
"06073",21.1,17.9245886448889
"06075",19.4,15.4927684676142
"06077",19.6,18.5216972014906
"06079",22.8,19.3267174739841
"06081",18.1,15.2152168362716
"06083",21.7,18.9392175710435
"06085",17.8,14.706725393554
"06087",22.8,18.5831816604254
"06089",24.3,21.1833251724024
"06091",23.2,19.061706238611
"06093",24,20.7432518838017
"06095",19.4,17.4758529952465
"06097",22.9,18.0972722773377
"06099",20.9,20.0051728474355
"06101",21.5,19.8310108408641
"06103",24.1,21.0764381433392
"06105",24.8,20.9313534621477
"06107",22.3,20.7709606553739
"06109",23.6,19.1970383971606
"06111",20.6,18.2494815806755
"06113",23.6,20.2673025849969
"06115",23.7,21.3239459002273
"08001",20.7,19.5056028549784
"08003",22.6,21.5511746007202
"08005",21.7,18.3029608637879
"08007",21.2,17.5223058877925
"08009",24.2,23.6910444738972
"08011",22,22.6531968488824
"08013",23.3,19.5471576829414
"08014",21.4,18.2539219200077
"08015",21.6,18.5377524608769
"08017",22.8,20.560947642783
"08019",21.3,17.8936808971816
"08021",20.5,19.0889268840797
"08023",19.5,19.0841529792433
"08025",20.5,18.2362004930024
"08027",22,18.9364934228396
"08029",23.6,20.39937188732
"08031",22.7,18.7200232440541
"08033",22.7,18.4789809067206
"08035",21.1,18.3168576206456
"08037",20.4,17.8826428926856
"08039",21.7,19.3658989614967
"08041",25.4,19.4649960073989
"08043",23.2,19.9852825555389
"08045",21.1,19.1433307723094
"08047",21.9,18.6389956774408
"08049",22.6,18.6432293803553
"08051",23.3,20.0552730273879
"08053",20.2,15.7617435060308
"08055",20.6,19.409239460593
"08057",23,19.7953207928792
"08059",23.1,18.9530997856851
"08061",23.2,22.707299393261
"08063",23.3,20.2173607541069
"08065",21.6,18.1056698640218
"08067",21.9,19.768186802894
"08069",24.8,20.2776681237735
"08071",21.7,20.1128672219
"08073",21.6,18.8892753810024
"08075",23.6,20.8887743629304
"08077",23.4,20.7221431732915
"08079",21.5,18.0379497487419
"08081",24.1,21.870188611582
"08083",23.6,19.635120289208
"08085",22.4,19.5411231469405
"08087",21.7,20.6254329951706
"08089",22.5,23.0832251060281
"08091",21.1,14.8564101059419
"08093",21.1,18.7458247933121
"08095",22.7,22.6383278943303
"08097",20.4,17.6308946352487
"08099",22.4,21.6309899521659
"08101",22.6,21.5102705350971
"08103",23.6,20.2382197562599
"08105",21,19.8041018348852
"08107",21.8,18.3265876617167
"08109",21,19.8341265988655
"08111",21.5,19.8739705540819
"08113",21.9,17.2135240544032
"08115",21.9,20.6381694304255
"08117",22.1,17.8044969131609
"08119",22,18.7674951421981
"08121",22.6,19.6257883094625
"08123",22.1,20.4556933443117
"08125",22.3,21.2353842935691
"10001",22.5,19.5786237623632
"10003",21,18.6130040994725
"10005",20.4,18.5920727897972
"11001",21.6,17.7976055260896
"12001",20.1,21.2464467496214
"12003",19.6,21.4942292750989
"12005",20.8,20.3707176379975
"12007",20.3,21.5679505749219
"12009",18.6,18.8115317340064
"12011",15.6,17.2945285219609
"12013",19.9,21.6480255368239
"12015",16.2,17.1953779114401
"12017",18.4,19.8820359057987
"12019",18.9,19.9094627190085
"12021",15.1,16.3394734809854
"12023",20.1,21.0855155702697
"12027",18.6,20.6744590110267
"12029",20,21.5594468420633
"12031",19.6,19.6221689497138
"12033",20.5,20.1782571912583
"12035",18.3,17.9746240346315
"12037",18.3,19.1808483331552
"12039",16.6,20.7226650096082
"12041",20.6,21.0457428540831
"12043",17.6,18.8578910763365
"12045",19.5,18.1767415107422
"12047",19.1,21.7366427928262
"12049",18,21.9808385201182
"12051",16.6,20.9398774094984
"12053",19.7,19.9285002615652
"12055",16.9,18.4421992766627
"12057",16.6,19.120167077964
"12059",20.8,21.3448527720971
"12061",16.6,17.7387262652991
"12063",19.3,20.5102672904959
"12065",17.5,20.0581874481187
"12067",19.3,20.4519589962017
"12069",17.1,18.3087294522087
"12071",16.9,17.9901736007743
"12073",18.2,20.659370239776
"12075",19,21.6200198820956
"12077",19,22.5794451956723
"12079",18.6,20.0776553036404
"12081",17.4,18.1938746235801
"12083",19,19.4598430571469
"12085",17.1,18.1052888432008
"12086",13.5,17.6492660146612
"12087",16.1,17.5631830450307
"12089",18.3,19.6891809757052
"12091",19.1,19.328620246487
"12093",19.4,20.843711216145
"12095",16.6,18.5673976966318
"12097",17.2,18.5612374203062
"12099",15.3,16.9969359668494
"12101",19.1,19.7932883707833
"12103",19.3,18.9206140984306
"12105",19.2,19.7280039999234
"12107",19.6,22.6991409202617
"12109",17.4,18.5740369920656
"12111",17,18.0998337622765
"12113",19.3,19.9785205657598
"12115",17.9,16.8686211325542
"12117",16.4,18.5561907358851
"12119",14.1,13.7521991727724
"12121",19.3,20.4735951099984
"12123",19.3,20.692886427733
"12125",20.2,19.6147422777329
"12127",19.1,19.287004239326
"12129",18,18.8707047188441
"12131",18.7,20.018885247915
"12133",20.4,22.2141764099879
"13001",22,23.3088321403944
"13003",22,23.8539821298638
"13005",22.1,23.4993493114183
"13007",19.3,21.3869745134072
"13009",20.4,21.0720443112984
"13011",22.8,22.2203781264245
"13013",19.7,20.6148363833381
"13015",21.2,20.9471543509113
"13017",20.9,23.4331258276639
"13019",22.9,23.6614334849325
"13021",19.5,20.9050360667425
"13023",21.8,22.5958596232438
"13025",24,23.9621954310499
"13027",20.2,22.6506592012093
"13029",20.5,20.0335559198553
"13031",21.4,22.9719720516882
"13033",20.4,20.8866036941579
"13035",20.4,19.9360989212678
"13037",17.3,17.4017529362345
"13039",20.9,21.2914811156632
"13043",21.2,20.9806557901506
"13045",21.3,21.9800401620573
"13047",21.3,21.3048227351027
"13049",20.1,20.4941801565215
"13051",18.9,18.6379627896281
"13053",21,19.034122350825
"13055",23.1,23.3670043144359
"13057",20.2,19.3526731300992
"13059",22.2,22.7591153617641
"13061",18.3,19.0105283680169
"13063",17,17.8318030837977
"13065",21.8,22.3962163909059
"13067",18.2,17.2488743661218
"13069",21.7,21.5279406668595
"13071",21.7,22.1371254037267
"13073",19.4,18.9171256909369
"13075",22.2,22.2507262598472
"13077",19.3,19.8161212972216
"13079",20.6,20.3759742073922
"13081",20.5,21.5191228080377
"13083",22.6,21.0090370279027
"13085",21,19.8598699241569
"13087",20.3,22.2709760118791
"13089",16.9,17.0051416420839
"13091",20.6,21.4684514855807
"13093",17.8,17.7798511546216
"13095",18.6,20.4490859803536
"13097",18.2,18.1036421960624
"13099",19.8,20.2713442354983
"13101",20.6,21.8117575127767
"13103",20.5,20.6148497889029
"13105",20.4,22.2055839204983
"13107",20.8,22.7520484269901
"13109",20.8,21.0947866564269
"13111",20.7,20.0050882425129
"13113",17.6,16.5438965262711
"13115",22.3,21.823499799375
"13117",17.4,17.4426047241964
"13119",22.6,23.1993743036272
"13121",16.9,17.1988556665242
"13123",20.7,20.6489284167678
"13125",22.5,23.3135564537545
"13127",19.3,20.159019077025
"13129",22.5,21.9535426000177
"13131",20.3,21.4955166543125
"13133",17.5,15.2177774663972
"13135",15.7,17.1932581588452
"13137",21.5,21.5292637167277
"13139",20.2,20.0098764699376
"13141",17.5,19.9949877976221
"13143",23.8,23.5363096976328
"13145",18.8,18.7889404278268
"13147",20.4,19.8508065063435
"13149",22.6,23.7108988402223
"13151",17.6,17.9699041214991
"13153",20.5,19.0598662038508
"13155",21.5,20.9422287274569
"13157",20.5,20.5269362975013
"13159",21.7,21.4977806233896
"13161",22.2,23.8191831641676
"13163",19.9,19.7452843110351
"13165",20.5,21.0066098805045
"13167",20.2,18.6693897759334
"13169",20.8,21.2883221890593
"13171",20.9,20.1667994976117
"13173",22,24.3696913889302
"13175",20.3,22.3118880570392
"13177",20.2,19.1340276975226
"13179",19.7,19.31388499092
"13181",20.3,20.7308311214825
"13183",21.3,21.8207755264622
"13185",20.5,21.4483552295436
"13187",22.5,22.4497311834263
"13189",20.4,20.8058459332557
"13191",20.3,20.1711087794149
"13193",18.1,18.9020732307447
"13195",22.3,22.7625982611202
"13197",20.4,20.2629434972397
"13199",20.4,21.2566111045582
"13201",21.1,22.4157833242937
"13205",20,21.1887253194613
"13207",20,19.8081949742702
"13209",21.1,20.6024224028877
"13211",19.6,18.7505853749729
"13213",22.4,22.8202119863275
"13215",19.6,19.7720129459674
"13217",18.8,19.2244616154337
"13219",19.5,19.0048196748942
"13221",20.8,19.9384765074381
"13223",20.4,19.6350821930139
"13225",19.5,19.8553935338746
"13227",21.8,21.6841548654026
"13229",22.5,21.7568650970498
"13231",21.7,21.6498123560336
"13233",22.5,23.3653059922671
"13235",21.8,21.8788085714658
"13237",19.8,20.1282472604135
"13239",18.6,15.2137741984124
"13241",20.5,20.391052724076
"13243",19.6,21.1595409495906
"13245",20.4,19.92433765081
"13247",17.6,16.7303127977485
"13249",20.8,22.1539064298141
"13251",20,20.8614804285935
"13253",19.5,20.4768949512116
"13255",20,21.1601818044995
"13257",22.1,22.0447131672609
"13259",17.3,16.8452663190356
"13261",19.2,21.0710217162177
"13263",18.5,18.9765217700103
"13265",17.5,19.5330625049204
"13267",20.2,20.5381707427496
"13269",21,23.488363344685
"13271",19.8,21.988327658681
"13273",19.4,22.2147379567737
"13275",19.7,21.0050841965986
"13277",21,21.8435335249977
"13279",20.8,21.8527340326725
"13281",20.3,18.842129250297
"13283",21.8,22.7672894817399
"13285",20.7,21.3970122459364
"13287",20.8,22.2944343851248
"13289",19.1,18.9070798232339
"13291",20.5,18.8806871863406
"13293",21.2,23.0820666901864
"13295",21.6,22.3704113294052
"13297",20.4,20.8958428078505
"13299",21.9,22.3377207917339
"13301",18.9,20.2796357780751
"13303",19.4,18.2179823130023
"13305",21.6,22.7744418478775
"13307",19.3,20.7485188046885
"13309",19,18.3044350313102
"13311",21.1,21.0688563622139
"13313",20.2,21.0002638478924
"13315",19.2,19.6133250451385
"13317",19.2,18.9728852555556
"13319",20.1,21.301987361432
"13321",21.7,22.5770618200821
"16001",25,20.2015853881507
"16003",21.5,20.3252798457105
"16005",25,21.9026523476339
"16007",22.2,21.4970781096982
"16009",22.4,20.9527516837681
"16011",23,21.4959441221651
"16013",18.9,17.5991574493295
"16015",21.4,18.5360573191706
"16017",21.3,20.0142863770852
"16019",25.3,21.4546323003742
"16021",21.8,21.8868494198958
"16023",23.8,24.4764540747028
"16025",21,20.3561198294027
"16027",23.1,20.8078863084579
"16029",22,21.2898789741841
"16031",22.1,20.4775845206718
"16033",20.4,20.0357658814052
"16035",20.8,19.1824747804343
"16037",20.6,17.8014489592788
"16039",22.8,20.6546196366828
"16041",22.8,21.643957165335
"16043",22.1,20.9236229374599
"16045",21.8,20.3113490188833
"16047",20.9,20.8169439322327
"16049",20.9,19.2022951794401
"16051",22.5,21.8839619712751
"16053",21.6,21.3109428460584
"16055",23.7,20.7202435367418
"16057",23.4,22.0494878522403
"16059",21.9,19.9912878964624
"16061",21.9,20.9495003583548
"16063",21.7,19.6425911848549
"16065",27.9,28.1935721090128
"16067",20.8,21.3927249013576
"16069",23.9,21.7319391035827
"16071",22,22.1982934375508
"16073",22.2,20.0478860921397
"16075",22.5,20.7174890509833
"16077",21.2,18.8044433682868
"16079",22.9,22.6403454531657
"16081",20.7,19.5749534848285
"16083",23.7,21.3559217327432
"16085",21.2,20.1721789589923
"16087",21.8,21.2532688070858
"17001",22.4,22.1915875120036
"17003",21.2,21.4331920001794
"17005",22.8,21.7336673850602
"17007",21.5,20.8678360188937
"17009",20.5,18.291122376418
"17011",22.5,21.6951670475117
"17013",21.2,20.1042585146182
"17015",21.3,20.8143272678364
"17017",21.6,21.1153414759552
"17019",22.6,21.2575843769481
"17021",22.4,22.0456620209216
"17023",22.5,21.8859642180617
"17025",23.6,23.7815680839467
"17027",21.7,20.8722398667885
"17029",24.1,23.8378850512915
"17031",18.7,18.2431561746003
"17033",22.3,21.4779181266632
"17035",22.9,21.7243678105643
"17037",23,22.399877030706
"17039",22.5,22.0423703385871
"17041",22.6,21.1422361940778
"17043",17.4,17.7872493306953
"17045",22.8,22.1863461571344
"17047",23.6,23.7875194320799
"17049",22.5,22.1871981512118
"17051",22.4,22.6853043676684
"17053",22.9,22.6087527528956
"17055",23.7,23.6888177160254
"17057",23.1,22.0387246582413
"17059",23,22.781976093218
"17061",23.2,23.2656888342409
"17063",22,21.3958960274064
"17065",23.3,22.1438095052046
"17067",22,21.5934306403465
"17069",22.4,20.3614435222755
"17071",21.4,21.3173615544028
"17073",21.8,20.7615559027029
"17075",22.8,22.2542243197113
"17077",23,22.9251539235919
"17079",22.6,21.6818764367572
"17081",22.7,21.8411650021203
"17083",22.8,22.3592529625778
"17085",20.6,19.3422471159348
"17087",21.5,20.6829552337967
"17089",18.6,18.5089897925909
"17091",21.4,21.3952944656713
"17093",19.4,19.3555167535375
"17095",21.9,21.856666461573
"17097",18.1,18.1273251601131
"17099",22.3,22.2751807422695
"17101",22,21.406012122386
"17103",21.2,21.1118898409569
"17105",22,21.4881001937569
"17107",22.2,22.7336138554229
"17109",23.8,23.4024429221159
"17111",21.7,20.0021803000512
"17113",22.3,21.3476059969332
"17115",21.7,21.6744814122657
"17117",22.9,23.1521139388692
"17119",22.2,21.5374271335503
"17121",23.5,23.501438013239
"17123",22.5,21.7538395623998
"17125",22.6,22.9309030961325
"17127",22.8,22.6517986231695
"17129",22.5,22.0701813243006
"17131",22.4,21.1999375212007
"17133",21.3,20.2318032894201
"17135",22.3,22.1614381567681
"17137",22.5,21.93506865325
"17139",23.7,22.0557705852356
"17141",21.8,21.1584704634747
"17143",22.1,20.8953366471462
"17145",22.3,22.617538523
"17147",21.7,20.6244310277792
"17149",23.2,23.1916885828185
"17151",21.3,21.4042539908286
"17153",21.9,22.4913784759495
"17155",21.1,20.6060410797689
"17157",21.9,21.1274839063809
"17159",23,22.4764997912436
"17161",20.4,21.3102054511033
"17163",20.9,20.2910169424913
"17165",23.3,23.5968150089058
"17167",21.1,21.2829455786106
"17169",21.9,21.9202158534651
"17171",22.7,21.7656750284569
"17173",22.4,21.8047619663105
"17175",22.3,21.8534694776047
"17177",22.4,21.1931548392237
"17179",23,21.4843226339765
"17181",22.8,23.2331970544357
"17183",22.9,22.6304963909995
"17185",22.9,22.953652313063
"17187",22.4,21.761898242625
"17189",22.2,21.0377846157062
"17191",23.3,22.5924896493636
"17193",23.5,23.6123561712298
"17195",21.5,21.6953751979507
"17197",18.9,18.900135404185
"17199",22.9,22.2461936719567
"17201",22.5,21.5222909040277
"17203",22,20.8251440481998
"18001",27,22.5297113529291
"18003",26.1,20.9223698673381
"18005",24.9,20.9145052590469
"18007",26.5,22.4274976147658
"18009",26.5,24.0371503551925
"18011",21.5,19.7728629880403
"18013",24.1,20.148582266118
"18015",25,21.2409292636456
"18017",24.8,21.9502922427156
"18019",25.9,21.3897697086275
"18021",26.5,22.7617023593737
"18023",24.6,21.4041780455603
"18025",27.1,25.537206560035
"18027",27.2,21.7309902721627
"18029",25.1,21.6097483973762
"18031",26,22.2742849626597
"18033",26.5,22.5975502856222
"18035",29.3,24.1927426372587
"18037",23.4,21.5708095733068
"18039",25.2,21.3799962232466
"18041",27.1,23.9034913560342
"18043",25.2,21.5887136637013
"18045",26,22.8851903386575
"18047",25.3,21.8372628853839
"18049",25.5,22.1359703811222
"18051",26.5,22.1267887499061
"18053",27.7,23.8594402551391
"18055",26.3,22.8921240117495
"18057",22.5,18.760903098291
"18059",24.4,20.1020752276842
"18061",24.8,21.4996123028224
"18063",21.3,19.4398805167111
"18065",26.8,22.269918675896
"18067",25.3,22.1858920272208
"18069",25.8,22.1641920490002
"18071",25.5,21.4113089482568
"18073",24.8,21.2673877011318
"18075",26.5,23.1564874203134
"18077",26.4,22.776219566063
"18079",27,23.1387312811232
"18081",25.3,20.9303008522948
"18083",25.7,22.6603827104223
"18085",25.2,21.2484759432885
"18087",27.2,20.0293720662594
"18089",20.3,20.2566614342474
"18091",24.5,21.275265006688
"18093",24.8,22.4266293212614
"18095",26.8,21.916035198661
"18097",25.5,20.3570427807347
"18099",25.8,21.5442453313272
"18101",25.7,23.4942010287162
"18103",26.1,22.2727899932919
"18105",27.1,23.0593103645037
"18107",26,22.0594103053702
"18109",25.4,22.1474757902719
"18111",24.8,22.3693136480195
"18113",24.5,21.377286887709
"18115",25,21.2869996527386
"18117",26.9,22.7298721282
"18119",26.5,22.1176208857732
"18121",27.2,23.9154042211764
"18123",25.2,21.8913054730227
"18125",25.4,22.800898202804
"18127",23.6,21.0662370728838
"18129",24.8,21.6555847443016
"18131",25.5,22.3467690941305
"18133",25.9,21.2198069384296
"18135",25.8,23.0767699392594
"18137",24.9,22.1786849101945
"18139",26.6,23.156471553672
"18141",27.2,21.2607097842595
"18143",27.3,24.3602498397024
"18145",26.9,22.6525232140772
"18147",25.8,20.8882544506288
"18149",26.4,23.3653717150586
"18151",25.4,20.6337076374268
"18153",25.3,21.9992146137598
"18155",26.8,22.462672046814
"18157",24.3,22.6420104151116
"18159",25,21.5866564233954
"18161",25.4,21.0913760537736
"18163",27.1,22.2367955205749
"18165",26.3,23.1073883189053
"18167",26.5,23.6477489001037
"18169",24.6,22.0204754522462
"18171",25.6,22.7480966112622
"18173",24.8,20.6615340056457
"18175",27.4,23.5476073113064
"18177",27.1,23.172035676479
"18179",25.7,21.6439532323188
"18181",25.3,21.2063379172447
"18183",24.6,22.0387801403736
"19001",20.2,21.6219280134191
"19003",20.1,21.1301201696587
"19005",20.1,21.386688401522
"19007",21.8,23.7200451292216
"19009",19.8,21.8152523331261
"19011",20,21.4784834925551
"19013",21.3,22.1104949716321
"19015",20.2,20.6623934167021
"19017",19.5,20.7983978437723
"19019",20.2,21.5121965376602
"19021",18,19.1895130702041
"19023",20.3,21.8583057285762
"19025",19.7,20.4154697537602
"19027",19.8,21.239252386051
"19029",21.1,23.4897721787088
"19031",20.7,21.3347106207064
"19033",21.3,21.0871141768082
"19035",20.2,22.0193601713956
"19037",19,20.6500601048873
"19039",20.6,22.1322118350054
"19041",19.9,21.9791440468828
"19043",19.5,22.1861275373378
"19045",20.4,22.5025216603024
"19047",18.9,21.5586917597554
"19049",19.2,19.968827907296
"19051",21.5,20.4351981798747
"19053",21.3,22.462491598786
"19055",19.7,21.3473509410216
"19057",21.1,22.1798633129172
"19059",18.5,19.2590329265208
"19061",19.5,21.2261639445112
"19063",19.7,21.1895825109771
"19065",20,22.1197358683555
"19067",20.4,21.3828848893923
"19069",20.3,21.9400539539096
"19071",20.1,20.5049974491016
"19073",20.4,21.2734125003421
"19075",19.6,21.057525631169
"19077",19.2,21.0135636034304
"19079",19.5,20.4992126886419
"19081",20.2,21.4436362058306
"19083",20.1,20.7892838703788
"19085",20.2,21.3832468706971
"19087",20.1,21.3236966361119
"19089",20.4,21.283164678018
"19091",20.1,22.4680881441769
"19093",20.1,21.534561991856
"19095",20.2,21.6054445609553
"19097",20.6,21.910646639379
"19099",20.4,21.0933642488796
"19101",19,19.6757192718008
"19103",21,21.6794305492812
"19105",19.8,21.2572109992549
"19107",21.1,22.2394714650429
"19109",19.8,20.6928807514866
"19111",20.2,22.2130886305867
"19113",23.1,21.1762275410278
"19115",19.6,20.7867422860863
"19117",21.1,23.2463538380247
"19119",21,20.7711244373021
"19121",20.3,21.1841699157684
"19123",21.1,22.2014864938919
"19125",21,20.9872762403848
"19127",19.4,20.5287099002676
"19129",19.7,20.8728658714904
"19131",19.4,21.0423144844931
"19133",20.6,22.1644324195368
"19135",20.5,22.0450728954797
"19137",20.5,22.3902232517074
"19139",19.4,21.6593746326208
"19141",21,22.3118221557988
"19143",20.1,22.2105743393683
"19145",20.1,21.4658024759604
"19147",20,21.8765820177492
