"county_fips","per_asthma","pred_outcome"
"01001",10,10.0648041143612
"01003",9.7,9.69595144740313
"01005",11.2,11.0187667728056
"01007",10.7,10.7186774021235
"01009",10.5,10.2027584645614
"01011",11.9,11.3253345831422
"01013",11.2,11.0280743583544
"01015",10.2,10.6077594291419
"01017",11.4,10.7584352617629
"01019",10,10.2118435718005
"01021",10.1,10.3693171955641
"01023",11.3,10.902011816166
"01025",11.5,11.1405573612502
"01027",11,10.6697246020889
"01029",10.7,10.0842333800469
"01031",10,10.3670100872582
"01033",10.4,10.4808037070038
"01035",11,10.742521590834
"01037",10.6,10.0477175355863
"01039",10.4,10.6110904213343
"01041",10.7,10.4189880157412
"01043",10.6,10.0855150541229
"01045",10.7,10.5425876216605
"01047",11.7,11.6394603631204
"01049",11.2,10.6191164965876
"01051",10.3,9.98230075966948
"01053",11.2,10.8550770893416
"01055",10.9,10.3743894845191
"01057",11.1,10.9196742579976
"01059",10.6,10.396942603282
"01061",10.5,10.7595238437064
"01063",12.4,11.7865646234462
"01065",11.5,11.4670809863991
"01067",11.2,10.3564072889461
"01069",11,10.5301801881407
"01071",10.9,10.5420583779685
"01073",10.5,10.3969299127679
"01075",10.4,10.4240941923241
"01077",10.1,10.1105626574356
"01079",11.2,10.4791124619922
"01081",10.1,10.4569429845492
"01083",10.1,9.92624422570214
"01085",12,11.4834794738129
"01087",12.1,11.3902730724717
"01089",9.9,9.75500027480517
"01091",11.3,11.0032593898914
"01093",10.7,10.3936473132054
"01095",10.4,10.3479279978597
"01097",10.9,10.573823884667
"01099",11.3,11.0211292712607
"01101",11.4,10.7556720725871
"01103",10.3,10.1041921636832
"01105",12.2,12.232266135359
"01107",11,11.1366858456166
"01109",10.7,11.1244062375916
"01111",10.8,10.7689012256194
"01113",11.6,11.1150116737849
"01115",9.9,10.0260913002472
"01117",9.5,9.46841778436397
"01119",12.1,11.8997175991559
"01121",11.4,10.7556405200729
"01123",10.7,10.4878135980881
"01125",10.8,10.6001124531731
"01127",11,10.3530296396757
"01129",11,10.4721939495039
"01131",12.4,11.6532739560951
"01133",10.1,10.4711742857584
"04001",15.1,11.5085088516439
"04003",10.3,10.0421718624102
"04005",11.1,10.2537821344525
"04007",11.3,10.3830672217732
"04009",10.8,10.5208627422698
"04011",10,10.3237256463145
