"county_fips","per_obesity","pred_outcome"
"01001",38.9,35.7335877608886
"01003",36.8,33.2520578771567
"01005",43.3,42.5019969931984
"01007",41.4,41.2511273392296
"01009",37.3,39.2591062190311
"01011",49.6,44.5540372753507
"01013",45,42.6097429503175
"01015",37.7,39.1837298781024
"01017",45.6,42.0782513868401
"01019",39.9,38.9809177798708
"01021",36.7,40.5270847864969
"01023",46,42.2875438600716
"01025",44,42.5362582430026
"01027",39.5,40.9504555473643
"01029",39.6,38.5650625217299
"01031",34.2,38.1505724044353
"01033",40.6,39.0078369336495
"01035",44.4,41.9330158493742
"01037",42.9,40.9119161371032
"01039",43.8,39.3267821262266
"01041",40.3,39.9415272154246
"01043",40,37.9840103548398
"01045",44.3,39.2078150286844
"01047",50.2,43.6572878876173
"01049",39,40.349278858181
"01051",36.4,37.3765957583704
"01053",43.4,41.692460866046
"01055",41.4,38.9113815038662
"01057",39,40.6860196406039
"01059",39.4,40.0479799147253
"01061",38.6,40.4079403415013
"01063",50.4,43.5464073811972
"01065",44.5,43.0132780478953
"01067",38.4,38.4001366271202
"01069",37.2,38.3142124986957
"01071",38.9,39.0616414582882
"01073",39.5,35.2057200954677
"01075",38.4,40.9560913742866
"01077",35.2,36.0169038059153
"01079",41.1,40.152416455517
"01081",33.9,33.2467355128381
"01083",36.4,35.3752855816339
"01085",49.4,43.7580023101427
"01087",46,42.4753910335879
"01089",35.3,30.8762310476132
"01091",46.2,40.2730855514347
"01093",39.7,40.1457497939745
"01095",38.3,37.5869329247775
"01097",42.1,38.4269227863161
"01099",42.5,42.0595237451335
"01101",44.2,37.0822488305971
"01103",38.7,36.895458693545
"01105",48.3,44.8991030867928
"01107",43.8,42.2913004116451
"01109",37.7,38.4373675185262
"01111",40.3,39.3052280033717
"01113",47.1,42.1695522650386
"01115",33.4,38.1467225816191
"01117",32,29.9074424380362
"01119",42.4,42.8571757700777
"01121",42.6,40.6488241543496
"01123",41.8,39.3345892034621
"01125",39.5,36.6817596554719
"01127",43.1,39.2142942883532
"01129",41.4,40.9559623019905
"01131",47.8,45.1736788047613
"01133",36.8,39.3907110159649
"04001",38.8,44.0838241227621
"04003",32.6,35.382997270018
"04005",25.2,33.5457743821258
"04007",33.8,37.8617527059169
"04009",39.8,40.6192120677347
"04011",32.5,39.5892776515684
"04012",33.7,37.9542110154954
"04013",32.6,33.5796494620308
"04015",36.2,37.5897637892169
"04017",38.1,40.977360680289
"04019",31.5,33.4778556240396
"04021",38.4,36.7556265236532
"04023",31.5,38.6088491345027
"04025",27.1,32.7508808480063
"04027",40.5,39.3533728355361
"05001",40.9,40.232298721002
"05003",41.9,42.2462539654345
"05005",41,36.652611946655
"05007",34.3,33.3324651919196
"05009",39,38.2680623613025
"05011",41.5,41.5695556188112
"05013",38.4,40.4703203579656
"05015",35.7,36.8812207184883
"05017",44.4,41.2665713320879
"05019",37.1,38.001364534518
"05021",37.7,39.3045224586243
"05023",35.9,37.2525003258519
"05025",40.9,40.4310992617053
"05027",38.5,40.693899912976
"05029",41.5,38.8616891888537
"05031",36.9,36.8749627109928
"05033",39.7,38.269152176267
"05035",41.3,42.10630109421
"05037",38.5,40.6232302387918
"05039",43.6,41.0749714585806
"05041",45.1,43.0651023643299
"05043",40.4,38.3881197972614
"05045",36.3,35.0712036615331
"05047",40.2,40.9198099603521
"05049",38.8,38.4908986901305
"05051",37.6,35.8502550640137
"05053",35.4,38.0694560184936
"05055",37.5,39.1429714515593
"05057",40.8,41.4772254561884
"05059",38.7,39.0655582343814
"05061",39.2,41.2250472590632
"05063",39.2,39.2351913642145
"05065",35.9,37.246826305961
"05067",40.6,41.5116728942707
"05069",43.7,40.6006332491774
"05071",38.9,40.4041769689517
"05073",42.7,41.9373973079449
"05075",41,39.9650389954394
"05077",44.9,43.4917792800733
"05079",39.5,40.5933905946763
"05081",38.6,39.9279560321966
"05083",38,39.6313440001653
"05085",38.4,38.283771872525
"05087",36,40.7079073649513
"05089",37.2,38.2890732508179
"05091",43.7,40.645541365545
"05093",42.9,42.0258791780688
"05095",43,41.8438175967885
"05097",39.8,37.682526724736
"05099",41.4,43.1826974054413
"05101",39.2,37.9331339848987
"05103",42.4,41.4496233405114
"05105",37.7,39.145835676999
"05107",50.7,43.9274165440956
"05109",36.9,38.5776864800161
"05111",40.6,41.429331164872
"05113",36.6,38.7527022065798
"05115",35.2,37.3363815755789
"05117",37.8,38.4885965473471
"05119",38.1,34.6723169443548
"05121",37.2,39.3075167921909
"05123",44.5,42.2386907956071
"05125",37.4,35.0553696602568
"05127",38.3,39.6248203984812
"05129",40.9,39.910075720475
"05131",35.7,37.4736458796963
"05133",41.4,42.3359754873906
"05135",37.3,39.9688146147974
"05137",36.9,39.1995179985814
"05139",41.1,40.2163859417774
"05141",37,38.1893630435694
"05143",32.3,34.3209883841394
"05145",40.1,38.09499306378
"05147",40.9,39.9433345849101
"05149",38.6,40.2413291263052
"06001",19.6,30.6287831148016
"06003",29.3,30.2485916398418
"06005",27.5,35.5062396893953
"06007",30.2,35.1016337832262
"06009",29.6,36.3660829231632
"06011",32,40.6256091373021
"06013",28.6,31.7551140290354
"06015",33.9,38.3539962941606
"06017",24.7,31.3565217343479
"06019",38.6,39.5633146718925
"06021",33.6,40.0111831423869
"06023",32.1,35.2011478730605
"06025",38,42.1980258198726
"06027",29.6,34.6456465961756
"06029",35.6,40.6470719668499
"06031",31.6,40.9512062924461
"06033",30.2,38.5709081137007
"06035",32.7,38.6920212726219
"06037",26.2,35.6089548938088
"06039",34.9,41.7143157793944
"06041",23.5,24.19111496622
"06043",31.8,34.1585559711069
"06045",29,36.6088404197597
"06047",34,42.5262372486729
