"county_fips","per_cancer","pred_outcome"
"01001",8.3,7.12064717340818
"01003",10.1,8.53460768911641
"01005",7.9,7.51910888431627
"01007",8.5,7.15906163130642
"01009",9.4,7.91880937937739
"01011",6.3,6.38698469527144
"01013",8.4,8.27567666658159
"01015",8.4,7.55390322063386
"01017",8.2,7.92074025361082
"01019",10.7,8.98649865925809
"01021",8.6,7.55464301885579
"01023",9,8.72641580158225
"01025",8.3,8.00723864176516
"01027",9.5,8.43358456511628
"01029",9.5,8.22500876731472
"01031",8.3,7.39941350175888
"01033",9.2,8.10770353018721
"01035",9,8.6765443392475
"01037",9.8,9.14347544934172
"01039",10.2,8.67888085676929
"01041",8.9,8.09724947154105
"01043",9.5,8.06920023441924
"01045",8.3,7.46549070068512
"01047",7.4,7.46089642402646
"01049",8.8,7.4339936829124
"01051",8.4,7.22833161861298
"01053",8.4,7.67094745712005
"01055",9.1,7.94437586058447
"01057",9.9,8.3800178667316
"01059",8.7,7.49718971838039
"01061",9.8,8.28984372309411
"01063",7.6,8.16532181728636
"01065",7.6,7.55525392694856
"01067",9.2,8.79432664801788
"01069",8.6,7.61649529084687
"01071",9.6,8.34253518292449
"01073",7.5,6.98706139148892
"01075",9.9,8.68748256939618
"01077",9.4,8.24052867059871
"01079",9,7.88620300547097
"01081",6.6,6.10339607125638
"01083",8.4,7.10148637483823
"01085",7.1,7.33317259473081
"01087",6.2,7.50172439063092
"01089",7.9,6.93891712623219
"01091",7.8,7.7552789887034
"01093",10,8.49775101395462
"01095",9.3,7.53999123970331
"01097",7.7,7.34128288693792
"01099",8.7,8.09197348995497
"01101",6.8,6.558463605979
"01103",8.7,7.59112211484262
"01105",7.4,7.53008694081916
"01107",8,7.73969621500493
"01109",6.7,6.64243758058138
"01111",9.4,8.30263011300861
"01113",6.9,6.57766357955142
"01115",9.1,7.71589266720692
"01117",8.9,7.30886386264907
"01119",6.4,7.10982924946061
"01121",8.4,7.67664653206364
"01123",9.8,8.65346002640781
"01125",6.5,6.45014082504422
"01127",9.5,8.19608699993726
"01129",9,8.07679735768004
"01131",7.6,7.77842259948924
"01133",10.1,8.64609445579728
"04001",7.7,6.88889212070906
"04003",9.8,8.31546914225752
