"county_fips","per_smokin","pred_outcome"
"51700",15.3,16.6673372176007
"51710",15.4,16.4778303377993
"51720",20.5,22.9045348567942
"51730",17.7,19.5596403500991
"51735",11.2,12.1957283748222
"51740",17,18.7407548589882
"51750",12.9,16.8733808094155
"51760",16.4,14.3402792042179
"51770",18.4,16.8285220979295
"51775",12.9,14.7190828479056
"51790",15.9,14.6831984415741
"51800",13.7,15.1394646958855
"51810",11.6,13.0191784833195
"51820",16.7,16.998731620835
"51830",11.1,11.8332464114409
"51840",15.2,15.7670582373209
"53001",14.2,18.810081692258
"53003",14.6,15.2471432172014
"53005",11.7,13.1943634864901
"53007",11.9,14.0358419925479
"53009",11.1,13.3880581752995
"53011",10.4,12.7048045386749
"53013",12.6,14.2464702613353
"53015",14.7,15.555167283073
"53017",13.1,15.2732439597396
"53019",16.8,16.715597134223
"53021",14.6,16.2193050411012
"53023",13.1,14.5645411894157
"53025",13.5,16.7241947676826
"53027",15,15.9998377674903
"53029",9.7,11.9100558605503
"53031",9.8,11.5896088549712
"53033",7.1,8.98520579919527
"53035",9.3,12.101983562445
"53037",11.6,13.0415106532016
"53039",14,14.1498079016045
"53041",15.5,15.3553374653993
"53043",14.5,14.9607744387746
"53045",13.6,15.2589229335931
"53047",16.3,17.5646099435351
"53049",13.6,14.3797668582865
"53051",13.7,16.0778442597725
"53053",12.8,12.8020078127162
"53055",10.6,10.9974771954137
"53057",11.1,13.8002864835254
"53059",13,13.945617357641
"53061",10.7,11.9802303569705
"53063",13.6,13.1790126188031
"53065",14.3,15.9549935988293
"53067",10.4,11.7953892529935
"53069",12.4,14.8696184657438
"53071",11.9,13.8219695317473
"53073",10.8,12.6059737491314
"53075",11.3,12.4850379295031
"53077",15,16.3039652546677
"54001",22.9,23.9637261745342
"54003",16.9,17.2235710882858
"54005",23.8,23.9237308675346
"54007",22.8,22.6775454335263
"54009",18.7,18.4039370655335
"54011",20.2,17.0641489842384
"54013",25.5,27.0834840719147
"54015",25,25.2637042012153
"54017",22,22.3065890273255
"54019",24.5,22.0963682382848
"54021",19.1,18.7322569520664
"54023",22.5,20.0037551461378
"54025",20.3,20.017240227109
"54027",23.7,20.5958091500196
"54029",20.8,19.9238609825796
"54031",23.3,21.1351935161322
"54033",19.5,18.2698629787759
"54035",20,21.9421829872961
"54037",15.3,15.3912859957051
"54039",19.9,17.0627770460831
"54041",21.7,21.1798104179478
"54043",26.5,26.9527935716371
"54045",24.7,24.1922939036251
"54047",27.4,28.5559187959239
"54049",18.9,18.4315682967339
"54051",20,19.945897219063
"54053",21.6,22.1366122873976
"54055",19.1,20.2444966492639
"54057",19.5,18.8006188151683
"54059",26.4,27.1283133826911
"54061",15.1,13.6215453487182
"54063",20.9,19.2104288584395
"54065",17.7,18.7301042995803
"54067",21.2,21.0514248387821
"54069",15.1,16.0823977830069
"54071",20.2,19.7249827752819
"54073",21.4,21.0915879975677
"54075",24.8,22.2189367557192
"54077",22.8,20.3589092076999
"54079",15.8,16.240905527282
"54081",21.1,21.5328036552927
"54083",20.1,19.9937595951154
"54085",26.5,23.8660085518007
"54087",24.9,23.4176616057292
"54089",22.6,21.9768156788892
"54091",23.6,20.9263874867382
"54093",17.4,17.7956457812174
"54095",21.6,20.8961761453346
"54097",23.9,21.427662687551
"54099",22.7,20.5830748902184
"54101",23.4,23.6047590249195
"54103",21.3,22.156850792127
"54105",25.6,23.7221678360415
"54107",20.6,19.2047247645014
"54109",27.2,25.195548891969
"55001",18.3,18.0365843804481
"55003",19.8,18.3210779503159
"55005",17.6,16.8543457358459
"55007",14.8,14.6324112410729
"55009",16.1,13.975689119689
"55011",15.7,16.0403210836408
"55013",17.8,16.6783646361393
"55015",15.8,12.8390539666031
"55017",15.9,16.4489715944234
"55019",18.3,18.3669207587564
"55021",15.9,14.9374592474367
"55023",18.7,17.236289785662
"55025",11.5,10.386918750561
"55027",19.2,15.3968302410358
"55029",15.8,13.6521645508747
"55031",14.3,15.8151841210037
"55033",14.9,15.0645783600625
"55035",14.4,13.860500713669
"55037",20.9,16.1391893068851
"55039",17.2,15.3424645498925
"55041",20.1,18.6654591629275
"55043",17.2,16.0227105989329
"55045",16.2,14.559569742305
"55047",19.8,16.5179280671047
"55049",13.4,14.635212251818
"55051",15.5,15.9127288425286
"55053",18.8,18.2442581889041
"55055",14.3,14.1403501183068
"55057",18.9,17.7018208593664
"55059",19.1,14.960307516643
"55061",16,15.494804490049
"55063",13.4,13.7964091833546
"55065",16,16.6645118011771
"55067",16.5,17.6375337157737
"55069",17,16.664039741557
"55071",16.6,15.66962425588
"55073",13.9,15.1735097952829
"55075",20.8,16.7492243613543
"55077",20.7,17.5072552572276
"55078",25.9,21.6204358582842
"55079",16.6,15.9927144961325
"55081",16.6,16.7370781627512
"55083",19.5,16.4562155561649
"55085",13.9,15.1008121032236
"55087",16.6,13.2339981940235
"55089",11.7,9.43118883384705
"55091",17.2,15.6188697894543
"55093",15.7,14.4735926441995
"55095",18.8,16.0646295894032
"55097",14.6,13.8473700860086
"55099",17.5,17.7392440647383
"55101",17.7,15.0262487903185
"55103",17.2,17.1794319875047
"55105",17.2,15.4931140074337
"55107",18.5,17.284944703858
"55109",11.7,12.8153973685344
"55111",18.5,15.1279828439896
"55113",17.4,17.002515932547
"55115",17.4,16.8503892600512
"55117",14.6,14.2253461236168
"55119",19.4,17.240218474216
"55121",17.2,16.8018482091266
"55123",17.3,16.1834108265419
"55125",16.5,15.5092260135414
"55127",13.3,14.2364720950643
"55129",16.8,16.0663154304246
"55131",13.4,12.3247420162758
"55133",12.6,9.85678300936365
"55135",17.2,16.0626639572002
"55137",20.2,17.5121607826685
"55139",15.5,14.4373075020588
"55141",17.2,16.0592366934766
"56001",12.8,13.3647737182136
"56003",14.9,17.2904557307991
"56005",19.1,17.4260948589298
"56007",17.1,17.8483109465495
"56009",17.6,16.3107362952766
"56011",16.4,15.079291484919
"56013",17.9,19.2466211409588
"56015",13.6,16.1699473471068
"56017",15.6,17.5677384436702
"56019",13.6,16.3248923714611
"56021",17,15.2441886505334
"56023",14.3,14.4250858210116
"56025",17.7,15.4030776098323
"56027",20.3,16.9513446792023
"56029",13.3,15.1658148817925
"56031",17.1,17.8566567181012
"56033",14.2,14.5931212582541
"56035",13.6,15.4926129399316
"56037",17.7,15.9009865306134
"56039",11.4,10.5601792311822
"56041",17.8,14.2222246716973
"56043",17.3,17.4030916564939
"56045",17.6,19.058895446326
