"county_fips","per_arthri","pred_outcome"
"01001",30,30.0662695607469
"01003",32.9,32.2835823413278
"01005",34.2,34.3740415732558
"01007",32.3,33.0711575097415
"01009",31.8,32.7375892278086
"01011",35.3,32.9567705117543
"01013",35.2,36.9496470691747
"01015",31.6,32.0810378867095
"01017",34.2,34.6181068308775
"01019",35.9,36.2744926221783
"01021",31.4,31.9646899498701
"01023",38.4,38.6985500401725
"01025",34.7,36.5630560239686
"01027",35.3,35.5050732524585
"01029",33.1,33.1746191476789
"01031",31,31.0838268333534
"01033",33.2,34.1099825095206
"01035",38.6,40.1913468059596
"01037",36.9,37.7199559312904
"01039",34.2,35.7632108116371
"01041",33.5,34.5100605308123
"01043",32.5,32.4891117299715
"01045",31.8,32.1143353939953
"01047",35.3,37.0058355092021
"01049",32.5,31.582269856762
"01051",29.5,30.3912741337049
"01053",34.1,34.4667391359161
"01055",33.7,32.8707694207527
"01057",35.7,36.3167621901308
"01059",32.9,32.2080521430614
"01061",34.7,34.4418527646675
"01063",39.2,39.3003516775957
"01065",34.3,36.2490352682753
"01067",34.8,35.5683083209666
"01069",32,31.8050093388864
"01071",35.4,34.2985731410529
"01073",28,29.7391747751676
"01075",35.3,36.3314995377013
"01077",30.5,32.8319634788117
"01079",33.4,33.3578592139681
"01081",25,24.4437078073008
"01083",29,28.7828592957019
"01085",36.7,36.8660274013577
"01087",31.7,35.9241879665339
"01089",27.6,26.9008488616832
"01091",35,35.4403464880022
"01093",34.8,35.3065638102788
"01095",30.8,30.7972641240756
"01097",29,30.7967166979331
"01099",35.7,36.9483048890511
"01101",29.9,29.0380308815496
"01103",31.5,30.9903016072595
"01105",37.7,37.8890418288043
"01107",32.8,35.0658555987135
"01109",27.3,30.1076659445837
"01111",33.8,34.1450792353168
"01113",30.7,31.0505393645808
"01115",31.3,32.0209748001981
"01117",27.5,26.8543002391286
"01119",32,35.5569436451236
"01121",32.2,34.527755408569
"01123",36.3,36.2521789433165
"01125",25.5,28.9165157584084
"01127",34.1,33.8431260264458
"01129",35.2,35.1379892399756
"01131",37.3,37.8886919237807
"01133",36.3,36.3318624967713
"04001",28.2,27.1017220860411
"04003",31.2,29.0295453823095
"04005",21.8,22.6374520695246
"04007",35.2,33.0047267806338
"04009",23.3,23.9896233483923
"04011",22.5,23.7625056457276
"04012",39,39.7932978141385
"04013",23.5,23.0826418373064
"04015",33.2,33.774765681679
"04017",30.8,27.9958046640077
"04019",25.8,26.2218327446554
"04021",28.1,27.1493733533258
"04023",24,26.6351526985842
"04025",33.6,34.0587677165896
"04027",25,26.4160620955907
"05001",31.5,33.0385548395273
"05003",35.3,35.4893439627852
"05005",36.9,38.1949943262621
"05007",22.6,23.2734265848234
"05009",32.2,33.0998092281243
"05011",32.9,32.7369944799141
"05013",31.4,32.3638524645702
"05015",32.9,32.7264227294672
"05017",34.1,35.3170100339808
"05019",26.7,29.444622566294
"05021",32.7,34.2414436096745
"05023",35.7,36.2101281645334
"05025",33.5,33.7382340145636
"05027",28.6,31.6985139228892
"05029",32.9,32.7178290613476
"05031",27.6,27.2268150317496
"05033",29.8,30.5439996591953
"05035",29.5,30.7823389001927
"05037",31.9,32.9767134679796
"05039",33.5,36.3070734677309
"05041",34.9,35.4284404164642
"05043",29.9,31.2729079516889
"05045",24.1,25.7352761514484
"05047",33.6,33.7773222997826
"05049",37.1,36.41655994328
"05051",33.6,33.4260337756197
"05053",29.5,29.9038943614317
"05055",30.3,30.5931644658463
"05057",30.9,32.578117917829
"05059",29.6,31.8581365059914
"05061",31.2,31.7153037721912
"05063",30.4,31.6980244242762
"05065",35.5,35.0093799271275
"05067",30.8,32.6386637203389
"05069",30.6,31.7200307162845
"05071",30,31.0075239706793
"05073",36.9,38.2701798269237
"05075",32,33.0049522798985
"05077",32.1,34.3118356836038
"05079",26.2,27.3758434282414
"05081",33,33.6537186701694
"05083",33,32.7026335261114
"05085",27.6,27.8580113073145
"05087",32.4,32.8789658170501
"05089",37.4,38.2889273785845
"05091",30.4,30.5187466925033
"05093",29.8,31.1699471827682
"05095",35,36.1238010430203
"05097",36.2,36.5720010119627
"05099",35.3,36.3003873353259
"05101",35.2,36.5900829925531
"05103",32.4,34.6343023101885
"05105",32.1,32.6020056638258
"05107",36.2,35.7477062279339
"05109",32.5,32.1165537135987
"05111",31.7,33.5512360293227
"05113",33,33.931589870759
"05115",29.8,29.1045532378931
"05117",34,33.8112356367472
"05119",26.8,27.1748852368047
"05121",32.7,33.0281030975641
"05123",30.6,31.9787436017976
"05125",27.7,28.566920781854
"05127",32.6,33.5307519432702
"05129",37.7,37.5504947731915
"05131",27.8,28.6095828951272
"05133",28.5,29.0358205715398
"05135",36.5,36.9745443296105
"05137",37.2,38.1806639452819
"05139",31,32.5990743612099
"05141",35.8,37.0309924395644
"05143",21.7,23.3469482205903
"05145",30.1,30.3973662437607
"05147",35.5,35.9239116282559
"05149",30.4,30.8092647483602
"06001",19.3,16.2007003034005
"06003",27.9,23.8856288867662
"06005",27.7,30.8803116164467
"06007",23.8,24.372049349689
"06009",31.1,32.3247354957185
"06011",22.6,22.782856897389
"06013",21.8,19.2379853477267
"06015",27.1,25.6266531105727
"06017",27,26.7505554450459
"06019",21.7,19.220668852964
"06021",24,24.2370000911211
"06023",25.9,25.407869662182
"06025",20.7,20.8071809079199
"06027",28,27.4479437702351
"06029",21.2,20.0274005693096
"06031",19.3,19.1451333335892
"06033",29.8,28.8402265489293
"06035",23.9,23.7000204799048
"06037",19.8,19.4769622093894
"06039",23.6,21.4106874874361
"06041",25.6,23.6665947822082
"06043",31.7,31.4371837521176
"06045",29.3,28.4487224507073
"06047",20.2,19.2494568610261
"06049",32.8,33.6749968366169
"06051",23.9,23.0153785317814
"06053",21.2,19.7079875924937
"06055",24,23.8271136283442
"06057",29.9,30.9574664241429
"06059",19.1,19.7059495808067
"06061",24.8,24.1779611796025
"06063",32.9,33.7703800334461
"06065",23.9,21.5323699345394
"06067",23.1,19.855603528628
"06069",20.4,20.4620477823887
"06071",21.5,20.0631837445576
"06073",19.6,19.7263516197986
"06075",17.6,16.9742750339626
"06077",20.4,19.4540860313739
"06079",24,24.8640927119092
"06081",20.2,18.2334001069744
"06083",21.8,21.2355070024495
"06085",16.6,15.3855648952969
"06087",21.7,21.913886119935
"06089",27.8,28.1641055898904
"06091",34.5,37.0058164674985
"06093",31.9,31.5602011592993
"06095",22.4,21.1872668638997
"06097",24.5,24.6199810475635
"06099",23,21.0862508963099
"06101",23.3,22.3754333387545
"06103",28,26.7808783549046
"06105",35.2,33.8747435252611
"06107",20.3,20.147052642776
"06109",29.1,31.6018279229055
"06111",21.1,22.0759692883872
"06113",19,18.2362666351154
"06115",22.4,21.8290892045233
"08001",20,22.6886560548653
"08003",23.6,24.5558903525372
"08005",22.2,22.1718486761298
"08007",31.9,30.78312646652
"08009",33.9,31.6331514877937
"08011",28.3,24.9014001322977
"08013",20.7,21.8889983096995
"08014",22,22.4349679981982
"08015",29.2,28.7816661364496
"08017",29.9,28.736998840962
"08019",26.7,27.3940502744347
"08021",26.9,28.6033920663213
"08023",31.2,30.3562848754987
"08025",22.5,22.6818960518981
"08027",35.3,33.1178027063586
"08029",33.5,32.3110347344454
"08031",18.3,20.3224475892439
"08033",30.2,36.0399370786882
"08035",22.3,21.8495077038944
"08037",22.4,22.6127191745971
"08039",27.2,27.4876830503954
"08041",23,22.7544860741369
"08043",29.3,28.1113299906244
"08045",24,25.0749488036402
"08047",27.6,26.6983878337014
"08049",27.2,27.4835850393619
"08051",21.2,22.2269401641373
"08053",31.8,34.2813247510926
"08055",33.1,33.4586400507879
"08057",33.8,34.0864820623497
"08059",25,24.2990318616074
"08061",33,30.9698301002105
"08063",29.4,28.5564073978792
"08065",21.7,22.9950016535399
"08067",27,26.6242699414973
"08069",22.7,23.7346078792249
"08071",30.6,29.4655622477609
"08073",27.3,26.7884791557333
"08075",27.4,27.5365544798632
"08077",28.2,27.637860424893
"08079",31,31.3506762782502
"08081",27.6,26.437358142911
"08083",30.4,29.9783310275797
"08085",30.8,30.8243254752178
"08087",25.7,26.7766548924762
"08089",29.8,27.5977019140848
"08091",31.2,34.4788934840889
"08093",30.3,29.2369469206199
"08095",29.6,28.2191809276409
"08097",26,25.3956417526233
"08099",27.6,26.8923418323062
"08101",28.8,26.8416530222402
"08103",27,27.7190621643893
"08105",28.4,28.5710643459447
"08107",24.7,24.9967014599614
"08109",32,30.7908017551861
"08111",28.2,27.0908250811316
"08113",25.1,24.2227534715125
"08115",33.6,30.5177284634565
"08117",22.7,22.9750966316836
"08119",30.5,29.4087938875238
"08121",29.4,30.1652017746548
"08123",21.5,24.215752852602
"08125",27.1,27.2831276556344
"10001",29.1,28.7450520124959
"10003",25.5,25.0973692573752
"10005",34.2,34.3656867793327
"11001",17.4,20.8808443963613
"12001",21.9,23.3813113081498
"12003",26.6,28.9876242538086
"12005",28.7,29.5847655206141
"12007",29.6,30.9761318479315
"12009",30,31.8633180500845
"12011",23.6,26.4116241961318
"12013",30.5,29.8288364242239
"12015",38.5,45.6511641270029
"12017",36.5,43.7213236436502
"12019",26.2,27.9283715124839
"12021",31.3,37.2187310126668
"12023",31,32.2267568141984
"12027",30.7,35.420863805095
"12029",34.7,35.7984721992626
"12031",25.2,25.8066862212592
"12033",27.3,29.9557579002843
"12035",33.6,37.1631446109364
"12037",32.2,33.8382537909116
"12039",31.2,32.1748695526177
"12041",29.6,32.3843325889678
"12043",30.5,36.2284157375349
"12045",30.8,32.5920858934231
"12047",31.4,32.7883414215164
"12049",27,30.2970228711644
"12051",23.2,28.0454006458453
"12053",31.3,36.8874363158279
"12055",37.5,43.1633800709217
"12057",22.3,24.7824768983355
"12059",30.8,33.2773290768097
"12061",34,38.8388270976486
"12063",29.6,33.9614360397231
"12065",30.5,35.4040328334879
"12067",28.3,33.0565686203932
"12069",30.2,35.0621749536042
"12071",30.7,36.0059085383474
"12073",21.6,23.7861927595632
"12075",33.5,36.1044588665771
"12077",27.9,27.9765823360414
"12079",32,34.9974169410082
"12081",30.1,34.9799682485042
"12083",32.1,37.5924145373251
"12085",32.4,36.4913187930599
"12086",20.7,26.4208095002331
"12087",27.9,30.3069923980437
"12089",28.9,31.0348808282862
"12091",25.7,27.3342334478051
"12093",29.4,31.8778095132867
"12095",20.6,22.8188080911241
"12097",21.3,25.3696566962696
"12099",28.7,30.5107469524431
"12101",28.3,32.0650180381069
"12103",30.4,33.3977326335925
"12105",27.5,31.1684511505931
"12107",33.9,35.6105865712829
"12109",27.1,26.6416869020856
"12111",29.5,33.5757116958935
"12113",26.6,28.1983711085242
"12115",34,40.5164404555677
"12117",22.8,24.6197677829905
"12119",41.5,55.3331864185193
"12121",31.1,32.8662664239624
"12123",32,33.3652707000334
"12125",28.1,29.933190733369
"12127",28.8,33.841352408166
"12129",27.5,29.3306560209583
"12131",29,28.3079262912372
"12133",31.5,31.9152479677602
"13001",31.3,32.2216486114832
