"county_fips","per_depres","pred_outcome"
"01001",23.8,21.7045571259474
"01003",23.5,21.50621236599
"01005",22.8,20.5249221285684
"01007",25.9,23.4545754632737
"01009",26.8,24.4450950815016
"01011",21.6,19.447421567603
"01013",22.8,21.1507900925752
"01015",24.6,23.0547403315636
"01017",24.2,21.5169229398349
"01019",25,24.4477602433848
"01021",24.9,22.7406314708081
"01023",23.7,21.0599692590783
"01025",23.7,21.3163092768666
"01027",25.9,23.7773020874381
"01029",27,23.3710447589173
"01031",22.5,21.9479514345261
"01033",25.1,25.0829836293465
"01035",22.6,20.4966649174271
"01037",23.1,21.553488728153
"01039",26.3,23.1080805905425
"01041",24.5,21.7941143984218
"01043",27.6,24.526596074519
"01045",25,22.092384096638
"01047",21,20.1030219127622
"01049",27.8,23.9613478674007
"01051",24.2,21.5322786637227
"01053",25.1,22.0546493067355
"01055",26.4,23.1743372542718
"01057",26.4,24.8778261096229
"01059",26.3,24.0582054674238
"01061",26.8,23.2011883378128
"01063",21.1,18.3276673557679
"01065",22.2,20.4520146217992
"01067",25.3,20.9861196515143
"01069",24.5,21.5030778575329
"01071",27.2,25.8189085888635
"01073",23,19.9779654910668
"01075",25.2,24.3693569934271
"01077",25.2,24.5256726430256
"01079",26.4,23.8801872444542
"01081",25.2,20.7680956299269
"01083",23.6,23.6029304699545
"01085",21.3,19.1954828122817
"01087",21.4,18.0990652930733
"01089",23,21.2422155851134
"01091",23.3,20.2337478549446
"01093",26.3,25.2901243068761
"01095",26.3,24.5096992195645
"01097",24.2,22.1617985006856
"01099",23.6,21.1325030315708
"01101",22,18.5946989490067
"01103",25.9,22.8455429711415
"01105",22.5,20.5967030653149
"01107",22.8,21.7615178466534
"01109",24.2,21.2758684666489
"01111",25.7,23.2918536872109
"01113",23.9,21.043258909527
"01115",25.9,23.0930813072163
"01117",23.2,20.803882442792
"01119",23.2,19.4478962006671
"01121",24.2,22.2802609132494
"01123",23.3,21.7917152819573
"01125",26.3,21.538765785738
"01127",28.7,24.4215402870837
"01129",24.5,21.7356017218683
"01131",22.8,19.7817181768609
"01133",25.9,25.7415997292271
"04001",24.4,19.2171007524051
"04003",21.6,18.7927233796889
"04005",22.5,19.151183018168
"04007",22.2,18.2172177516057
"04009",24.1,19.1697834156025
