"county_fips","per_obesit","pred_outcome"
"01001",39.8,36.8625514968337
"01003",35.2,34.7737738426608
"01005",46.8,43.2752651154787
"01007",43.9,40.7363248764061
"01009",36.1,37.0797884007839
"01011",51.3,45.7710778368687
"01013",40.4,42.8520810392169
"01015",38.6,38.9958198489147
"01017",41.5,40.9530262001977
"01019",39.5,37.5384680985639
"01021",40,38.7899741222321
"01023",44.4,43.1649302388291
"01025",43.9,43.4527050423066
"01027",42.5,39.7165565611383
"01029",37.4,35.9391834275638
"01031",41,38.3225134949419
"01033",37.5,38.4066759114461
"01035",46.4,45.0187554021876
"01037",41.9,39.8705026243415
"01039",37.9,38.7683915021713
"01041",40.5,40.3099704310791
"01043",36.4,36.3992566081968
"01045",41.3,39.0430393027753
"01047",46.3,46.610216491357
"01049",38.6,37.9395813649862
"01051",38.9,37.4045549898375
"01053",43.9,42.0729810743223
"01055",43.8,38.6194957649815
"01057",40.6,39.0246250864821
"01059",42.2,39.4323690991714
"01061",42.3,38.9552134487071
"01063",52.7,48.6034753531529
"01065",47.6,45.4161902054263
"01067",41.3,37.9429892242031
"01069",40.5,38.1076912373603
"01071",39.3,37.6334387834051
"01073",37.4,38.6916532487284
"01075",40.8,38.5060437464568
"01077",35.6,36.3084506518474
"01079",39.5,38.8655922279244
"01081",38.4,33.7985222784513
"01083",39.6,36.049092262478
"01085",51.2,48.0307141309983
"01087",46.7,45.2153905149865
"01089",39.9,35.0267523429946
"01091",43.1,43.3151175446536
"01093",42.4,37.7592691356626
"01095",37.6,37.0575812174442
"01097",39,38.9323590468367
"01099",43.8,43.4870190215932
"01101",46.1,39.4360438338207
"01103",38.6,37.3272191744499
"01105",52.9,48.0556223860443
"01107",48,43.0691907667074
"01109",40.3,40.2209541523857
"01111",37.8,38.4710631219828
"01113",43,42.3010858575429
"01115",39.6,37.2231481784164
"01117",31.7,32.0740059523329
"01119",47.2,47.2216215246539
"01121",45.6,41.4141502321768
"01123",39.5,39.2476285383839
"01125",41,39.3648289428084
"01127",35.8,38.0153774075202
"01129",41.1,41.7177969711866
"01131",51.2,47.5083155897736
"01133",39.1,38.1330263492352
"04001",35.8,38.571707683172
"04003",31.2,31.6227216562719
"04005",23.6,29.0600616907221
"04007",31.4,33.608813993376
"04009",36,36.2925534965493
"04011",33.1,32.9511807133986
"04012",33.2,32.8745495720673
"04013",30.4,28.7775095223564
"04015",32.7,33.9715245764205
"04017",37.6,36.2027092341879
"04019",31.1,28.7443928890995
"04021",38.4,32.5378805384723
"04023",34.2,34.3698637134526
"04025",27,28.831305351469
"04027",37.4,34.6256065786693
"05001",39.1,40.1554440734663
"05003",45.1,41.1950615716289
"05005",37.7,37.088805179424
"05007",35.3,37.0020928566758
"05009",40.7,38.6302157597171
"05011",42.5,42.0044076305768
"05013",39.2,38.7675761840568
"05015",37.6,39.7148339134716
"05017",47.1,43.7021265243054
"05019",40,39.0304406930801
"05021",40.2,38.9442593285457
"05023",37.9,36.9744175666355
"05025",42.4,38.7934490596577
"05027",37.7,40.8401368587746
"05029",41.4,39.0631406295497
"05031",39.1,38.210288792185
"05033",38.8,38.7222997687136
"05035",46.7,43.6272948846093
"05037",45,40.8271952919114
"05039",41.9,41.6692445528581
"05041",46.6,44.6384381669986
"05043",43.8,39.753406883493
"05045",39.8,35.7661633880916
"05047",39.8,39.8852891680988
"05049",39.6,38.9387802542534
"05051",39.1,36.2097041089402
"05053",36.9,36.7814197513411
"05055",42.3,39.6584739368312
"05057",45.6,42.2003866810645
"05059",37.1,38.7339964217899
"05061",39.4,41.2581644904898
"05063",41.6,40.0344369610831
"05065",41.2,38.3580547756944
"05067",43.9,41.4398160943939
"05069",45.9,42.6284973639277
"05071",37.4,39.0449936213021
"05073",46,43.4323276399637
"05075",43.7,39.9247793128281
"05077",46.9,45.9238519994714
"05079",42.6,42.2599487392351
"05081",41.3,39.2840316952868
"05083",38.1,38.881882364749
"05085",36.1,37.4642789678087
"05087",40.8,41.7335631523531
"05089",37.9,38.512591344044
"05091",38.1,40.4584013089992
"05093",46.6,42.8747891119675
"05095",43.5,41.7727780471478
"05097",40.9,38.2882190655839
"05099",44,42.34615581175
"05101",38.6,38.6533658086586
"05103",43.5,41.7781675928684
"05105",38.9,38.140975403556
"05107",48.4,45.2248124688211
"05109",38.3,38.5074072416132
"05111",41.4,41.0234930684039
"05113",40,38.0572293577281
"05115",44.6,37.4207629687647
"05117",40.3,37.1930252163212
"05119",40.5,37.6299741805377
"05121",41.4,39.8984986103013
"05123",48.2,45.0313689231274
"05125",34.5,35.5264921620841
"05127",37,39.8670935913185
"05129",39.9,39.7307500497144
"05131",36.2,38.4230926037207
"05133",41.4,43.696152985777
"05135",39.4,39.1150648916361
"05137",39.8,39.2359992747685
"05139",39.4,40.5712303949488
"05141",39.6,38.9119239541125
"05143",35.4,37.0981980930986
"05145",39.7,38.617521462766
"05147",39.2,40.2886498238359
"05149",42,39.977270101938
"06001",22.8,21.1489763508991
"06003",28.4,24.2176061126529
"06005",29.6,29.9034961414838
"06007",29.3,29.8678327680907
"06009",29.8,30.9744742140424
"06011",35,32.7919243406396
"06013",28,23.5407323414605
"06015",31,31.1632258992686
"06017",27.7,26.2371041797711
"06019",37.7,31.1975512194124
"06021",32.1,32.6889235978524
"06023",31.3,29.8626160169274
"06025",34.7,34.2426495442104
"06027",28.2,27.5732554544189
"06029",36,33.6052461023423
"06031",34.7,33.860922607726
"06033",32.7,32.9118411572133
"06035",34.2,32.5352503775941
"06037",26.5,27.3053094392972
"06039",36.5,33.2854867252132
"06041",21.3,19.9619984009399
"06043",30.5,28.1348855501854
"06045",29.3,30.8563955657572
"06047",33.8,33.6911351396455
"06049",31.9,31.9879375997073
"06051",31.2,28.1725137801834
"06053",31.1,29.2346335822562
"06055",27.9,25.9521202296761
"06057",27.5,26.4959901185094
"06059",23.9,24.2636234016983
"06061",27.3,24.9680295778348
"06063",29.9,31.3391515216663
"06065",36.8,30.3603386822601
"06067",29.6,27.6401590807182
"06069",31.5,30.1743994216745
"06071",33.3,31.7237722067134
"06073",25.3,24.9753348275565
"06075",17.2,18.8696810957159
"06077",30.7,30.6050592689465
"06079",26.1,26.2832303420971
"06081",22.3,20.5903155619152
"06083",26.1,27.7339755473392
"06085",21.9,19.4931188829003
"06087",25.8,24.8929980728997
"06089",29.3,32.0451256220621
"06091",32.5,31.2486008470099
"06093",31.8,31.4967436073298
"06095",31.3,28.2265244819265
"06097",26.1,26.4721615137048
"06099",36.4,32.0254935395784
"06101",29.5,31.5255134034246
"06103",31.6,32.454591459539
"06105",33.3,33.354810892252
"06107",35,33.9852474665038
"06109",29,30.3814859329139
"06111",25.7,27.151913894956
"06113",25.7,25.4288967174736
"06115",30.8,32.8430446783127
"08001",33.2,31.7249890007872
"08003",30.3,32.8391448438348
"08005",26.1,25.6268936388347
"08007",27.6,26.3980510584015
"08009",29.9,32.7939924881931
"08011",33.7,30.8541021928352
"08013",16.7,18.7842356583119
"08014",22.3,20.9890420024807
"08015",25.7,23.4805106932247
"08017",28.8,34.403230789765
"08019",23.9,21.372012908906
"08021",30.3,34.4467812631741
"08023",31.6,32.5846954374418
"08025",31.7,31.909270409144
"08027",26.6,27.0688901574725
"08029",26.7,29.7939269991979
"08031",21.6,21.4442838849714
"08033",27.3,29.0429204609382
"08035",25.3,20.442338610331
"08037",24.3,23.075849811878
"08039",24.8,29.9679507861909
"08041",28.3,27.5641017652386
"08043",30.6,29.7640578464136
"08045",24,29.2208119421724
"08047",25.5,22.5180310946788
"08049",24.3,25.8746761108257
"08051",23.8,19.8545172337333
"08053",23.5,23.1105562561082
"08055",27.5,27.7242181818808
"08057",30,29.2846614779478
"08059",23.1,23.5782339491135
"08061",27.1,36.6343662304941
"08063",29.4,37.4911962631108
"08065",23.9,26.3008792081458
"08067",20.9,24.765990897301
"08069",23.5,23.8004613402523
"08071",32.5,34.8833236659442
"08073",29.8,30.0200095764863
"08075",29.7,34.9866628875697
"08077",29.8,29.6401646795732
"08079",25.7,20.784942622253
"08081",28.5,33.4935784172246
"08083",28.4,29.5448760610151
"08085",27.5,29.5438725406411
"08087",32.1,35.9367652667999
"08089",34.6,34.6431436949953
"08091",23.3,19.5389180792605
"08093",23.5,26.6915217077101
"08095",28.9,35.3153779682902
"08097",20.7,18.6952660185549
"08099",29.2,37.0322132635453
"08101",32.1,32.5802437583166
"08103",26.7,30.4906797200376
"08105",27.7,30.4054870581682
"08107",23.7,22.3087265040109
"08109",29.1,29.6004834706241
"08111",26.4,23.3156280279674
"08113",26.3,17.3652415127289
"08115",28,36.2814716421785
"08117",24.4,21.3113134589408
"08119",24.1,27.4897175781758
"08121",26.4,33.9077019201545
"08123",33.8,30.6127633121921
"08125",28.4,34.5473283495779
"10001",43.5,37.0936284065653
"10003",33.4,32.666751096113
"10005",33.8,34.0926543115908
"11001",24.7,29.6771573630849
"12001",30.9,31.7416638914044
"12003",35.3,38.1321850362722
"12005",33.4,34.5045853325215
"12007",34.9,38.9579070024295
"12009",34,33.6048891077525
"12011",30.6,35.3401637534439
"12013",40,38.0325620758006
"12015",30.6,35.0767351895277
"12017",32.3,36.1091223052155
"12019",34.9,35.0641828319496
"12021",26.6,32.2782816028275
"12023",39.7,38.3608853446883
"12027",41,40.8222124951212
"12029",34.7,39.5502501070633
"12031",34.3,35.8856811639672
"12033",35.8,36.1830351055783
"12035",30.6,33.8864933499087
"12037",32.3,34.7520457174429
"12039",44.6,41.5434198159718
"12041",34.5,36.877246044988
"12043",37.1,40.0929799073723
"12045",35.3,35.4910902305579
"12047",41.5,41.8455877192249
"12049",39.9,41.2403088974695
"12051",37.6,41.7286082735059
"12053",36.1,36.8248833495793
"12055",36.7,37.5646192948598
"12057",31.6,34.475924174264
