"county_fips","per_copd","pred_outcome"
"01001",7.4,7.2633809384988
"01003",7.5,7.89871096964154
"01005",11.1,10.2759458969642
"01007",10.2,9.91310594618213
"01009",9.1,9.79818716301891
"01011",13,10.1678780809581
"01013",10.3,10.7991235772622
"01015",8.9,9.10337357481535
"01017",9.9,9.63904319245355
"01019",10.7,10.7940467037904
"01021",8.8,8.99808689934196
"01023",11.1,11.2437717485819
"01025",9.7,10.4980601001637
"01027",10.6,10.2493618123073
"01029",9.8,9.50597803630122
"01031",8.6,8.59439334166929
"01033",8.9,10.1859740809309
"01035",12.6,12.2415158820424
"01037",10.6,10.4173972257352
"01039",10.4,10.3299631197546
"01041",9.9,9.80735509159918
"01043",9,9.63204827612418
"01045",9.2,9.09681992909788
"01047",11.2,10.8498004501906
"01049",10.8,10.1504303937382
"01051",7.5,7.58865388976704
"01053",11.4,10.2800156064024
"01055",9.8,9.63795867922253
"01057",10.9,10.9594867101313
"01059",10.7,9.82364318317079
"01061",11,10.4212666407309
"01063",13.8,12.750923795112
"01065",10.3,10.4459087259328
"01067",9.7,9.7416756311652
"01069",8.9,8.69403450096124
"01071",10.9,10.7500526988636
"01073",6.9,7.08625606443568
"01075",11.1,11.0115989185503
"01077",8.2,9.3895442445538
"01079",9.8,9.78068686646172
"01081",6.4,5.89291450217984
"01083",6.9,7.43900808804037
"01085",12.3,11.2634273164847
"01087",8.8,9.88098604665384
"01089",5.8,5.94322723536311
"01091",9.9,10.0183605404924
"01093",10.8,11.058640895948
"01095",9,9.10362087438113
"01097",7.9,8.15941128234288
"01099",11.2,11.083862810898
"01101",7.5,7.07191056902302
"01103",8.5,8.56790764070083
"01105",12.9,11.5571911172312
"01107",10,10.5795978873975
"01109",7.8,8.28368285667145
"01111",9.7,9.76601547923485
"01113",9,8.93242931801579
"01115",7.9,8.6075157468879
"01117",5.5,5.46844651309787
"01119",9.3,10.5156349195132
"01121",9.4,9.64203652506436
"01123",9.5,10.0597932461418
"01125",6.6,6.94096685732389
"01127",10.2,10.4208487658824
"01129",9.5,10.223068147232
"01131",12.8,11.6149697452738
"01133",11.8,11.6763903096854
"04001",11.9,10.1969945330248
"04003",8.3,8.02584637727661
"04005",6.3,6.13248946332917
"04007",10.6,9.93685406078761
"04009",7.4,7.06566996603522
"04011",5.4,5.74945462864724
"04012",12.5,13.0687217705774
"04013",5.7,5.91431733469424
"04015",11.2,10.2544556919845
"04017",10.9,9.37962238149079
"04019",6.8,6.98729663672417
"04021",7.5,7.62300311543661
"04023",6.8,8.47338616157263
"04025",9.2,9.42921084012538
"04027",7.5,8.66767803914569
"05001",9.6,10.0188627987605
"05003",11.9,11.7033477445645
"05005",11.5,11.8087931656663
"05007",5.9,4.95775752342706
"05009",9.3,10.1027726161616
"05011",10.7,10.0769987090343
"05013",8.9,9.52368052466435
"05015",10.4,10.1930407345318
"05017",11.5,11.1549842402861
"05019",8.1,8.58386248010115
"05021",10.8,11.2775927022861
"05023",11.1,11.1786126251928
"05025",10.3,9.95412831758969
"05027",8.8,9.55307628715049
"05029",10.7,10.2718358635119
"05031",7.9,8.00679402018465
"05033",9.2,9.17767041441361
"05035",9.3,9.20197716160671
"05037",10.8,10.4867876307372
"05039",9.5,10.4147114176423
"05041",13.1,11.866675537652
"05043",9.8,9.57268130007148
"05045",6.7,6.59523684369571
"05047",11.2,10.8795878400788
"05049",13.2,11.805779693528
"05051",9.5,9.85876637126834
"05053",8.2,8.5190723547644
"05055",9.7,9.91035127182374
"05057",9.8,9.90592827628254
"05059",9.8,9.99170088092971
"05061",9.5,9.92785291863941
"05063",9.7,10.3408589565015
"05065",12.2,11.5028510193737
"05067",11.1,10.7808846657627
"05069",9.3,9.2185166404773
"05071",10.3,9.74183443903609
"05073",13.6,13.1835361770229
"05075",11.3,10.9235744658684
