county_fips,per_arthri,pred_outcome
17127,33.7,32.24500846862793
27017,30.3,27.81562328338623
37181,32.8,33.155555725097656
47079,41.6,35.42737579345703
06021,25.8,26.086857795715332
17093,21.8,22.48721981048584
19095,27.4,28.937872886657715
22003,29.6,29.439492225646973
18055,32.8,32.25778293609619
33001,32.6,31.025717735290527
46065,25.6,26.3268404006958
55027,33.3,27.6963472366333
28125,41.8,33.596147537231445
18103,30.9,31.131502151489258
20189,27.6,25.992579460144043
47047,33.9,32.57173156738281
01017,36.8,33.624813079833984
18127,29.0,28.127670288085938
25011,29.2,31.767781257629395
30051,38.2,34.60111618041992
48273,20.0,21.46609401702881
12007,31.5,29.052452087402344
17057,32.5,29.868913650512695
27065,29.4,30.775532722473145
20067,25.9,22.749165534973145
46035,28.2,27.660700798034668
48011,30.2,29.598639488220215
51740,27.7,29.96702003479004
31147,33.0,31.99972438812256
26037,29.8,28.562952041625977
27159,29.2,30.68007469177246
48171,30.8,31.57560920715332
13137,27.7,29.72146701812744
19155,28.6,28.070103645324707
25019,24.4,23.43608570098877
27027,23.4,22.910067558288574
31177,27.8,26.516313552856445
47165,28.8,28.70259952545166
20031,36.1,31.036410331726074
21211,29.3,28.989399909973145
28111,35.5,32.66134262084961
17053,30.3,28.83878803253174
40127,42.4,35.25955009460449
40105,33.9,31.831730842590332
48209,20.9,20.683368682861328
55063,27.1,24.83087158203125
29039,37.1,34.65003776550293
19189,30.2,28.11866569519043
48369,27.1,24.1774320602417
48329,18.4,21.746037483215332
17201,29.9,29.89116668701172
26151,33.9,34.17538070678711
31127,29.4,27.95429039001465
40059,32.2,30.610949516296387
13123,32.9,33.63982677459717
18005,27.2,26.387577056884766
18131,34.7,33.01035499572754
26107,31.3,30.34015655517578
28145,33.3,31.307791709899902
36093,26.2,28.092082023620605
48189,23.6,23.681718826293945
54041,38.4,35.64543151855469
13201,35.6,33.40615272521973
40099,32.8,30.443997383117676
36051,27.7,29.058999061584473
28129,38.2,32.59170722961426
01089,28.1,26.056039810180664
18163,31.1,29.78166961669922
26053,36.9,34.279571533203125
37157,32.1,34.338321685791016
51520,34.7,32.772104263305664
12117,26.4,27.872315406799316
18045,33.0,32.21059799194336
21167,33.4,31.611037254333496
28019,38.5,33.603309631347656
29059,36.8,34.359214782714844
48395,30.5,31.086050033569336
48221,34.6,29.69232177734375
56005,26.1,23.74497890472412
31093,29.8,28.698068618774414
36037,28.7,30.517986297607422
38037,37.6,33.489179611206055
47169,26.0,28.892704010009766
49053,30.2,29.113630294799805
01075,38.6,34.63065147399902
24047,35.7,32.88638114929199
40053,35.5,31.306949615478516
46033,33.2,33.621517181396484
08001,21.0,21.957754135131836
13003,29.3,29.626237869262695
18145,34.2,30.03116798400879
19141,28.1,29.70597267150879
27161,26.9,28.32125186920166
29063,29.4,27.631463050842285
48437,27.6,28.06245231628418
53063,29.4,25.313549041748047
13023,29.8,30.593504905700684
29123,32.7,32.243085861206055
19063,30.7,29.143940925598145
38073,27.5,29.470999717712402
48315,36.1,35.16268348693848
01061,40.4,34.20810890197754
19159,32.9,31.756016731262207
27091,31.2,30.961523056030273
31045,25.8,26.057076454162598
36009,33.0,31.227139472961426
05011,36.2,33.203128814697266
13113,26.9,26.85202693939209
19081,30.1,30.555514335632324
27039,24.6,24.899470329284668
46069,28.5,31.388883590698242
48063,30.0,29.39726448059082
48335,24.4,23.180429458618164
05059,35.9,32.33994674682617
31157,28.6,28.146986961364746
37137,34.9,34.768585205078125
20065,35.6,33.31550407409668
48045,36.0,32.614895820617676
08023,32.9,32.41053104400635
22067,36.6,34.9038028717041
37175,33.3,32.95910835266113
39153,30.3,30.43575954437256
04013,24.1,22.255532264709473
17165,35.3,30.975720405578613
26025,33.2,31.015718460083008
18113,28.7,29.594924926757812
35051,40.1,33.21874713897705
48373,33.8,29.706469535827637
01033,36.1,32.768296241760254
19115,29.5,28.604012489318848
26065,23.9,23.16672134399414
39171,32.1,31.895795822143555
27025,25.0,26.09265899658203
56011,30.5,29.620624542236328
48103,23.8,23.19857406616211
33019,33.0,30.599743843078613
42117,34.8,33.9698486328125
42119,28.6,27.92821979522705
48069,25.8,25.29014301300049
21063,35.3,36.6956844329834
35003,41.5,34.9122371673584
22081,34.5,34.442779541015625
17117,30.4,30.96051597595215
47069,33.5,32.281822204589844
24025,29.2,25.23326587677002
31117,33.5,33.03549003601074
51595,34.6,32.57490158081055
19109,30.5,29.576051712036133
46021,33.4,32.318519592285156
19099,26.1,28.026689529418945
19117,33.3,32.315711975097656
55015,27.1,25.831634521484375
18091,30.3,30.271278381347656
19193,23.1,25.072253227233887
26067,30.2,28.513612747192383
48123,29.3,28.870933532714844
37037,32.0,31.275708198547363
48325,24.5,25.989855766296387
21165,39.0,39.670875549316406
55055,26.5,26.952906608581543
26117,30.1,30.463361740112305
26123,31.2,32.664947509765625
26149,34.2,31.550092697143555
48079,27.0,26.96055316925049
26023,36.6,31.654425621032715
37147,26.4,25.61898899078369
37151,29.6,30.778111457824707
20011,31.1,30.678266525268555
48075,24.7,22.72873878479004
48105,25.7,25.90984535217285
37069,27.8,29.98324966430664
20115,32.6,30.868660926818848
17061,36.2,31.15994167327881
48131,26.2,26.867921829223633
21025,35.9,35.44149398803711
46125,27.3,28.074602127075195
47005,39.4,36.56341552734375
45011,31.7,33.750328063964844
48013,24.5,24.936890602111816
48017,23.2,23.526185989379883
42021,33.8,33.17656135559082
47067,40.9,37.724578857421875
47073,35.1,35.11015510559082
45039,35.2,34.298513412475586
51760,27.3,22.70165729522705
27079,27.0,26.447935104370117
48255,21.5,23.876359939575195
31003,30.4,31.04843235015869
29007,33.2,31.12717056274414
48035,32.8,32.83011054992676
48047,24.6,26.367135047912598
55107,37.5,32.427154541015625
51065,31.7,31.54531192779541
55131,28.7,28.259742736816406
27103,25.7,24.382740020751953
27117,30.2,29.595011711120605
27129,31.5,28.643378257751465
51111,34.7,35.464752197265625
51115,36.2,35.269466400146484
01057,39.5,35.17981719970703
42055,32.5,30.427846908569336
28049,32.7,28.24349021911621
18095,32.4,30.65994167327881
48177,26.6,27.678732872009277
16067,26.8,26.86120319366455
42085,35.3,32.07891368865967
29113,29.4,28.59843349456787
26093,29.9,28.34595489501953
26143,41.0,38.26466369628906
36005,23.3,24.545334815979004
39021,32.8,32.03937911987305
26161,23.3,22.471823692321777
31135,32.6,31.81299114227295
27151,29.2,30.472262382507324
38063,34.4,32.313958168029785
35047,26.9,27.642351150512695
29181,36.3,36.05448341369629
20173,26.6,25.272157669067383
13001,37.1,31.46086025238037
19021,22.1,25.33388900756836
17137,32.3,28.949313163757324
29229,37.7,34.22209167480469
17075,32.5,31.650290489196777
48271,27.9,27.76483154296875
17095,37.9,30.288146018981934
20041,33.9,29.73591136932373
13237,34.7,33.87249946594238
13165,33.7,33.95018768310547
48507,24.1,25.373543739318848
39041,27.1,24.881596565246582
13255,30.8,31.025065422058105
13005,31.4,30.08413600921631
16003,37.4,33.563703536987305
48413,28.8,30.421610832214355
29147,27.5,24.715798377990723
31001,30.9,26.15132999420166
31005,29.9,31.80381488800049
48279,27.0,28.136404991149902
48275,29.9,29.124348640441895
48345,33.2,32.238932609558105
29115,35.8,33.04532241821289
13085,27.9,29.809852600097656
05037,37.0,33.188228607177734
55113,34.6,33.82160949707031
55129,34.7,34.38901329040527
42019,29.3,28.488447189331055
36013,29.2,31.627988815307617
29079,34.3,32.47291374206543
48281,29.4,28.856586456298828
48057,26.4,27.087292671203613
16065,12.5,19.871606826782227
19069,28.6,29.725881576538086
16007,30.3,30.39960765838623
19079,28.9,27.6201810836792
01101,32.0,28.211398124694824
