county_fips,per_smokin,pred_outcome
17127,17.9,20.83888530731201
27017,15.2,17.099088668823242
37181,18.0,21.1188907623291
47079,22.9,21.19607639312744
06021,14.9,19.593087196350098
17093,11.4,12.397909164428711
19095,15.6,16.842864513397217
22003,21.5,22.42913818359375
18055,21.7,20.02490520477295
33001,14.8,14.645802021026611
46065,13.0,15.675023555755615
55027,19.2,16.80479097366333
28125,23.8,20.80112361907959
18103,20.8,21.470428466796875
20189,16.9,17.988842010498047
47047,16.9,17.233720779418945
01017,20.6,21.672035217285156
18127,16.2,15.01028060913086
25011,10.3,13.957834243774414
30051,24.3,18.13686180114746
48273,13.4,16.323233127593994
12007,20.9,21.482589721679688
17057,18.5,18.595267295837402
27065,18.3,18.6638126373291
20067,15.6,16.75450038909912
46035,17.8,16.312567710876465
48011,15.4,14.357826709747314
51740,17.0,18.776994705200195
31147,18.4,18.044584274291992
26037,12.7,14.96468448638916
27159,17.7,19.594953536987305
48171,13.7,13.535653114318848
13137,16.9,17.89431667327881
19155,18.1,16.487032890319824
25019,9.2,10.713893413543701
27027,13.4,14.713246822357178
31177,12.0,14.993924617767334
47165,17.3,16.18673038482666
20031,20.7,16.05711269378662
21211,15.5,17.3499755859375
28111,23.4,21.332053184509277
17053,16.7,17.924976348876953
40127,22.6,22.6550350189209
40105,19.6,21.493733406066895
48209,13.5,13.31841230392456
55063,13.4,13.631535530090332
29039,23.2,20.92130184173584
19189,12.2,16.402743816375732
48369,16.6,17.404508590698242
48329,12.7,14.045704364776611
17201,17.8,17.523791313171387
26151,20.8,20.701306343078613
31127,14.9,15.556084156036377
40059,15.6,18.583486557006836
13123,14.6,16.94523811340332
18005,15.8,15.566457271575928
18131,20.1,20.507390022277832
26107,18.5,19.41481876373291
28145,16.6,19.709836959838867
36093,12.9,15.418416023254395
48189,18.4,17.661261558532715
54041,21.7,22.571760177612305
13201,20.4,20.189096450805664
40099,18.5,18.545655250549316
36051,14.8,17.103572845458984
28129,21.0,21.052104949951172
01089,13.2,14.953197956085205
