county_fips,per_heartD,pred_outcome
13027,10.0,8.975279808044434
31095,8.1,8.336908340454102
51683,4.9,4.275109052658081
56021,5.9,5.75475287437439
13135,5.1,4.4669740200042725
20001,7.8,8.35602331161499
27065,7.8,7.810775995254517
28107,8.8,8.156491994857788
31185,7.1,6.839479446411133
42063,,7.6068785190582275
48327,10.3,9.750385761260986
29173,8.8,8.78725814819336
48151,8.0,8.261544704437256
51183,7.4,7.435106515884399
47183,7.8,7.947995901107788
26105,8.9,8.64677906036377
48159,7.5,7.4172279834747314
08075,7.5,7.300236225128174
22119,10.2,10.195605754852295
31045,6.5,6.562578916549683
51139,8.4,8.459049224853516
13161,8.5,8.40656328201294
18117,8.5,8.556402206420898
27015,7.2,7.219742774963379
31079,6.7,6.115671634674072
21223,,8.226561069488525
55113,9.6,8.80568552017212
41027,6.4,5.890740633010864
21169,,9.853282451629639
26007,9.5,9.022443294525146
19095,7.1,6.675041913986206
13061,10.5,10.820588111877441
18177,8.3,7.871865272521973
29227,9.9,9.342843055725098
31157,7.5,7.093909978866577
39107,7.3,7.141048908233643
01015,7.7,7.517055988311768
37095,9.6,8.821697235107422
19019,6.7,6.669861078262329
27121,8.1,8.108844518661499
21181,,9.542104244232178
42053,,9.451258182525635
46077,7.9,7.929060935974121
48375,7.2,6.9193596839904785
48413,7.4,8.999646186828613
51580,9.0,8.163780212402344
54063,10.3,9.751243591308594
48499,8.8,8.873415470123291
18041,8.9,8.661164283752441
28023,9.3,9.344074249267578
04023,7.5,7.362820148468018
17007,6.7,6.26167368888855
28039,7.2,7.494068384170532
37113,9.6,9.330113410949707
40025,8.7,8.714306354522705
01043,7.9,7.754134654998779
39065,7.5,7.589590549468994
20105,9.4,8.287213802337646
22059,7.0,7.418313980102539
36123,7.9,7.723958492279053
21035,,6.977749824523926
48045,9.9,10.069145202636719
48265,8.7,8.71135663986206
20009,8.2,7.970350980758667
16075,7.7,7.454019784927368
48269,10.4,7.510103225708008
39161,7.8,8.025233507156372
