county_fips,per_highCh,pred_outcome
17127,37.7,38.949771881103516
27017,31.7,35.17896842956543
37181,37.3,39.25149917602539
47079,42.6,42.409912109375
06021,34.9,36.23216438293457
17093,30.8,33.568058013916016
19095,35.0,36.674034118652344
22003,36.8,38.10958290100098
18055,37.4,39.31264877319336
33001,34.6,36.87756538391113
46065,34.5,35.70217323303223
55027,36.7,36.07756996154785
28125,38.9,37.865867614746094
18103,37.2,38.44815635681152
20189,37.3,38.327430725097656
47047,39.7,38.42678451538086
01017,39.5,40.39405632019043
18127,33.9,36.1194953918457
25011,35.2,35.15166473388672
30051,36.9,39.51433753967285
48273,34.2,35.298255920410156
12007,,39.48811721801758
17057,35.5,37.08392143249512
27065,34.0,38.23136329650879
20067,35.5,35.60515785217285
46035,36.5,37.37611389160156
48011,39.4,39.9488468170166
51740,33.7,36.57474708557129
31147,37.2,41.60262489318848
26037,34.3,35.416019439697266
27159,35.2,38.41679000854492
48171,41.1,42.86802673339844
13137,37.9,39.231224060058594
19155,35.1,37.83240509033203
25019,33.6,33.57730770111084
27027,29.2,31.187840461730957
31177,37.4,34.837467193603516
47165,36.3,37.018136978149414
20031,38.4,39.32035255432129
21211,34.8,36.30860900878906
28111,37.7,40.29700469970703
17053,34.1,35.881229400634766
40127,40.2,42.735374450683594
40105,39.5,39.33289337158203
48209,33.7,32.88641929626465
55063,31.3,34.23211097717285
29039,41.3,42.894596099853516
19189,35.6,35.290348052978516
48369,37.8,37.9256477355957
48329,33.0,35.26351547241211
17201,32.8,36.45277786254883
26151,38.3,40.99130439758301
31127,33.4,37.44132423400879
40059,39.2,39.79014587402344
13123,43.3,42.73020553588867
18005,33.9,35.47774124145508
18131,39.1,39.12912940979004
26107,35.5,37.184091567993164
28145,36.6,39.529001235961914
36093,33.2,35.78891372680664
48189,36.0,38.15915107727051
54041,41.7,40.5014533996582
13201,40.8,42.2717170715332
40099,39.0,39.24192237854004
36051,31.2,35.19351005554199
28129,38.7,39.91989517211914
01089,35.1,35.61050987243652
18163,35.6,36.56129455566406
26053,39.9,40.370750427246094
37157,39.0,40.85834884643555
51520,39.6,40.36235237121582
12117,,38.592491149902344
18045,37.7,39.03447151184082
21167,38.2,37.63198471069336
28019,40.4,39.650882720947266
29059,40.6,41.41387176513672
48395,39.6,40.67936134338379
48221,40.1,41.30277633666992
56005,29.7,32.02198505401611
31093,35.2,38.183034896850586
36037,35.1,36.14180374145508
38037,36.3,40.208988189697266
47169,34.0,37.11942672729492
49053,35.4,37.6778507232666
01075,40.1,42.209083557128906
24047,40.8,40.744022369384766
40053,39.3,40.56523895263672
46033,41.0,41.35139083862305
08001,26.4,32.23475742340088
13003,38.4,39.38313865661621
18145,36.8,37.429039001464844
19141,35.9,37.29452705383301
27161,32.5,35.737138748168945
29063,35.9,36.44442176818848
48437,37.8,39.77028274536133
53063,33.8,33.20439910888672
13023,37.7,37.99818229675293
29123,38.4,39.285743713378906
19063,37.1,38.13930702209473
38073,36.3,36.829105377197266
48315,42.8,43.38978576660156
01061,41.3,41.150381088256836
19159,37.6,39.37332344055176
27091,34.5,38.16246223449707
31045,32.9,35.30837631225586
36009,38.3,37.47292518615723
05011,39.5,39.92935562133789
13113,39.6,37.96873664855957
19081,37.8,37.50151824951172
27039,30.5,33.57582664489746
46069,36.0,39.37628173828125
48063,39.2,39.00031089782715
48335,35.2,37.46561622619629
05059,39.1,39.42686462402344
31157,32.6,36.99866485595703
37137,42.4,42.37239456176758
20065,43.1,42.55219841003418
48045,42.6,43.704694747924805
08023,37.9,40.42009353637695
22067,40.6,40.290666580200195
37175,41.1,42.35342597961426
39153,35.7,36.0181999206543
04013,33.3,34.90573692321777
17165,36.1,37.82322692871094
26025,36.2,37.755483627319336
18113,37.1,36.97226142883301
35051,42.5,40.14385223388672
48373,39.8,40.79842948913574
01033,38.7,39.37657165527344
19115,36.3,37.03149223327637
26065,32.2,32.751991271972656
39171,35.7,38.32295036315918
27025,31.0,32.95129585266113
56011,35.2,36.73296356201172
48103,35.4,37.284793853759766
33019,33.9,36.59243202209473
42117,37.0,39.216007232666016
42119,32.6,35.9405632019043
48069,37.4,38.59657287597656
21063,40.6,42.824039459228516
35003,44.3,42.63931465148926
22081,40.2,40.44119644165039
17117,35.5,37.21059226989746
47069,38.7,39.83717918395996
24025,35.4,35.59359169006348
31117,37.9,40.01113510131836
51595,39.8,39.46421432495117
19109,37.6,37.51771545410156
46021,39.5,37.49755096435547
19099,36.2,36.518808364868164
19117,37.4,38.654457092285156
55015,36.0,34.12002182006836
18091,37.3,37.383588790893555
19193,37.4,33.96935844421387
26067,33.7,35.971012115478516
48123,40.2,40.012460708618164
37037,38.0,40.040157318115234
48325,36.4,38.29606056213379
21165,40.7,44.23647117614746
55055,34.0,35.7467041015625
26117,37.0,38.19664764404297
26123,36.5,39.00972366333008
26149,36.0,37.986900329589844
48079,39.3,40.42338180541992
26023,39.7,38.52836799621582
37147,32.2,35.10059356689453
37151,37.4,38.85406303405762
20011,37.7,38.81492042541504
48075,34.8,36.94975280761719
48105,38.3,39.56422996520996
37069,36.2,39.47632598876953
20115,40.7,39.891788482666016
17061,35.9,37.874563217163086
48131,38.6,39.052860260009766
21025,40.8,41.10360336303711
46125,37.5,37.121652603149414
47005,43.3,43.55217933654785
45011,37.8,40.33317184448242
48013,36.8,38.47634506225586
48017,36.6,36.986005783081055
42021,37.6,38.568613052368164
47067,42.8,43.59104347229004
47073,41.3,41.81086730957031
45039,40.4,41.01799201965332
51760,31.6,31.79721164703369
27079,33.3,35.15664863586426
