"county_fips","per_obesit","pred_outcome"
"01001",38.9,38.4901041666666
"01003",36.8,37.5428583333332
"01005",43.3,42.1717375
"01007",41.4,39.8905666666667
"01009",37.3,37.5653125
"01011",49.6,47.0378000000001
"01013",45,43.0369416666666
"01015",37.7,38.7474708333334
"01017",45.6,42.867275
"01019",39.9,37.30015
"01021",36.7,39.5075083333333
"01023",46,43.7462458333333
"01025",44,43.8357208333333
"01027",39.5,39.9817499999999
"01029",39.6,37.8099375
"01031",34.2,38.8399291666667
"01033",40.6,38.9098041666666
"01035",44.4,43.3517333333333
"01037",42.9,37.2346833333333
"01039",43.8,39.6985625
"01041",40.3,38.5001374999999
"01043",40,36.7863291666666
"01045",44.3,39.1833291666668
"01047",50.2,45.2512244047618
"01049",39,39.2640333333334
"01051",36.4,37.7018875
"01053",43.4,44.6200124999999
"01055",41.4,38.7227291666666
"01057",39,39.1113375000001
"01059",39.4,39.4700083333334
"01061",38.6,39.9418
"01063",50.4,47.4255916666667
"01065",44.5,44.5720833333333
"01067",38.4,38.6836166666667
"01069",37.2,39.3748250000001
"01071",38.9,36.9531875
"01073",39.5,39.8853208333332
"01075",38.4,39.2938875000001
"01077",35.2,36.3071833333334
"01079",41.1,40.0903166666667
"01081",33.9,36.637925
"01083",36.4,36.40265
"01085",49.4,46.4088333333332
"01087",46,44.7926791666666
"01089",35.3,37.3995333333333
"01091",46.2,44.1745166666667
"01093",39.7,38.2643583333335
"01095",38.3,37.5046375
"01097",42.1,40.0820083333333
"01099",42.5,43.3859333333333
"01101",44.2,40.2921958333333
"01103",38.7,40.2241166666665
"01105",48.3,47.1358416666666
"01107",43.8,42.9911708333333
"01109",37.7,39.9083541666667
"01111",40.3,40.1307500000001
"01113",47.1,42.4112291666666
"01115",33.4,37.8558833333334
"01117",32,34.3930625000001
"01119",42.4,47.4427541666667
"01121",42.6,40.9344666666667
"01123",41.8,39.4616708333333
"01125",39.5,39.6709250000001
"01127",43.1,37.7475125
"01129",41.4,41.4191416666666
"01131",47.8,47.1747708333333
"01133",36.8,38.4953541666668
"04001",38.8,37.5433499999999
"04003",32.6,32.5476375
"04005",25.2,29.1083166666667
"04007",33.8,36.3278541666666
"04009",39.8,35.8076416666667
"04011",32.5,34.0648333333334
"04012",33.7,34.3733875000001
