"county_fips","per_heartD","pred_outcome"
"01001",6.7,6.79537083333332
"01003",7.5,7.44517500000003
"01005",9.5,9.16161250000002
"01007",8.5,8.06811249999999
"01009",8,7.99659166666668
"01011",10.7,8.92228750000001
"01013",9.1,9.22542083333335
"01015",7.7,7.63620416666667
"01017",8.6,8.73889583333334
"01019",9.6,8.88621666666667
"01021",7.6,7.96315833333334
"01023",10,9.27592500000002
"01025",8.7,8.7976125
"01027",9.3,8.90382083333333
"01029",8.4,8.46387916666667
"01031",7.6,7.60158749999998
"01033",8,7.87729166666667
"01035",11.1,9.67390000000003
"01037",9.8,8.0962625
"01039",9.2,8.69264166666665
"01041",8.5,8.64978333333332
"01043",7.9,7.8065625
"01045",8.1,7.87345416666665
"01047",9.6,8.94517083333334
"01049",8.9,8.70918333333333
"01051",6.7,6.65465
"01053",9.5,9.11414999999999
"01055",8.5,8.09653333333334
"01057",9.4,9.15561666666667
"01059",8.9,8.33712500000001
"01061",9.3,9.17375416666667
"01063",11.9,10.5367166666667
"01065",9,8.751275
"01067",8.9,8.56262916666666
"01069",7.9,7.88733333333333
"01071",9.2,8.747475
"01073",6.6,6.96120833333331
"01075",9.6,8.83603333333332
"01077",7.4,7.31430416666665
"01079",8.4,7.89472083333334
"01081",5.8,5.6940375
"01083",6.4,6.18978333333334
"01085",10.4,9.48767083333334
"01087",8.2,8.50177499999999
"01089",5.8,5.90198333333334
"01091",9,8.66946249999999
"01093",9.4,9.02171249999996
"01095",7.8,7.667775
"01097",7.3,7.34437500000002
"01099",9.7,9.43254166666667
"01101",6.9,6.97566666666668
"01103",7.7,7.43084583333332
"01105",10.9,9.23363333333334
"01107",8.7,8.88785833333334
"01109",6.8,6.91295833333332
"01111",8.7,8.18276249999999
"01113",7.5,7.354075
"01115",7.1,7.34958333333333
"01117",5.7,6.17299583333331
"01119",8.5,9.402625
"01121",8.3,8.24478333333335
"01123",9,8.69923333333333
"01125",5.8,5.89575
"01127",8.6,8.54901666666669
"01129",8.7,8.65912916666667
"01131",10.8,9.70997916666668
"01133",9.9,9.26754999999998
"04001",9.3,8.91540833333332
"04003",8.3,8.00008333333334
"04005",5.4,5.63292083333334
"04007",9.8,9.42913750000003
"04009",6.4,7.11489583333335
"04011",5.3,6.66381250000001
"04012",13.3,11.1403916666667
"04013",5.7,5.51727916666667
"04015",10,9.60693333333337
"04017",8.9,8.503925
"04019",6.7,6.33519583333331
"04021",6.9,6.87385833333332
"04023",7.5,7.54091666666666
"04025",8.8,8.52965416666665
"04027",7.9,7.51959999999999
"05001",8.6,8.9259625
"05003",10.2,9.12579166666666
"05005",11.1,10.1094083333333
"05007",5.6,6.1446
"05009",8.5,8.64285416666664
"05011",9.4,9.00305
"05013",8.5,8.66203750000001
"05015",9.7,9.59110833333331
"05017",10.3,9.4153375
"05019",7.2,6.98002083333334
"05021",9.3,9.04574583333334
"05023",10.3,10.1323833333333
"05025",9.3,9.00769999999998
"05027",7.9,8.09647500000002
"05029",9.4,8.96992083333332
"05031",6.7,6.67437083333334
"05033",8.1,8.21142083333335
"05035",7.9,7.80685833333331
"05037",9.1,8.95524166666668
"05039",9.2,9.73133333333332
"05041",10.8,10.1647291666667
"05043",8.5,8.38220833333332
"05045",6,6.49694583333334
"05047",9.5,9.31013333333331
"05049",11.5,10.3241291666667
