"county_fips","per_diabetes","pred_outcome"
"01001",13.3,11.9704484939575
"01003",13.4,11.838041305542
"01005",19.6,18.2061710357666
"01007",16.2,14.5052280426025
"01009",13.8,12.9568109512329
"01011",24.6,20.8340606689453
"01013",18.9,18.0452728271484
"01015",14.8,13.9507665634155
"01017",17.9,16.1800136566162
"01019",16,14.1039724349976
"01021",14.1,13.1911602020264
"01023",20.1,18.5293045043945
"01025",18.4,17.8439884185791
"01027",16.5,14.3811922073364
"01029",14.6,12.9169483184814
"01031",14.8,13.6044464111328
"01033",15,13.7036409378052
"01035",22.1,21.0485134124756
"01037",18.6,15.9287385940552
"01039",16.3,14.829776763916
"01041",16.6,15.3023900985718
"01043",13.4,12.6160335540771
"01045",15.8,14.3706607818604
"01047",22.4,21.936450958252
"01049",15.7,14.4096908569336
"01051",13,12.2426223754883
"01053",18.5,16.4325084686279
"01055",16.3,14.1233205795288
"01057",16.6,14.6551074981689
"01059",16.4,13.9140319824219
"01061",16.4,15.5307760238647
"01063",27.1,24.136754989624
"01065",19.7,19.1453056335449
"01067",16.7,15.3956165313721
"01069",15.7,14.8504104614258
"01071",16,13.6661767959595
"01073",15.1,13.0179738998413
"01075",16.7,14.4850358963013
"01077",12.9,12.0378274917603
"01079",15.5,14.0475816726685
"01081",12.5,10.3047552108765
"01083",12.5,10.9394826889038
"01085",24.1,21.7664833068848
"01087",20,19.3049468994141
"01089",12.1,10.8167152404785
"01091",19.8,17.3313522338867
"01093",15.5,14.3009462356567
"01095",14.5,12.7822551727295
"01097",16.1,13.9802398681641
"01099",19.7,18.6094188690186
"01101",16.4,14.9645252227783
"01103",14.7,12.615870475769
"01105",24.6,22.3124008178711
"01107",18,17.3378448486328
"01109",14.1,13.3536291122437
"01111",16.1,14.1590213775635
"01113",17.3,16.274845123291
"01115",13,11.9128131866455
"01117",11.2,10.2113828659058
"01119",19.7,20.9271717071533
"01121",17.2,15.5948858261108
"01123",16.8,15.5988855361938
"01125",12,12.1700277328491
"01127",15.1,14.0261993408203
"01129",17,15.8275594711304
"01131",23.8,22.8112716674805
"01133",16.5,15.3212404251099
"04001",17.5,18.5006370544434
"04003",13.7,13.3853321075439
"04005",9.3,10.6995229721069
"04007",15,15.3755035400391
"04009",11.4,12.8616781234741
"04011",10.6,11.1160907745361
"04012",17.5,17.7432765960693
"04013",10.6,11.060375213623
"04015",14.2,15.3800411224365
"04017",15.1,17.3765506744385
"04019",11,11.8657283782959
"04021",12.9,13.577579498291
"04023",15.5,17.1291790008545
"04025",12.1,13.6926937103271
"04027",14.5,15.8572654724121
"05001",15.2,14.1211738586426
"05003",18.3,16.0965175628662
"05005",15,14.0344839096069
"05007",10.3,10.1214351654053
"05009",13.1,13.1074161529541
"05011",17.6,16.2372283935547
"05013",14.6,13.6429443359375
"05015",15,14.7301015853882
"05017",20.5,18.6194038391113
"05019",12.9,12.9624824523926
"05021",14.1,13.8811531066895
"05023",15.1,13.7437934875488
"05025",15,13.8076581954956
"05027",14.4,14.5425043106079
"05029",15.6,14.1499156951904
"05031",11.6,11.5564794540405
"05033",13,12.986156463623
"05035",16.5,16.2418823242188
"05037",16.1,15.0160646438599
"05039",17.1,16.2142906188965
"05041",21.2,19.494140625
"05043",15.2,14.4818115234375
"05045",10.8,10.6966123580933
"05047",14.6,14.9216823577881
"05049",17.1,14.2068109512329
"05051",14.8,13.9357175827026
"05053",12,11.3153352737427
"05055",12.5,12.4896011352539
"05057",16.6,16.4269962310791
"05059",13.9,13.2657670974731
"05061",15.2,15.7683362960815
"05063",13.4,14.0455684661865
"05065",15.9,13.9073038101196
"05067",15.4,14.8384637832642
"05069",17.6,16.0036659240723
"05071",14.6,13.6612396240234
"05073",20.6,20.1302738189697
"05075",14.4,13.7771329879761
"05077",19.7,20.3126697540283
"05079",13.8,13.7822570800781
"05081",15.7,14.4078845977783
"05083",14.4,12.9983720779419
"05085",11.3,11.1918420791626
"05087",13.9,14.9446830749512
"05089",16.4,14.8371915817261
"05091",15.3,14.5939016342163
"05093",15.2,15.0392465591431
"05095",19.1,18.3771934509277
"05097",16.4,15.5948801040649
"05099",18.3,17.929220199585
"05101",15.3,13.8957939147949
"05103",17.7,16.1031284332275
"05105",14.1,12.5853385925293
"05107",21.7,20.282657623291
"05109",14.4,13.9832668304443
"05111",14.6,14.8787508010864
"05113",15.5,14.5538768768311
"05115",12.7,11.7610063552856
"05117",15.1,12.8021411895752
"05119",12.9,12.6388883590698
"05121",14.7,14.2492437362671
"05123",18.9,18.310697555542
"05125",11.3,10.9748687744141
"05127",14.8,13.4784736633301
"05129",17.6,16.5813045501709
"05131",13.1,12.5653820037842
"05133",15.2,15.8202075958252
"05135",16.2,14.5165357589722
"05137",17,15.8702850341797
"05139",16,15.2158355712891
"05141",16.2,15.0713243484497
"05143",10.1,10.0813770294189
"05145",12.6,12.5920972824097
"05147",18.3,16.8299770355225
"05149",14.7,12.8742380142212
