"county_fips","per_depression","pred_outcome"
"01001",25.1,20.6911087036133
"01003",22.5,21.1795501708984
"01005",22.1,20.0194320678711
"01007",24.4,23.5110645294189
"01009",24.8,23.2431411743164
"01011",21.1,19.3655910491943
"01013",22.5,20.204761505127
"01015",24.6,22.9439525604248
"01017",22.7,22.0316982269287
"01019",25,24.3403854370117
"01021",24.5,23.5033378601074
"01023",23.3,21.284252166748
"01025",22.6,20.8078498840332
"01027",24.4,23.9367961883545
"01029",25.5,21.796407699585
"01031",24.3,22.3692817687988
"01033",24.5,22.1795768737793
"01035",22.3,22.8743839263916
"01037",22.2,19.7367057800293
"01039",24.3,23.2613906860352
"01041",23.8,23.6639804840088
"01043",25.4,23.5413837432861
"01045",24.8,22.3862419128418
"01047",20.3,20.5087604522705
"01049",26.3,24.3322429656982
"01051",23,24.0583610534668
"01053",24,23.7471961975098
"01055",24.9,22.9582576751709
"01057",25.7,24.0548458099365
"01059",25.1,23.1989440917969
"01061",25.7,24.732608795166
"01063",20.4,19.4562454223633
"01065",21.2,20.2833290100098
"01067",23,21.6773891448975
"01069",24.9,22.1914215087891
"01071",26.7,24.1781196594238
"01073",22.7,22.3862056732178
"01075",24.7,23.1851692199707
"01077",24.2,21.8656330108643
"01079",24.9,23.3548164367676
"01081",23.6,22.3598766326904
"01083",23.7,21.9164066314697
"01085",20.9,20.9184513092041
"01087",20.7,19.7732124328613
"01089",21.6,19.5584201812744
"01091",22.3,20.8301067352295
"01093",25.7,25.0068836212158
"01095",25.4,22.625602722168
"01097",22.1,21.4892101287842
"01099",22.7,20.4783172607422
"01101",21,19.1090621948242
"01103",24,21.8541603088379
"01105",22.1,21.575647354126
"01107",22.3,21.9646377563477
"01109",24.7,21.969841003418
"01111",24.4,22.2746753692627
"01113",23.9,22.2321090698242
"01115",25,23.1751861572266
"01117",21.6,18.9981479644775
"01119",21.5,19.9008045196533
"01121",22.7,22.9289684295654
"01123",23.5,21.2175445556641
"01125",25,22.7509288787842
"01127",26.6,24.8247013092041
"01129",24.1,22.9694919586182
"01131",21.4,20.5373821258545
"01133",26.2,26.088249206543
"04001",20.4,19.4306926727295
"04003",19.9,19.9308338165283
"04005",22.5,19.610330581665
"04007",20.7,19.7838878631592
"04009",20.3,20.7550582885742
"04011",19.2,21.0970039367676
"04012",17.9,19.6409244537354
"04013",18.6,17.3554668426514
"04015",19.2,18.713680267334
"04017",22.2,21.1610908508301
"04019",22.8,17.8725738525391
"04021",19.8,18.2969245910645
"04023",16,20.5080833435059
