"county_fips","per_highChol","pred_outcome"
"01001",35.9,36.1917953491211
"01003",38.9,38.4589767456055
"01005",39.4,40.1612281799316
"01007",38.6,38.6470069885254
"01009",40,39.4924163818359
"01011",37.9,39.6328926086426
"01013",39.8,41.1023635864258
"01015",37.4,38.5756530761719
"01017",39.5,40.5613250732422
"01019",40.9,42.7323837280273
"01021",38.3,39.8425102233887
"01023",41.7,42.5014266967773
"01025",38.8,41.089786529541
"01027",40.6,41.2214851379395
"01029",40.1,39.8671379089355
"01031",34.7,37.2088050842285
"01033",38.7,39.3755493164062
"01035",40.5,42.772647857666
"01037",41.3,41.6754684448242
"01039",38.8,41.5261306762695
"01041",39.7,40.3330383300781
"01043",39.2,38.871265411377
"01045",38.4,38.2398910522461
"01047",38.3,39.2185134887695
"01049",40,39.8083152770996
"01051",35.2,37.1550979614258
"01053",37.1,39.4082946777344
"01055",39.1,39.7014083862305
"01057",41.1,41.6758079528809
"01059",38.5,38.9481048583984
"01061",41.3,41.6493644714355
"01063",41.1,42.6464500427246
"01065",38.9,39.4876441955566
"01067",40.5,42.4396705627441
"01069",36.7,38.5624198913574
"01071",40.7,41.6346435546875
"01073",35.4,36.2561264038086
"01075",40.1,40.3340225219727
"01077",38.7,39.0999069213867
"01079",39.2,40.1084518432617
"01081",32.4,31.9516735076904
"01083",36.9,36.2785530090332
"01085",38.3,39.3669662475586
"01087",36.1,38.8977966308594
"01089",35.1,34.3027420043945
"01091",39.7,39.7073669433594
"01093",40.5,41.1463203430176
"01095",37.9,37.6380882263184
"01097",37.8,38.0059204101562
"01099",40.5,40.7420196533203
"01101",34.9,35.5920333862305
"01103",39.6,37.3617324829102
"01105",40.1,41.7649192810059
"01107",38.4,40.6605339050293
"01109",33.6,34.996639251709
"01111",39.1,40.2225494384766
"01113",36.6,38.5050621032715
"01115",38.4,38.3333282470703
"01117",35.5,37.4533386230469
"01119",37.3,39.1780204772949
"01121",39.5,39.4478607177734
"01123",41.4,41.7059669494629
"01125",34.3,35.1251831054688
"01127",39.7,40.6890411376953
"01129",40.6,40.2178268432617
"01131",39.6,41.4504089355469
"01133",40.5,41.7445678710938
"04001",33.6,37.724292755127
"04003",36.9,38.0699729919434
"04005",27.3,32.6832504272461
"04007",34.5,39.7696838378906
"04009",32.8,35.2613220214844
"04011",29.7,33.1510734558105
"04012",41,43.9310417175293
"04013",33.3,36.4810943603516
"04015",37.2,41.5690650939941
"04017",34.8,38.9641761779785
"04019",34.1,37.013988494873
"04021",36.9,37.6400260925293
"04023",35.3,39.1294479370117
"04025",39.2,40.0785255432129
"04027",35,39.1671409606934
"05001",36.6,38.3752250671387
"05003",37.3,40.2067413330078
"05005",43.6,43.3029975891113
"05007",33.3,34.4975242614746
"05009",40.5,38.8325843811035
"05011",39.5,39.4708824157715
"05013",37,39.6758804321289
"05015",39.2,40.8922920227051
"05017",39,40.4517669677734
"05019",32.4,36.0483856201172
"05021",39.1,40.3665542602539
"05023",42.2,41.3525695800781
"05025",39.8,39.0526962280273
"05027",34.9,38.2727355957031
"05029",40.6,39.0183181762695
"05031",35.4,34.6731796264648
"05033",40.2,38.9810791015625
"05035",36.6,37.6920204162598
"05037",38.6,39.4462928771973
"05039",39.5,40.2750625610352
"05041",37.9,40.1657981872559
"05043",37.2,35.9776344299316
"05045",32.9,35.0697784423828
"05047",40,40.7490577697754
"05049",44.9,43.9823684692383
"05051",39.9,39.7686920166016
"05053",38.1,37.3584785461426
"05055",37.3,37.7070426940918
"05057",37.7,38.7994346618652
"05059",39.1,37.8122901916504
"05061",37.7,38.8539199829102
"05063",38.6,39.3378105163574
"05065",41.5,37.8824234008789
"05067",38.4,39.616813659668
"05069",37.8,37.4805107116699
"05071",38.2,39.3517265319824
"05073",42.1,43.3219451904297
"05075",37.8,39.7689781188965
