"county_fips","per_obesity","pred_outcome"
"01001",39.8,36.7630081176758
"01003",35.2,32.8375511169434
"01005",46.8,42.9283332824707
"01007",43.9,39.9804992675781
"01009",36.1,37.8686790466309
"01011",51.3,45.797191619873
"01013",40.4,41.3778915405273
"01015",38.6,37.7253341674805
"01017",41.5,40.1502304077148
"01019",39.5,37.8393783569336
"01021",40,38.8440551757812
"01023",44.4,41.2805252075195
"01025",43.9,41.7000045776367
"01027",42.5,39.4608154296875
"01029",37.4,37.4833602905273
"01031",41,37.903190612793
"01033",37.5,39.4496841430664
"01035",46.4,44.5440711975098
"01037",41.9,39.6918296813965
"01039",37.9,39.1846160888672
"01041",40.5,40.1564102172852
"01043",36.4,36.4526748657227
"01045",41.3,39.1826667785645
"01047",46.3,47.7737236022949
"01049",38.6,41.1053886413574
"01051",38.9,37.9264221191406
"01053",43.9,42.1016998291016
"01055",43.8,38.0167655944824
"01057",40.6,38.9660530090332
"01059",42.2,39.7605934143066
"01061",42.3,41.5601501464844
"01063",52.7,47.5762672424316
"01065",47.6,44.5127372741699
"01067",41.3,37.5942192077637
"01069",40.5,39.8571166992188
"01071",39.3,36.7976684570312
"01073",37.4,35.5613327026367
"01075",40.8,37.676586151123
"01077",35.6,33.9240570068359
"01079",39.5,39.5971565246582
"01081",38.4,32.2379455566406
"01083",39.6,34.743968963623
"01085",51.2,47.3997535705566
"01087",46.7,47.3853034973145
"01089",39.9,29.2947540283203
"01091",43.1,42.0515823364258
"01093",42.4,38.1604385375977
"01095",37.6,39.0312232971191
"01097",39,39.3532562255859
"01099",43.8,41.9174728393555
"01101",46.1,36.0162506103516
"01103",38.6,37.3498077392578
"01105",52.9,47.3014793395996
"01107",48,42.5690689086914
"01109",40.3,38.3491973876953
"01111",37.8,37.9170951843262
"01113",43,42.351245880127
"01115",39.6,37.552131652832
"01117",31.7,28.8302326202393
"01119",47.2,47.2764778137207
"01121",45.6,40.3563766479492
"01123",39.5,37.8490333557129
"01125",41,39.5060577392578
"01127",35.8,37.4212532043457
"01129",41.1,40.0156440734863
"01131",51.2,47.4717712402344
"01133",39.1,40.1737289428711
"04001",35.8,44.4509162902832
"04003",31.2,33.8389625549316
"04005",23.6,32.1824951171875
"04007",31.4,36.1592330932617
"04009",36,38.3712310791016
"04011",33.1,38.3450775146484
"04012",33.2,36.7441749572754
"04013",30.4,27.3239517211914
"04015",32.7,34.1869201660156
"04017",37.6,41.0055046081543
"04019",31.1,27.9704971313477
"04021",38.4,38.1513671875
"04023",34.2,39.9917907714844
"04025",27,30.3903045654297
"04027",37.4,39.7502136230469
"05001",39.1,37.6231689453125
"05003",45.1,41.027156829834
"05005",37.7,34.7696914672852
"05007",35.3,32.621524810791
"05009",40.7,37.8110389709473
"05011",42.5,42.0563926696777
"05013",39.2,37.5345993041992
"05015",37.6,37.4540748596191
"05017",47.1,42.3051681518555
"05019",40,38.2843780517578
"05021",40.2,37.5039215087891
"05023",37.9,34.5863609313965
"05025",42.4,39.053840637207
"05027",37.7,40.6433715820312
"05029",41.4,37.3796081542969
"05031",39.1,38.2977714538574
"05033",38.8,38.4749374389648
"05035",46.7,42.5986175537109
"05037",45,40.9166450500488
"05039",41.9,37.7182121276855
"05041",46.6,44.6530532836914
"05043",43.8,40.0685234069824
"05045",39.8,36.9003829956055
"05047",39.8,39.2611808776855
"05049",39.6,35.7573204040527
"05051",39.1,37.2800712585449
"05053",36.9,37.1513023376465
"05055",42.3,37.2298622131348
"05057",45.6,41.2416152954102
"05059",37.1,37.9967193603516
"05061",39.4,40.7537803649902
"05063",41.6,39.6332473754883
"05065",41.2,35.2812957763672
"05067",43.9,40.2465057373047
"05069",45.9,42.2102432250977
"05071",37.4,38.187671661377
"05073",46,41.9171752929688
"05075",43.7,40.5496215820312
"05077",46.9,46.5363616943359
"05079",42.6,41.8742179870605
"05081",41.3,40.0707473754883
"05083",38.1,37.0082855224609
"05085",36.1,37.004207611084
"05087",40.8,40.4648056030273
"05089",37.9,36.9466247558594
"05091",38.1,39.2526054382324
"05093",46.6,39.1386680603027
"05095",43.5,41.3303298950195
"05097",40.9,36.0695343017578
"05099",44,42.173469543457
"05101",38.6,36.3040084838867
"05103",43.5,40.7311248779297
"05105",38.9,38.8055572509766
"05107",48.4,44.5346298217773
"05109",38.3,38.8312606811523
"05111",41.4,40.5561065673828
"05113",40,36.759391784668
"05115",44.6,35.9248313903809
"05117",40.3,37.5896606445312
"05119",40.5,35.1310691833496
"05121",41.4,39.5578956604004
"05123",48.2,44.580997467041
"05125",34.5,35.086612701416
"05127",37,37.6021308898926
"05129",39.9,37.7987785339355
"05131",36.2,36.0597381591797
"05133",41.4,41.9752235412598
"05135",39.4,37.8347053527832
"05137",39.8,37.9745407104492
"05139",39.4,40.2824821472168
"05141",39.6,38.2716636657715
"05143",35.4,33.9135398864746
"05145",39.7,39.1022834777832
"05147",39.2,39.5897216796875
"05149",42,37.3513412475586
"06001",22.8,21.5622234344482
"06003",28.4,29.5924854278564
"06005",29.6,35.2408676147461
"06007",29.3,32.1378440856934
"06009",29.8,34.4346542358398
"06011",35,38.7983703613281
"06013",28,24.6165332794189
"06015",31,38.2479019165039
"06017",27.7,30.2620525360107
"06019",37.7,38.9102897644043
"06021",32.1,38.8055000305176
"06023",31.3,32.2271842956543
"06025",34.7,42.9248657226562
"06027",28.2,33.1200485229492
"06029",36,35.9114990234375
"06031",34.7,38.3427391052246
"06033",32.7,36.2128219604492
"06035",34.2,38.0266342163086
"06037",26.5,27.1560897827148
"06039",36.5,40.2176895141602
"06041",21.3,23.7786540985107
"06043",30.5,31.9214992523193
"06045",29.3,33.1418113708496
"06047",33.8,38.5727500915527
"06049",31.9,33.9379386901855
"06051",31.2,29.5657825469971
"06053",31.1,34.621280670166
"06055",27.9,29.1656227111816
"06057",27.5,30.2194728851318
"06059",23.9,24.9426746368408
"06061",27.3,29.3886852264404
"06063",29.9,34.0314712524414
"06065",36.8,35.373233795166
"06067",29.6,29.569034576416
"06069",31.5,39.6938667297363
"06071",33.3,37.9022445678711
"06073",25.3,24.5796165466309
"06075",17.2,18.4355773925781
"06077",30.7,37.0127487182617
"06079",26.1,28.8902263641357
"06081",22.3,20.871187210083
"06083",26.1,27.8342514038086
"06085",21.9,19.1215057373047
"06087",25.8,27.8293914794922
"06089",29.3,34.1252098083496
"06091",32.5,34.3499221801758
"06093",31.8,34.793758392334
"06095",31.3,32.9767532348633
"06097",26.1,30.2424030303955
"06099",36.4,35.271785736084
"06101",29.5,39.0887489318848
"06103",31.6,37.0181159973145
"06105",33.3,38.6601982116699
"06107",35,39.8499603271484
"06109",29,32.6189422607422
"06111",25.7,26.536994934082
"06113",25.7,31.2082786560059
"06115",30.8,37.9951820373535
"08001",33.2,36.4499092102051
"08003",30.3,35.8209533691406
"08005",26.1,25.5282402038574
"08007",27.6,28.4957389831543
"08009",29.9,32.9383506774902
"08011",33.7,39.2974815368652
"08013",16.7,21.5214366912842
"08014",22.3,24.5915088653564
"08015",25.7,23.7312450408936
"08017",28.8,36.9834022521973
"08019",23.9,23.1930809020996
"08021",30.3,38.2006607055664
"08023",31.6,35.6894760131836
"08025",31.7,38.1625366210938
"08027",26.6,29.400541305542
"08029",26.7,32.2111396789551
"08031",21.6,20.9666652679443
"08033",27.3,32.5247993469238
"08035",25.3,25.8930530548096
"08037",24.3,26.0180721282959
"08039",24.8,31.7478256225586
"08041",28.3,28.413932800293
"08043",30.6,34.037467956543
"08045",24,32.7869262695312
"08047",25.5,22.710620880127
"08049",24.3,29.3902339935303
"08051",23.8,22.7065315246582
"08053",23.5,29.38063621521
"08055",27.5,30.5285129547119
"08057",30,31.375020980835
"08059",23.1,23.301887512207
"08061",27.1,36.1255264282227
"08063",29.4,37.066764831543
"08065",23.9,28.5554618835449
"08067",20.9,24.4458312988281
"08069",23.5,25.8788185119629
"08071",32.5,33.0757179260254
"08073",29.8,34.9732093811035
"08075",29.7,34.5046424865723
"08077",29.8,31.5191555023193
"08079",25.7,23.0016956329346
"08081",28.5,35.5322532653809
"08083",28.4,31.9724674224854
"08085",27.5,31.9491367340088
"08087",32.1,37.3775978088379
"08089",34.6,35.621898651123
"08091",23.3,25.1863117218018
"08093",23.5,28.4921531677246
"08095",28.9,38.3127288818359
"08097",20.7,23.4111442565918
"08099",29.2,36.7911224365234
"08101",32.1,33.9615631103516
"08103",26.7,35.7582168579102
"08105",27.7,31.7071838378906
"08107",23.7,23.2403984069824
"08109",29.1,32.4760475158691
"08111",26.4,26.2891998291016
"08113",26.3,19.8015747070312
"08115",28,35.230354309082
"08117",24.4,24.6801280975342
"08119",24.1,27.3567581176758
"08121",26.4,38.0257835388184
"08123",33.8,33.0374565124512
"08125",28.4,35.9150695800781
"10001",43.5,39.3412437438965
"10003",33.4,33.3254623413086
"10005",33.8,31.9212417602539
"11001",24.7,23.5549163818359
"12001",30.9,31.4392395019531
"12003",35.3,38.0014762878418
"12005",33.4,34.5897026062012
"12007",34.9,39.4962501525879
"12009",34,30.5166110992432
"12011",30.6,28.5151443481445
"12013",40,40.9976234436035
"12015",30.6,32.1960563659668
"12017",32.3,31.5912418365479
"12019",34.9,34.4083061218262
"12021",26.6,27.8578720092773
"12023",39.7,39.3974342346191
"12027",41,39.5447731018066
"12029",34.7,38.3195762634277
"12031",34.3,32.8627510070801
"12033",35.8,36.0763053894043
"12035",30.6,32.713939666748
"12037",32.3,32.4596748352051
"12039",44.6,42.6574516296387
"12041",34.5,37.8372459411621
"12043",37.1,40.2996711730957
"12045",35.3,34.1290283203125
"12047",41.5,42.9619331359863
"12049",39.9,42.4027252197266
"12051",37.6,41.5612297058105
"12053",36.1,36.4412536621094
"12055",36.7,34.0758476257324
"12057",31.6,28.8169994354248
"12059",36.3,37.9565925598145
"12061",26.6,30.8850345611572
"12063",38.7,39.6659927368164
"12065",35.1,39.3972930908203
"12067",34.7,39.3020706176758
"12069",35.3,34.7696838378906
"12071",30.4,31.0620403289795
"12073",33.1,31.7792568206787
"12075",33.8,39.1091651916504
"12077",44.5,39.9291572570801
"12079",38,41.0618705749512
"12081",32.1,31.3058395385742
"12083",36.4,36.9563941955566
"12085",27,27.4264812469482
"12086",29.5,33.6213111877441
"12087",25.8,29.0703010559082
"12089",33.7,31.1770858764648
"12091",30.7,31.033483505249
"12093",43.9,39.1439437866211
"12095",33.5,29.8963298797607
"12097",39.8,37.2235298156738
"12099",26.6,29.0528984069824
"12101",31.8,34.174861907959
"12103",31.5,31.6307792663574
"12105",40.2,37.9446640014648
"12107",33.1,39.4477081298828
"12109",29.2,27.3495216369629
"12111",31.5,33.5397682189941
"12113",32.1,31.2353591918945
"12115",29.2,32.0277214050293
"12117",29.5,27.6655387878418
"12119",29.5,31.5196208953857
"12121",38.3,38.6260223388672
"12123",40.8,38.3972053527832
"12125",41.6,37.1166801452637
"12127",32.7,32.4878311157227
"12129",38.9,38.7853317260742
"12131",30.1,31.2719249725342
"12133",40.1,40.5368118286133
"13001",40.6,40.3510055541992
"13003",44,41.5255241394043
"13005",36.9,40.9287986755371
"13007",43.3,42.2171669006348
"13009",38.7,37.4875183105469
"13011",34.5,36.8319320678711
"13013",35.3,36.4483222961426
"13015",38.7,36.7061424255371
"13017",41.5,43.2194328308105
"13019",38.1,41.0591659545898
"13021",44.7,40.4821548461914
"13023",37.7,38.2464065551758
"13025",39,38.6420402526855
"13027",40.2,42.2486953735352
"13029",33.5,35.1717643737793
"13031",38.9,36.7376823425293
"13033",40.1,42.1078948974609
"13035",38.2,39.9241523742676
"13037",43.6,43.9664573669434
"13039",37.2,37.3468170166016
"13043",42.2,41.6642990112305
"13045",34.2,37.4399528503418
"13047",34.1,34.087589263916
"13049",41.5,42.8670616149902
"13051",33,34.0516586303711
"13053",35.8,38.5479965209961
"13055",35.2,40.5138854980469
"13057",33.5,32.3735542297363
"13059",30.2,30.7737159729004
"13061",41.2,40.5442161560059
"13063",45.2,44.0541877746582
"13065",41.9,41.7265739440918
"13067",29.9,27.0513973236084
"13069",39.3,42.527904510498
"13071",35.7,39.8909492492676
"13073",33.1,36.2509117126465
"13075",37.6,41.3553924560547
"13077",35.7,35.9159660339355
"13079",37.3,38.3840789794922
"13081",44.6,40.9451637268066
"13083",35.1,37.1173629760742
"13085",31.6,30.1734771728516
"13087",42.2,42.9706001281738
"13089",31.8,28.5758438110352
"13091",40.4,40.2174453735352
