"county_fips","per_arthritis","pred_outcome"
"55101",30.9,27.9033851623535
"55103",33.6,32.8400421142578
"55105",30.2,27.4262790679932
"55107",37.5,33.1047515869141
"55109",25.2,25.2854557037354
"55111",30.8,27.5604476928711
"55113",34.6,32.507152557373
"55115",32.4,31.3723201751709
"55117",28,27.4832992553711
"55119",32.9,31.2126560211182
"55121",32.1,30.0178680419922
"55123",31.4,29.8724803924561
"55125",36.6,34.4217872619629
"55127",26.6,27.4646148681641
"55129",34.7,33.6382904052734
"55131",28.7,26.9878787994385
"55133",27.9,26.8506698608398
"55135",29.4,30.2455768585205
"55137",35.1,34.0906410217285
"55139",26.9,26.5770111083984
"55141",32.7,29.4273338317871
"56001",19.5,19.7855625152588
"56003",31.8,29.4472408294678
"56005",26.1,22.6960868835449
"56007",26.8,27.3423881530762
"56009",28.8,27.7535095214844
"56011",30.5,28.7042560577393
"56013",30.5,28.7925796508789
"56015",32,29.6495380401611
"56017",35.3,31.6072254180908
"56019",32.5,30.6361637115479
"56021",26.6,26.1594181060791
"56023",28.6,28.6894607543945
"56025",29.9,26.0289249420166
"56027",33.5,33.3799934387207
"56029",30.5,30.2269325256348
"56031",33.9,31.37770652771
"56033",27.9,29.1818828582764
"56035",30.8,30.3449382781982
"56037",26.4,24.5062046051025
"56039",23.3,23.6293773651123
"56041",27.2,26.9193916320801
"56043",32.1,29.6920528411865
"56045",31.9,28.4876575469971
