"county_fips","per_diabetes","pred_outcome"
"06057",11.5,11.0866458333334
"06059",11.5,10.5033333333334
"06061",9.8,9.91004166666665
"06063",13.5,12.6022291666667
"06065",12.4,11.5154375
"06067",11.2,11.1530625
"06069",11.3,11.52525
"06071",12.1,12.2288541666666
"06073",10,10.1051041666667
"06075",10.2,9.17704166666668
"06077",12.3,12.2125833333333
"06079",10,10.36825
"06081",10.6,9.25877083333333
"06083",10.8,10.7731875
"06085",10.5,9.15208333333336
"06087",10.2,10.2021458333333
"06089",11.7,12.1284791666667
"06091",15.3,13.801
"06093",13.9,13.6587291666667
"06095",12.1,11.2335208333333
"06097",10.7,10.6877708333333
"06099",11.9,12.0731041666666
"06101",12.8,12.9243125
"06103",13,13.6787708333333
"06105",15.9,14.8969583333333
"06107",13.1,13.8140625
"06109",12.1,12.7784791666666
"06111",11.4,10.7371041666667
"06113",9.3,10.3045416666667
"06115",11.3,12.6932916666667
"08001",9.7,10.8371875
"08003",11.3,11.6303958333333
"08005",8.5,9.80529166666668
"08007",11.7,11.2270416666667
"08009",13.4,13.8977291666667
"08011",14.7,15.9135833333333
"08013",7.1,7.90364583333333
"08014",7.1,8.0656875
"08015",10.2,9.74937500000001
"08017",11.3,11.7762916666667
"08019",9,9.0849375
"08021",13.8,14.1824791666667
"08023",17,14.6131041666666
"08025",11,13.6430416666667
"08027",12.4,10.9232708333333
"08029",12.4,13.1834375
"08031",7.1,8.54127083333335
"08033",11.5,14.6355833333333
"08035",6.8,7.56920833333334
"08037",8.5,8.41679166666666
"08039",8.9,9.74827083333332
"08041",8.7,9.34087500000003
"08043",11.4,11.9238541666667
"08045",8.9,10.73725
"08047",9.6,8.57168749999998
"08049",9.1,10.0771458333333
"08051",7.1,7.69499999999998
"08053",10,10.6091875
"08055",13.9,13.5956666666667
"08057",13.9,13.3083541666667
"08059",8.3,8.39137499999999
"08061",11.8,12.1072291666667
"08063",11.4,12.1524166666667
"08065",8.4,9.49156249999999
"08067",9.3,8.88554166666665
"08069",7.3,7.94612500000001
"08071",13.7,14.0177916666666
"08073",10.8,10.9047083333333
"08075",11.2,11.5716875
"08077",9.8,10.7946875
"08079",10.5,10.03425
"08081",10.8,11.1487916666667
"08083",11.8,12.1689375
"08085",11.5,12.6511041666667
"08087",10.9,12.0850416666667
"08089",14.5,13.9618125
"08091",10,10.015
"08093",10.2,10.1217916666667
"08095",11.9,12.3864791666667
"08097",8.4,8.68614583333333
"08099",12.6,13.4680416666667
"08101",12.3,12.2424375
