"county_fips","per_asthma","pred_outcome"
"01001",10,9.94118749999999
"01003",9.7,9.67891666666667
"01005",11.2,10.8871666666667
"01007",10.7,10.4797708333333
"01009",10.5,10.423625
"01011",11.9,11.4556875
"01013",11.2,10.8871666666667
"01015",10.2,10.4089583333333
"01017",11.4,10.77975
"01019",10,10.3131875
"01021",10.1,10.4045
"01023",11.3,10.8079166666667
"01025",11.5,10.9142083333333
"01027",11,10.4130625
"01029",10.7,10.2079166666667
"01031",10,10.1316666666667
"01033",10.4,10.4464791666667
"01035",11,10.8892291666667
"01037",10.6,10.1966666666667
"01039",10.4,10.3519791666666
"01041",10.7,10.4517291666667
"01043",10.6,10.1962708333333
"01045",10.7,10.4126041666667
"01047",11.7,11.6757916666667
"01049",11.2,10.5315625
"01051",10.3,9.97075000000001
"01053",11.2,10.7839375
"01055",10.9,10.3950208333333
"01057",11.1,10.4577708333333
"01059",10.6,10.3936041666667
"01061",10.5,10.542125
"01063",12.4,11.5918333333333
"01065",11.5,11.1505625
"01067",11.2,10.1887708333333
"01069",11,10.3767916666667
"01071",10.9,10.3890625
"01073",10.5,10.1425416666667
"01075",10.4,10.3676458333333
"01077",10.1,9.82581250000003
"01079",11.2,10.4711666666667
"01081",10.1,10.4440416666667
"01083",10.1,9.81562500000001
"01085",12,11.4101458333333
"01087",12.1,11.829125
"01089",9.9,9.54597916666667
"01091",11.3,10.9498541666667
"01093",10.7,10.4176875
"01095",10.4,10.1297708333333
"01097",10.9,10.465625
"01099",11.3,10.8523125
"01101",11.4,10.83475
"01103",10.3,10.0524583333334
"01105",12.2,11.9116458333333
"01107",11,10.8873333333333
"01109",10.7,10.741875
"01111",10.8,10.5263541666667
"01113",11.6,10.906
"01115",9.9,10.1773958333333
"01117",9.5,9.61862500000001
"01119",12.1,12.0502708333333
"01121",11.4,10.572625
"01123",10.7,10.464375
"01125",10.8,10.6245833333333
"01127",11,10.3234791666667
"01129",11,10.5145833333333
"01131",12.4,11.5800208333333
"01133",10.1,10.3898958333333
"04001",15.1,11.9622916666667
"04003",10.3,10.246875
"04005",11.1,10.3477916666667
"04007",11.3,10.4856875
"04009",10.8,10.3481875
"04011",10,10.1338541666667
"04012",11,10.1105416666667
"04013",10.2,9.52008333333334
"04015",10.8,10.2891875
"04017",12.9,11.0913333333333
"04019",10.2,9.92168749999998
"04021",11,9.79504166666668
"04023",9.7,10.593
"04025",11.1,9.70089583333332
"04027",9.8,10.1563125
"05001",11.5,10.5172916666666
"05003",11.4,10.8331458333333
"05005",10.6,10.4245625
"05007",9.8,9.67254166666667
"05009",11,10.3820416666666
"05011",11.5,10.8282708333333
"05013",10.9,10.18425
"05015",10.4,9.95387499999999
"05017",11.7,11.1099583333333
"05019",11.6,10.39575
"05021",11.3,10.6067916666666
"05023",10.8,10.3981666666667
"05025",11.4,10.3162291666667
"05027",11.2,10.748
"05029",11.4,10.7628125
"05031",11.2,10.5744583333334
"05033",10.8,10.4620208333333
"05035",12.4,10.8698541666667
"05037",11.4,10.5359375
"05039",11.3,10.3891458333333
"05041",12.7,11.2099583333333
"05043",11.3,10.9734583333333
"05045",10.5,10.3121875
"05047",11.1,10.523
"05049",11.8,10.4457916666667
"05051",10.6,10.0461666666667
"05053",10.7,10.3853333333333
"05055",11.2,10.3705416666667
"05057",11.6,10.7712291666667
"05059",10.8,10.3991875
"05061",10.9,10.6215625
"05063",11.1,10.4394166666667
"05065",10.6,10.4694583333334
"05067",11.6,10.6040208333333
"05069",11.8,10.9518541666667
"05071",11.3,10.5896875
"05073",12,10.6494375
"05075",11.6,10.5016458333333
"05077",11.6,11.0388541666667
"05079",10.8,10.0851458333333
"05081",10.9,10.2305208333333
"05083",11.4,10.32875
"05085",10.9,10.2685208333333
"05087",10.9,10.4380625
"05089",10.9,10.4734583333333
"05091",11.6,10.535625
"05093",12.1,10.8070833333334
"05095",11.9,10.92625
"05097",11,10.2139375
"05099",11.6,11.5352916666667
"05101",11,9.80035416666669
"05103",11.5,10.5629375
"05105",10.9,10.5925625
"05107",12.8,11.5743125
"05109",10.9,10.4431041666667
"05111",12.1,10.6247916666667
"05113",10.9,10.4210833333333
"05115",11.1,10.474
"05117",11.4,9.7545
"05119",10.8,10.1566666666666
"05121",11.4,10.5192708333333
"05123",12,11.0493958333333
"05125",10,9.85595833333334
"05127",11.1,10.2875208333333
"05129",11.5,10.8752083333334
"05131",11.5,10.1292916666667
"05133",10.9,10.7225625
"05135",11.1,10.7130625
"05137",11.2,10.348
"05139",10.8,10.7467083333333
"05141",11.3,10.4054791666667
"05143",10.8,9.93008333333334
"05145",11.3,10.3704791666667
"05147",11.6,10.5059375
"05149",11,10.2351875
"06001",8.9,8.92827083333333
"06003",10.3,9.84633333333335
"06005",10.5,9.61004166666666
"06007",10.7,10.6364583333333
"06009",10.6,10.2964583333333
"06011",10.6,10.0494166666667
"06013",9.5,9.18227083333335
"06015",11.6,10.2833958333333
"06017",9.8,9.979875
"06019",10.8,10.6165833333333
"06021",10.8,10.2612916666667
"06023",11.6,10.6416666666667
"06025",10.2,10.6972291666667
"06027",10.4,9.98612500000001
"06029",10.4,10.489
"06031",10.5,9.94681249999999
"06033",10.8,10.4696666666667
"06035",10.7,10.012
"06037",9.1,9.582375
"06039",10.9,10.7458541666667
"06041",9.3,9.19825000000003
"06043",11.1,10.133125
"06045",10.7,10.1518958333334
"06047",11.1,10.435375
"06049",10.9,10.0873125
"06051",10.2,9.60772916666668
"06053",10.5,9.84987500000002
"06055",10,9.62208333333334
"06057",10.9,9.91785416666668
"06059",9,9.14512500000001
"06061",10.1,9.75939583333334
"06063",10.4,9.9474375
"06065",10,9.913375
"06067",10.9,10.0920833333333
"06069",9.8,9.56802083333335
"06071",10.4,9.88879166666668
"06073",9.3,9.38731250000001
"06075",8.5,8.89162499999997
"06077",10.1,10.1471875
"06079",10.2,9.91281249999999
"06081",8.6,8.74558333333334
"06083",9.9,9.57020833333334
"06085",8.5,8.73779166666666
"06087",10.2,9.81681250000001
"06089",11.1,10.3237083333333
"06091",10.5,9.62487499999999
"06093",11.1,10.4954375
"06095",10,9.86439583333333
"06097",10.2,9.84095833333335
"06099",10.6,10.1849791666667
"06101",10.5,10.1361458333333
"06103",11,10.646125
"06105",10.8,9.97616666666667
"06107",10.6,10.4256458333333
"06109",10.5,9.87977083333334
"06111",9.8,9.65454166666667
"06113",10.6,10.4261458333334
"06115",11.1,10.3708958333333
"08001",11.3,9.59277083333333
"08003",11.5,10.3218125
"08005",10.6,9.31358333333333
"08007",10.5,9.62031249999998
"08009",12.3,10.3395833333334
"08011",10.6,10.4585208333333
"08013",10.2,9.81247916666668
"08014",10.1,9.09039583333337
"08015",10.9,9.70797916666667
"08017",10.6,9.81474999999999
"08019",10.2,9.54839583333336
"08021",11,10.0247083333333
"08023",10.9,10.3094375
"08025",10.3,10.4454166666667
"08027",10.8,9.69587500000002
"08029",11.1,9.99687499999999
"08031",10.8,9.31920833333332
"08033",10.6,9.86016666666666
"08035",10.3,9.18097916666671
"08037",10.4,9.54066666666665
"08039",11.1,9.69939583333334
"08041",11,9.59264583333334
"08043",10.7,10.1817083333333
"08045",10.8,9.65956249999999
"08047",10.8,9.80685416666669
"08049",10.4,9.77581249999999
"08051",10.4,9.77445833333331
"08053",10.4,9.75881250000003
"08055",11,10.3571041666667
"08057",11.6,9.98437500000001
"08059",10.8,9.44918750000004
"08061",11.7,10.4688958333333
"08063",10.9,9.99697916666666
"08065",9.8,9.47914583333332
"08067",10.9,9.81800000000002
"08069",10.4,10.0073125
"08071",11,10.4624375
"08073",10.7,9.6341875
"08075",11.2,9.92285416666666
"08077",11,9.95116666666667
"08079",10.9,9.74131250000001
"08081",11.5,10.0435
"08083",11.8,9.78225000000001
"08085",10.9,9.55972916666668
"08087",10.9,9.93995833333332
"08089",11.8,10.7058333333333
"08091",10.6,9.61754166666668
"08093",10.7,9.76839583333336
"08095",11.4,10.0424791666667
"08097",9.8,9.36793750000003
"08099",11.8,10.2926875
"08101",11.1,10.4874583333333
"08103",11.2,9.75020833333334
"08105",10.5,9.5786875
"08107",10.5,9.68629166666667
"08109",11.3,10.0544791666667
"08111",10.5,9.93508333333336
"08113",10.3,9.55664583333333
"08115",11.7,10.0311666666667
"08117",10.4,9.44033333333332
"08119",10.7,9.92470833333334
"08121",10.9,9.06045833333334
"08123",11.1,9.64383333333336
"08125",11.4,9.77793750000001
"10001",11.9,10.185
"10003",10.8,9.92791666666667
"10005",10.4,9.99810416666668
"11001",10.4,10.5266041666667
"12001",9.8,10.3377708333333
"12003",10.1,9.99385416666664
"12005",10.1,9.79504166666669
"12007",10.6,10.3873333333334
"12009",9.5,9.67452083333333
"12011",9.7,9.54572916666667
"12013",10.3,10.3895625
"12015",9.4,9.81216666666664
"12017",9.6,10.0052708333333
"12019",9.6,9.769375
"12021",8.9,9.24874999999997
"12023",10.9,10.409875
"12027",10.3,10.6648125
"12029",10.6,10.0518125
"12031",10,9.98699999999998
"12033",10.4,10.0791875
"12035",9.3,9.52766666666668
"12037",10,9.89108333333334
"12039",11.1,10.9614166666667
"12041",10.3,10.0923958333333
"12043",10.2,10.430375
"12045",10,9.89181249999999
"12047",10.9,10.7673958333333
"12049",10.3,10.9772708333333
"12051",10,10.34975
"12053",10,9.77566666666668
"12055",9.8,10.0607291666667
"12057",9.9,9.59083333333332
"12059",10.3,10.1945
"12061",9.5,9.62758333333333
"12063",10.8,10.4774583333334
"12065",10.1,10.4058541666667
"12067",10.3,10.0908125
"12069",10.1,9.67308333333333
"12071",9.2,9.57535416666666
"12073",11,10.3997708333333
"12075",10.3,10.3312916666667
"12077",10.2,10.3128125
"12079",11.1,10.7977916666667
"12081",9.4,9.47824999999999
"12083",9.9,9.83799999999999
"12085",9.4,9.67852083333332
"12086",9,10.0820208333333
"12087",8.9,9.48566666666667
"12089",9.1,9.84164583333335
"12091",9.6,9.63341666666669
"12093",10.4,10.0965416666667
"12095",9.9,9.60279166666666
"12097",9.3,9.98335416666668
"12099",9.3,9.45335416666666
"12101",9.6,9.80133333333333
"12103",9.7,9.53922916666668
"12105",10.2,10.1891458333333
