"county_fips","per_HighBP","pred_outcome"
"18067",38.3,36.0533124999999
"18069",36.1,35.0684791666666
"18071",38.4,34.8246875
"18073",34.6,34.885875
"18075",39,38.02225
"18077",36.8,37.5233333333334
"18079",36.9,37.3145416666666
"18081",33.9,31.3973125
"18083",35.9,35.2108125
"18085",33.7,33.9722916666667
"18087",34.3,35.9300833333333
"18089",37.3,37.1264166666666
"18091",36.7,35.8228958333333
"18093",39.3,36.2881666666667
"18095",39.3,36.7303541666667
"18097",34.1,34.2293333333333
"18099",34.8,35.6256875
"18101",37.5,38.5186458333333
"18103",37.7,38.2775
"18105",27.6,26.2853958333334
"18107",36.2,36.1385416666667
"18109",36.3,34.36825
"18111",37.5,37.6872083333334
"18113",36.3,34.751625
"18115",39.7,38.49575
"18117",40.1,39.1121875
"18119",39.1,38.4987499999999
"18121",40.4,40.6179791666667
"18123",36.6,36.6986875
"18125",38.1,37.7608749999999
"18127",34.3,32.4606875
"18129",37.1,34.3136875
"18131",40.3,38.4614583333333
"18133",35,34.3426458333333
"18135",39.5,37.6130208333334
"18137",37.2,35.3608541666667
"18139",38.2,37.1382083333333
"18141",34.4,33.8839166666667
"18143",37.8,39.4485208333333
"18145",36.1,36.4248333333333
"18147",36.8,35.0173125
"18149",39.5,38.5263125
"18151",37,35.713375
"18153",39.6,37.7641874999999
"18155",39.6,40.2660416666667
"18157",26.9,27.9193125
"18159",37,35.7781458333333
"18161",38.1,36.3038958333334
"18163",35.4,35.1616249999999
"18165",38.3,37.949375
"18167",33.2,34.5823125
"18169",38.9,36.3508750000001
"18171",39.3,37.713875
"18173",33.8,32.4061041666667
"18175",40.2,38.7402916666667
"18177",41.6,39.32475
"18179",35,35.2598541666667
"18181",37.4,36.3713541666667
"18183",35.4,34.5144583333333
"19001",35.3,35.8988333333333
"19003",37,36.6029791666666
"19005",34.9,37.2523958333333
"19007",37.2,39.8257083333333
"19009",36.8,37.6115416666666
"19011",34,34.4079791666667
"19013",30.5,32.2635416666667
"19015",31.9,34.1697708333334
"19017",30.3,31.8401666666667
"19019",32,34.0955208333333
"19021",29.8,34.3195833333333
"19023",34.6,36.4641458333334
"19025",35.9,36.3897291666666
"19027",33.2,34.3960208333334
"19029",37.3,38.4391041666667
"19031",32.9,34.8778333333333
"19033",33.8,35.2224583333333
"19035",36.6,38.3426041666667
"19037",35,35.6861041666667
"19039",34.4,38.5654375
"19041",34.3,35.519375
"19043",37.7,39.2191875
"19045",34,35.9047083333334
"19047",35.4,39.995375
"19049",24.8,27.344125
"19051",33.7,34.4525624999999
"19053",32,36.0275416666667
"19055",32.5,34.8387083333333
"19057",35.5,35.882125
"19059",35.4,36.3070833333333
"19061",28.8,32.4708125
"19063",34,38.5289375
"19065",36.2,36.7494375
"19067",33.4,36.850875
"19069",35.1,37.7383958333333
"19071",34.6,35.7581458333333
"19073",34.9,37.0766458333334
"19075",32.5,34.9381458333333
"19077",34.2,36.1758541666666
"19079",33,35.2793125
"19081",33.7,36.5012083333333
"19083",34.6,36.4049583333333
"19085",34.6,35.1528958333333
"19087",33.5,35.0194791666668
"19089",33,36.1178750000001
"19091",35.3,36.7864166666667
"19093",33.3,36.4258333333334
"19095",32.2,34.400125
"19097",34,36.2247291666667
"19099",32.2,34.4059375000001
"19101",33.7,33.4754583333334
"19103",23,25.9509999999999
"19105",34.7,35.3123125
"19107",35.7,36.8117916666667
"19109",35.5,37.367125
"19111",34.7,36.4652708333333
"19113",31.6,30.7914375
"19115",33.2,37.1375624999999
"19117",35.5,40.029375
"19119",30.6,34.3184791666667
"19121",30.6,32.9237291666667
"19123",31.5,35.1331875000001
"19125",31.2,32.5681458333334
"19127",32.2,34.7613333333334
"19129",31.8,33.1886458333334
"19131",33.2,35.5759375
"19133",35.2,38.7852708333334
"19135",32.9,34.7244375000001
"19137",35.4,37.3697708333334
"19139",31.3,34.3935416666666
"19141",33,35.3879583333333
"19143",34.5,38.219
"19145",37.2,38.2415
"19147",36.2,36.0299791666667
"19149",32.1,34.9261041666667
"19151",37.3,37.582375
"19153",29.3,29.6843333333333
"19155",33,34.4292083333333
"19157",32.1,34.21725
"19159",35.9,37.3171458333333
"19161",33.8,36.92425
"19163",32.4,30.9119166666667
"19165",32.2,36.1538125
"19167",27.5,31.8807291666667
"19169",23.1,24.9903958333333
"19171",33.1,39.0023333333333
"19173",33.7,38.3645
"19175",33,35.7256458333333
"19177",36.4,39.14675
"19179",33.9,37.6571041666667
"19181",29.2,31.4106875
"19183",32,35.8432916666667
"19185",35.7,39.3817708333333
"19187",31.7,35.9782916666667
"19189",31.5,34.9273958333333
"19191",31.5,34.4597291666667
"19193",32,33.6485416666666
"19195",33.7,35.8035833333333
"19197",34.2,37.0605416666667
"20001",39.3,38.8989791666667
"20003",40,38.1257708333334
"20005",36.4,37.1073125
"20007",39.6,38.094125
"20009",40,37.7923333333333
"20011",38.1,36.7289375
"20013",40.2,39.2568958333334
"20015",35.4,31.8857083333333
"20017",38.3,37.7121875
"20019",44.1,41.8767708333334
"20021",42.2,38.3955833333334
"20023",42.1,39.9224166666667
"20025",37.3,37.851
"20027",40.7,37.6959583333333
"20029",36.3,36.77625
"20031",37.7,36.386625
"20033",38.9,39.2524583333334
"20035",38.1,35.2838333333333
"20037",34.3,32.7046458333333
"20039",41.4,38.5371249999999
"20041",35.6,36.37625
"20043",37.5,36.0585000000001
"20045",25.5,26.068
"20047",39.3,39.4395625
"20049",44.4,40.5864375
"20051",28.9,29.6475208333333
"20053",41.8,37.173625
"20055",33,33.9530416666667
"20057",35,33.5541875
"20059",35.6,33.7302916666667
"20061",29.4,31.8131041666667
"20063",39.2,38.0781666666667
"20065",44.6,39.4090416666666
"20067",32.8,31.9059375
"20069",34.2,33.1045624999999
"20071",36.5,36.7633333333333
"20073",42.6,41.3564166666667
"20075",34.1,34.0155208333334
"20077",42.1,40.5124791666666
"20079",37,35.1512708333334
"20081",35.1,37.9710416666666
"20083",36.7,37.4449583333334
"20085",38.9,36.4193125000001
"20087",35.7,35.585625
"20089",44.9,40.3700624999999
"20091",29.7,28.289875
"20093",36.5,39.5853124999999
"20095",37.8,35.8560833333334
"20097",36.3,37.9652291666667
"20099",39.4,37.8229791666667
"20101",40.7,38.3443333333333
"20103",35.3,29.5112916666666
"20105",40.4,38.2971041666665
"20107",39.6,37.2580208333334
"20109",39.5,35.8282916666667
"20111",32.2,36.1831875
"20113",34.4,33.6773125000001
"20115",38.8,37.1924583333332
"20117",38.9,36.7105
"20119",36.3,35.2942916666667
"20121",34.1,32.7016875
"20123",38.5,35.7720416666667
"20125",39.6,38.8543958333333
"20127",37.6,38.12625
"20129",39,39.330625
"20131",35.7,35.1193333333333
"20133",37.8,38.6019791666667
"20135",40.1,38.2863541666667
"20137",35.1,36.5228958333334
"20139",39,36.91875
"20141",41.3,38.6011249999999
"20143",38,35.8441875
"20145",40,37.24175
"20147",38.4,39.2623541666666
"20149",33.2,30.37575
"20151",37,34.2173541666666
"20153",42.6,39.3976666666666
"20155",39.3,36.3896041666667
"20157",41.7,38.2335833333333
"20159",35.7,35.646375
"20161",22.7,24.5541041666666
"20163",39.3,36.7515624999999
"20165",41.9,38.7965833333333
"20167",40.5,39.3332708333333
"20169",39.2,33.2874166666666
"20171",37.9,34.4843125
"20173",35.1,33.257875
"20175",32.3,33.6812916666667
"20177",36.7,35.0777291666667
"20179",37.7,37.2752291666666
"20181",35.7,34.0672708333333
"20183",41.9,38.4774999999999
"20185",39.5,36.2819375
"20187",38.4,35.6919791666667
"20189",35.4,39.3904375
"20191",37.6,35.730875
"20193",33.1,33.2099583333333
"20195",39,38.3929375
"20197",37.2,36.2546041666667
"20199",38.2,37.769125
"20201",40,37.7527708333333
"20203",39.2,38.9591041666666
"20205",40.7,39.114375
"20207",41.2,39.0952291666666
"20209",38.4,36.4087083333333
"21001",41.9,39.911
"21003",41.2,38.5082083333333
"21005",37.1,33.202625
"21007",43.4,37.6864791666666
"21009",43.4,41.7619791666667
"21011",41.3,42.7501875
"21013",46.1,44.8825833333334
"21015",34.5,30.8409999999999
"21017",40.6,36.2683541666667
"21019",41.2,38.1475833333333
"21021",37.5,35.0494374999999
"21023",41.1,39.277375
"21025",44.1,43.5990416666667
"21027",43.5,43.3855833333334
"21029",36.9,33.7366041666667
"21031",41.4,42.0407708333333
"21033",42.2,39.8936041666667
"21035",35.1,34.2094166666667
"21037",36.4,30.2791874999999
"21039",43.1,43.6121458333333
"21041",41.1,41.5716041666666
"21043",43.4,43.0133541666667
"21045",43.7,44.601
"21047",36.9,34.6410625
"21049",40.5,37.6226875
"21051",44.4,43.7551666666667
"21053",44.5,43.5266875
"21055",43,41.7681666666667
"21057",47.4,43.735375
"21059",37.9,35.1119999999999
"21061",42.7,42.0347708333333
"21063",45.4,44.0954166666667
"21065",44,43.8812916666667
"21067",35.2,28.9378541666666
"21069",40.9,41.8533749999999
"21071",46,45.5376250000001
"21073",37.8,35.4476041666667
"21075",46.8,45.32525
"21077",39,39.5109375
"21079",41.9,39.1491458333332
"21081",39.2,34.7664583333333
"21083",42.7,40.3285208333333
"21085",43.2,42.0097708333334
"21087",45.2,43.635375
"21089",40.5,39.3806041666667
"21091",38.3,38.5290833333333
"21093",37.1,35.188
"21095",46.9,45.5964166666667
"21097",40.8,39.6226875
"21099",43,42.3051458333334
"21101",40.4,38.4942291666666
"21103",41.1,40.2826875
"21105",47.3,39.5898333333333
"21107",43.3,40.5861041666666
"21109",44.9,44.0573541666668
"21111",37,33.1161458333333
"21113",36.4,33.8407708333334
"21115",43.2,42.4230208333334
"21117",35.8,29.887625
"21119",45.7,44.4739166666667
"21121",45.4,43.9895000000001
"21123",39.7,41.28375
"21125",42.3,41.0755
"21127",44.1,44.5063541666667
"21129",45.4,45.6808541666667
"21131",46.7,45.9881041666667
"21133",47.1,46.0159375
"21135",46.8,45.6101041666667
"21137",43.1,41.0676666666666
"21139",43.2,42.6807500000001
"21141",42.6,40.7897708333333
"21143",43.1,38.6175833333334
"21145",42.2,35.3801875
"21147",44.7,44.9462708333334
"21149",41.3,34.9516458333334
"21151",33.8,32.7603125
"21153",46.3,46.0037916666667
"21155",41.2,42.4487083333335
"21157",41.5,36.605
"21159",42,42.8788125000001
"21161",42.3,39.1816875
"21163",37.3,36.2231666666666
"21165",44.4,45.411875
"21167",39.6,36.0882708333334
"21169",42.3,43.2454375
"21171",43.2,42.390375
"21173",40.3,39.3150833333333
"21175",42.8,40.1787916666667
"21177",42.6,40.4952916666667
"21179",37.7,34.953
"21181",41.7,41.01425
"21183",40.9,37.7343125
"21185",34.1,28.1052083333333
"21187",40.6,38.2046666666666
"21189",45.3,45.4952083333333
"21191",40.8,39.8737708333333
"21193",45,42.9820833333334
"21195",45.1,43.3717083333334
"21197",39.1,41.5100625
"21199",41.8,41.5915208333333
"21201",45.3,44.5820416666667
"21203",43.3,44.2941458333335
"21205",34.3,35.2603125
"21207",43.4,43.1084583333333
"21209",34.8,31.8172916666666
"21211",36.5,33.7432499999999
"21213",38.9,35.8026874999999
"21215",37.6,33.1612291666667
"21217",38,36.1356875
"21219",41.7,41.3640416666666
"21221",45.4,39.76375
"21223",40.4,38.6318125
"21225",42.5,42.3057916666667
"21227",32.8,32.3913333333333
"21229",42,39.3294166666667
"21231",44.9,44.3448958333333
"21233",41.5,40.8701666666667
"21235",40.1,40.1969583333333
"21237",48.7,47.1328124999999
"21239",37.3,32.2475208333333
"22001",42.6,41.5176666666667
"22003",40.5,41.3794375
"22005",35.1,32.5504166666666
"22007",43.5,43.6046666666667
"22009",46.9,45.9225625
"22011",38.2,35.7690208333334
"22013",49.8,49.5888749999999
"22015",36.1,35.3052291666667
"22017",44,43.1910208333334
"22019",40.6,37.6971458333333
"22021",42.8,43.751
"22023",39.6,35.8146041666666
"22025",45.1,42.9376666666666
"22027",49.9,49.4492916666667
"22029",47.6,44.8356041666667
"22031",45.4,43.8290833333334
"22033",35.7,35.5043541666667
"22035",51.8,50.2625
"22037",43.6,42.8349791666666
"22039",44.5,44.7835416666666
"22041",43.8,45.8567916666668
"22043",40.1,40.1304583333333
"22045",42.8,42.6084583333333
"22047",44.2,43.2368333333333
"22049",44.1,45.56275
"22051",39.4,34.9452083333334
"22053",39.6,39.0550625
"22055",38.2,33.5149375
"22057",41.8,37.5396666666666
"22059",38.1,37.8383541666666
"22061",35.7,33.7210416666667
"22063",34.7,34.8425
"22065",48.6,50.4430000000001
"22067",49.4,48.992625
"22069",40.9,42.8612083333334
"22071",38.8,34.8944375
"22073",38.7,39.4833958333334
"22075",39.1,34.5331458333333
"22077",45.3,44.5758541666667
"22079",41.7,41.5344375
"22081",45.1,47.1148333333334
"22083",45.6,44.3035
"22085",45.1,45.03175
"22087",38.5,35.0712291666666
"22089",38.7,32.4838125
"22091",48.2,49.3039375
"22093",44.9,38.8900208333332
"22095",44.4,39.08475
"22097",44.9,46.2569166666667
"22099",42.1,42.3874375
"22101",44.1,44.1181041666666
"22103",37.3,32.7846666666668
"22105",40.4,40.5195833333333
"22107",54.7,50.9089166666667
"22109",41.3,37.6873749999999
"22111",45.8,44.3958125
"22113",41,40.2488333333334
"22115",32.9,34.6125
"22117",44.8,45.5149791666667
"22119",48.7,46.1528958333333
"22121",38.8,36.9992708333333
"22123",44.7,43.42675
"22125",43.8,38.7890833333333
"22127",45.1,43.7919166666666
"23001",31.8,35.4632916666666
"23003",40.2,39.7208541666667
"23005",30.3,30.8794583333333
"23007",31.3,37.2768333333333
"23009",33.6,34.6066249999999
"23011",34.2,34.5464166666667
"23013",33.7,33.6046458333332
"23015",33.2,34.6872708333333
"23017",37,38.568625
"23019",34.1,34.3441875
"23021",38.1,40.1897916666667
"23023",35.4,33.3633333333332
"23025",38.3,39.3122083333333
"23027",34.7,35.0704791666666
"23029",40.4,39.5595208333334
"23031",33.1,34.1663125
"24001",39.6,36.5719999999999
"24003",32.9,30.7969375
"24005",35.7,34.0146875
"24009",35.1,31.9498333333334
"24011",39.7,38.9813333333334
"24013",33.2,31.1645208333333
"24015",36.9,33.7886666666667
"24017",40.6,37.0353749999999
"24019",40.6,42.0610208333334
"24021",30.2,31.5435625
"24023",40.9,37.0999583333332
"24025",34.9,31.3185625
"24027",30.5,28.3288958333334
"24029",39.6,37.4143750000001
"24031",30.1,28.9827499999999
"24033",39.6,33.6858541666666
"24035",39.5,32.8635416666667
"24037",35.4,32.0932708333334
"24039",40.4,42.7150833333333
"24041",39.2,37.5202083333334
"24043",39,35.3665625
"24045",36.6,37.15725
"24047",42.1,38.3306041666667
"24510",36.3,35.2546458333333
"25001",35,33.8004166666666
"25003",34.6,33.5156249999999
"25005",31.6,32.7423125000001
"25007",30.7,34.5874375
"25009",30.6,31.1938750000001
"25011",30,33.18075
"25013",33.6,33.9834166666667
"25015",24.6,29.8281666666667
"25017",26.5,27.2230416666666
"25019",27.6,28.0637083333334
"25021",27.7,28.2785208333333
"25023",29,31.4508333333333
"25025",25.8,28.4720416666667
"25027",29.8,30.1020624999999
"26001",45.4,42.0708333333332
"26003",39.6,37.4275416666667
"26005",35.3,34.0002083333334
"26007",39,40.888875
"26009",38.4,37.3372291666666
"26011",41.6,39.7983541666666
"26013",39.6,40.2864791666667
"26015",33.9,34.9349375
"26017",38.5,37.2848541666667
"26019",38.7,37.6484791666666
"26021",37.2,34.9133333333333
"26023",38.3,38.1375416666667
"26025",38.2,37.3358333333333
"26027",39.2,36.4222708333334
"26029",37.7,36.1921666666666
"26031",41.5,38.9734374999999
"26033",35.8,38.0658541666667
"26035",42.7,44.2884999999999
"26037",33.6,33.5321041666666
"26039",40.9,38.6968958333333
"26041",39.7,38.153375
"26043",37.3,36.1475208333333
"26045",34.6,33.7661041666667
"26047",34.9,33.4953333333333
"26049",39.8,37.6303333333333
"26051",42.6,41.8352291666667
"26053",41.5,38.8824166666666
"26055",33.1,32.0160416666666
"26057",34.4,36.4145833333333
"26059",38,37.9780416666666
"26061",30.8,30.6359583333334
"26063",39.2,38.9321666666666
"26065",32.3,31.0377916666666
"26067",33.5,35.2017083333333
"26069",43.6,41.5825208333333
"26071",44.1,40.8485208333333
"26073",28.8,32.7122083333333
"26075",36.1,35.4878333333333
