"county_fips","per_heartDisease","pred_outcome"
"28147",9,9.15885416666668
"28149",7.5,7.42256250000001
"28151",9.1,8.08602083333332
"28153",9,8.38352083333332
"28155",7.3,8.11720833333334
"28157",9.1,9.40641666666666
"28159",9.6,9.10533333333333
"28161",9.6,9.11387500000003
"28163",8.3,8.20700000000002
"29001",6.1,6.27385416666668
"29003",7.1,7.08197916666665
"29005",9.4,8.45520833333333
"29007",8.3,7.98056250000001
"29009",9.2,8.87702083333335
"29011",9.5,8.78316666666667
"29013",8.5,8.69137499999999
"29015",10.9,10.2105625
"29017",8.9,8.35400000000002
"29019",5.2,4.87820833333333
"29021",7.6,6.92441666666668
"29023",9,8.44541666666667
"29025",8.1,7.9195
"29027",7.1,6.81624999999999
"29029",9.4,8.95143750000001
"29031",6.6,6.43233333333334
"29033",8.6,7.79075
"29035",9.7,9.3345625
"29037",6.4,6.42770833333333
"29039",9.9,8.94510416666667
"29041",9.1,8.45264583333333
"29043",6.3,6.1478125
"29045",9.5,8.32431250000001
"29047",5.8,5.41795833333334
"29049",7.5,7.39095833333333
"29051",6.3,5.8825625
"29053",7.3,7.09441666666667
"29055",8.7,8.54685416666668
"29057",10,9.03768750000001
"29059",9.1,9.62372916666668
"29061",9.1,8.39939583333334
"29063",7.8,7.37025
"29065",9.2,8.2115
"29067",9.6,9.483875
"29069",9.3,8.80516666666668
"29071",7.3,6.96350000000001
"29073",8.6,8.10083333333334
"29075",8,8.30502083333335
"29077",6.5,6.38295833333334
"29079",9.2,8.62162500000001
"29081",9.4,8.80135416666666
"29083",9.1,8.87383333333334
"29085",13.1,10.6555
"29087",9.1,8.40506249999999
"29089",7.3,7.20452083333333
"29091",9.1,8.92533333333335
"29093",9.3,8.90468749999999
"29095",6.2,6.13681250000002
"29097",7.2,6.76558333333334
"29099",6.6,6.37697916666666
"29101",5.5,5.65577083333334
"29103",9.7,8.57833333333332
"29105",8.6,8.05735416666668
"29107",7.2,6.90160416666667
"29109",8.4,7.79877083333334
"29111",7.9,8.27504166666668
"29113",6.3,6.67679166666666
"29115",8.5,8.39529166666665
"29117",7.8,7.64918749999999
"29119",9,7.7164375
"29121",8.2,7.91285416666666
"29123",7.9,7.87154166666667
"29125",8.5,8.80435416666667
"29127",7.5,7.10587499999999
"29129",9.8,8.51243750000001
"29131",8.2,7.85824999999999
"29133",9.2,8.18216666666667
"29135",7.1,6.951375
"29137",9.6,9.39704166666669
"29139",8.5,8.32993750000001
"29141",10.1,9.2568125
"29143",9.1,8.84077083333335
"29145",7.9,7.45931249999999
