"county_fips","per_smoking","pred_outcome"
"56001",12.8,12.4240625
"56003",14.9,16.1851458333333
"56005",19.1,15.5191666666667
"56007",17.1,17.63425
"56009",17.6,17.4317291666666
"56011",16.4,15.3365208333333
"56013",17.9,17.3412708333333
"56015",13.6,15.6828958333333
"56017",15.6,14.9005
"56019",13.6,14.9732291666667
"56021",17,14.7149583333333
"56023",14.3,16.1956666666667
"56025",17.7,15.2633125
"56027",20.3,17.7365833333334
"56029",13.3,14.4966875
"56031",17.1,15.8132291666666
"56033",14.2,14.6574375
"56035",13.6,15.8322708333333
"56037",17.7,16.4910625
"56039",11.4,10.7703541666667
"56041",17.8,16.8449791666666
"56043",17.3,16.1544166666667
"56045",17.6,17.7409375
