"county_fips","per_depression","pred_outcome"
"01001",23.8,21.0662083333333
"01003",23.5,21.2010833333333
"01005",22.8,21.5117708333334
"01007",25.9,24.1466041666667
"01009",26.8,23.7053958333333
"01011",21.6,19.8524375
"01013",22.8,20.9493541666666
"01015",24.6,23.3756875
"01017",24.2,21.9807083333334
"01019",25,23.3457083333334
"01021",24.9,23.4253958333334
"01023",23.7,21.2391666666667
"01025",23.7,20.8481874999999
"01027",25.9,23.9078958333333
"01029",27,22.2585833333333
"01031",22.5,22.443375
"01033",25.1,23.6750416666666
"01035",22.6,21.1598958333333
"01037",23.1,20.8690208333333
"01039",26.3,23.60375
"01041",24.5,23.0139791666666
"01043",27.6,22.6985416666667
"01045",25,23.278
"01047",21,20.9456875
"01049",27.8,24.1665
"01051",24.2,21.6934375
"01053",25.1,23.3024166666667
"01055",26.4,23.6211458333333
"01057",26.4,24.4611041666667
"01059",26.3,23.0479583333334
"01061",26.8,24.2457291666667
"01063",21.1,19.8237708333334
"01065",22.2,20.6061875
"01067",25.3,21.6293958333334
"01069",24.5,22.3126875
"01071",27.2,24.7046458333333
"01073",23,21.31225
"01075",25.2,23.7629166666666
"01077",25.2,22.500875
"01079",26.4,23.8886666666667
"01081",25.2,22.3808541666667
"01083",23.6,21.0877708333333
"01085",21.3,19.8320833333334
"01087",21.4,20.1207083333334
"01089",23,20.0576458333333
"01091",23.3,21.2109375
"01093",26.3,24.2082083333333
"01095",26.3,23.0196458333334
"01097",24.2,21.8570416666667
"01099",23.6,20.6489166666666
"01101",22,20.3710833333334
"01103",25.9,22.2342708333334
"01105",22.5,21.2881041666667
"01107",22.8,21.576875
"01109",24.2,22.1017708333333
"01111",25.7,22.7802291666667
"01113",23.9,21.4927291666667
"01115",25.9,22.5044375
"01117",23.2,19.9067708333333
"01119",23.2,20.5352916666667
"01121",24.2,23.1713333333334
"01123",23.3,22.4344791666667
"01125",26.3,22.40275
"01127",28.7,23.7850625000001
"01129",24.5,22.2424791666667
"01131",22.8,20.769
"01133",25.9,25.4196458333333
"04001",24.4,20.14525
"04003",21.6,21.1681875
"04005",22.5,21.0378333333333
"04007",22.2,21.5065625
"04009",24.1,22.2204166666667
"04011",20.2,21.1246666666667
"04012",20.6,20.5430208333333
"04013",20.6,19.4637916666667
"04015",22.2,20.6033958333334
"04017",23.2,20.852125
"04019",24.1,20.5914583333333
"04021",22.2,19.7169375
"04023",18.8,21.0967291666667
"04025",21,21.0493333333334
"04027",19.5,20.6358958333333
"05001",26.1,23.7250833333333
"05003",25.3,23.94725
"05005",26.8,22.6555833333333
"05007",23.8,20.9650416666667
"05009",29.2,23.1525625
"05011",25.2,22.077125
"05013",25.2,22.1465833333333
"05015",26,21.8655
"05017",23.1,21.187
"05019",27.6,23.4413541666667
"05021",29.3,25.7021666666666
"05023",27.1,22.4718125
"05025",28.4,21.7695208333334
"05027",25.4,23.1988125
"05029",27.5,23.2197291666667
"05031",28.7,23.9921041666666
"05033",26.9,24.3380208333333
"05035",26,22.1152916666667
"05037",26.6,24.33175
"05039",23.5,21.584125
"05041",25.4,23.3917916666667
"05043",26.8,22.839
"05045",27.5,23.691625
"05047",27.8,26.0634166666666
"05049",28.8,24.152375
"05051",28.4,22.0835208333334
"05053",27.5,23.0360833333334
"05055",29.7,24.9811666666667
"05057",25.4,21.7804791666667
"05059",26.4,22.942125
"05061",24.8,22.2359375
"05063",28.8,25.0810208333334
"05065",26.1,21.378875
"05067",27.8,25.1136875
"05069",24.8,21.31575
"05071",28.7,25.6721666666667
"05073",25.2,21.5870416666667
"05075",30.6,26.1855
"05077",23.7,21.2145416666667
"05079",25,21.7697083333334
"05081",25.6,21.7268541666667
"05083",28.2,24.1998541666667
"05085",27.8,24.4218958333333
"05087",27,23.6431041666666
"05089",26.6,23.3744583333333
"05091",26.8,23.1134375000001
"05093",27.4,23.2392291666667
"05095",24.9,21.2909583333334
"05097",26.5,21.9247083333334
"05099",25.7,24.9488333333333
"05101",27.8,20.6686458333333
"05103",25,22.0951041666667
"05105",27.4,23.5769791666667
"05107",24,21.7815625
"05109",27.4,23.6298125
"05111",30,25.4474583333333
"05113",28,23.5552291666667
"05115",29.2,23.6150208333333
"05117",26.4,20.3745416666666
"05119",25.2,21.4547708333333
"05121",29.3,25.0700208333334
"05123",24.6,21.5722708333334
"05125",26.1,20.8832708333333
"05127",27,23.0776666666666
