"county_fips","per_copd","pred_outcome"
"01001",7.8,7.00537500000001
"01003",7.9,7.73079166666667
"01005",11.7,10.625375
"01007",10.3,10.0210416666667
"01009",10.5,9.1625
"01011",12.3,11.143
"01013",10.9,10.5048125
"01015",9.1,9.07320833333333
"01017",11.3,10.1590833333333
"01019",10,10.2353125
"01021",9.2,9.31118750000001
"01023",12.5,10.8316666666667
"01025",11.3,10.3140208333333
"01027",11.9,10.6682916666667
"01029",12,9.36864583333334
"01031",8.2,8.42425000000001
"01033",9.3,9.57083333333335
"01035",11.7,10.8653333333333
"01037",10.9,9.45506249999997
"01039",9.4,10.53375
"01041",10,9.85783333333332
"01043",10.8,8.93870833333332
"01045",10,9.04847916666667
"01047",11,10.7222708333333
"01049",13,10.2374375
"01051",7.6,7.54639583333334
"01053",10.9,10.5567083333333
"01055",10.4,9.46081250000001
"01057",12.1,10.9357083333333
"01059",11.4,9.30729166666666
"01061",11,10.7187083333333
"01063",13,11.4764791666667
"01065",10.7,10.5097291666667
"01067",12.5,9.33356249999999
"01069",9.6,8.79858333333332
"01071",12,10.53975
"01073",7.4,6.95331250000002
"01075",11.2,10.5829791666667
"01077",8.3,8.0196875
"01079",11.4,9.80827083333334
"01081",6.9,6.19577083333334
"01083",7.5,6.66695833333333
"01085",12,10.5858333333333
"01087",10.3,9.901
"01089",6.4,5.40308333333333
"01091",11.3,9.8048125
"01093",12.4,10.678625
"01095",8.8,8.65152083333334
"01097",9.7,8.50337499999999
"01099",11,10.6071666666667
"01101",8.3,7.49222916666665
"01103",9.8,7.87339583333334
"01105",12,12.3782916666667
"01107",10.5,10.3458333333333
"01109",7.2,7.7965625
"01111",10.6,9.91768750000001
"01113",10.1,9.16429166666667
"01115",7.9,8.08908333333333
"01117",5.5,5.61612500000001
"01119",9.5,10.4204791666667
"01121",10.3,9.8924375
"01123",10.6,10.0689375
"01125",7.4,7.02664583333334
"01127",12.4,9.89777083333337
"01129",11.3,10.0038541666667
"01131",13.3,11.5457708333333
"01133",11.6,11.3629583333333
"04001",13.5,10.9098333333333
"04003",9.3,8.09485416666667
"04005",6.7,6.1689375
"04007",11.5,10.0901875
"04009",7.1,8.55131249999999
"04011",6.3,7.43800000000002
"04012",14.5,10.4740625
"04013",6.3,5.8549375
"04015",11.8,9.79864583333332
"04017",11.7,10.0482083333333
"04019",6.8,6.76233333333334
"04021",8.3,7.71285416666666
"04023",6.5,8.72216666666666
"04025",10.7,8.68162499999999
"04027",7.6,8.60297916666665
"05001",11.1,9.88293750000003
"05003",11.3,10.9454583333333
"05005",12.3,10.0118541666667
"05007",6.1,5.67756250000001
"05009",9.2,9.50335416666668
"05011",10.9,9.83320833333335
"05013",9.4,9.40102083333332
"05015",10.8,9.13881249999999
"05017",12.3,11.0367708333333
"05019",9.1,8.10337500000002
"05021",12.1,11.1462083333333
"05023",10.5,9.81699999999999
"05025",12.3,9.49527083333335
"05027",8.7,9.17947916666663
"05029",11.8,9.69054166666669
"05031",9.1,7.33445833333335
"05033",10.5,9.20685416666666
"05035",9.2,8.86129166666665
"05037",10.7,9.94729166666668
"05039",11,9.73431249999999
"05041",13.1,11.150875
"05043",8.9,8.64
"05045",6.8,7.03652083333333
"05047",11.7,11.1030833333333
"05049",15.8,11.1885208333333
