"county_fips","per_stroke","pred_outcome"
"01001",3.7,3.231125
"01003",3.8,3.46239583333335
"01005",5.8,5.27077083333335
"01007",4.7,4.11383333333334
"01009",4.1,3.82716666666667
"01011",7.3,5.54891666666668
"01013",5.5,5.24733333333333
"01015",4.2,3.93418750000001
"01017",5.2,4.69495833333333
"01019",4.8,4.31977083333334
"01021",4,3.79985416666667
"01023",6,5.27002083333333
"01025",5.3,5.11747916666667
"01027",4.9,4.27283333333334
"01029",4.3,3.88664583333333
"01031",4.2,3.83493750000001
"01033",4.3,3.97343750000002
"01035",6.7,5.72552083333332
"01037",5.5,4.46293749999999
"01039",4.9,4.33554166666667
"01041",4.8,4.45764583333335
"01043",4,3.802375
"01045",4.4,4.10922916666667
"01047",6.6,5.70122916666667
"01049",4.6,4.27235416666665
"01051",3.7,3.36910416666668
"01053",5.5,4.73431250000001
"01055",4.5,4.0848125
"01057",5,4.37735416666667
"01059",4.7,4.08381250000001
"01061",4.9,4.4231875
"01063",8.4,6.3586875
"01065",5.8,5.29164583333335
"01067",4.9,4.4735
"01069",4.5,3.97933333333334
"01071",4.7,4.152875
"01073",4.1,3.47679166666667
"01075",5.1,4.367875
"01077",3.9,3.61693749999999
"01079",4.6,4.07110416666667
"01081",3.2,2.7839375
"01083",3.4,3.0325
"01085",7.2,5.81077083333334
"01087",5.7,5.14110416666667
"01089",3.2,2.78474999999999
"01091",5.5,5.01429166666667
"01093",4.8,4.2109375
"01095",4,3.72752083333334
"01097",4.3,3.74341666666666
"01099",5.9,5.24764583333333
"01101",4.5,3.92439583333332
"01103",4,3.58716666666666
"01105",7.4,5.93841666666666
"01107",5.2,4.99818750000001
"01109",4,3.74697916666666
"01111",4.7,4.29597916666668
"01113",4.8,4.52195833333334
"01115",3.7,3.49350000000001
"01117",3,2.79158333333333
"01119",5.8,5.63602083333334
"01121",4.8,4.38764583333333
"01123",4.9,4.46441666666667
"01125",3.4,3.30285416666666
"01127",4.4,4.16770833333334
"01129",4.9,4.61231250000001
"01131",7.3,6.00958333333334
"01133",5,4.46091666666667
"04001",6,5.37685416666667
"04003",4.3,4.058125
"04005",3.1,2.98029166666667
"04007",5.2,4.62841666666668
"04009",3.6,3.9271875
"04011",2.9,3.348625
"04012",6.8,5.03899999999999
"04013",3,2.95783333333334
"04015",5.2,4.58443750000001
"04017",5.2,5.03899999999998
"04019",3.6,3.4028125
"04021",3.8,3.74783333333333
"04023",4.1,4.272125
"04025",4.5,4.08345833333333
"04027",4.2,4.2213125
"05001",4.7,4.101125
"05003",5.7,4.75872916666667
"05005",5.2,4.49006250000001
"05007",2.8,2.769
"05009",4.1,3.93252083333334
"05011",5.3,4.58058333333333
"05013",4.6,3.99325
"05015",4.7,4.4053125
"05017",6.3,5.44952083333334
"05019",3.9,3.7141875
"05021",4.6,4.21285416666666
"05023",5,4.34925
"05025",4.7,4.27089583333334
"05027",4.4,4.28249999999998
"05029",4.8,4.09510416666666
"05031",3.5,3.294125
"05033",4,3.75360416666667
"05035",4.9,4.54668750000001
"05037",5,4.30897916666667
"05039",5.3,4.64043749999999
"05041",6.7,5.46287499999999
"05043",4.7,3.9871875
"05045",3.1,2.992625
"05047",4.7,4.29733333333334
"05049",5.7,4.51800000000001
"05051",4.5,4.01402083333333
"05053",3.7,3.50918750000001
"05055",4,3.71410416666666
"05057",5,4.70291666666666
"05059",4.4,4.02070833333333
"05061",4.6,4.49479166666666
"05063",4.2,4.01424999999999
"05065",5.3,4.48889583333334
"05067",4.8,4.3168125
"05069",5.2,4.53133333333333
"05071",4.4,3.92939583333333
"05073",6.7,5.5349375
"05075",4.7,4.08966666666666
"05077",6.3,5.65106250000001
"05079",4.2,4.26243750000001
"05081",4.9,4.33997916666666
"05083",4.5,3.92033333333334
"05085",3.3,3.22864583333333
"05087",4.4,4.28458333333332
"05089",5.4,4.77508333333335
"05091",4.7,4.2169375
"05093",4.6,4.41504166666668
"05095",6.1,5.27091666666667
"05097",5.4,4.77075
"05099",5.9,5.11118749999999
"05101",5,4.43049999999999
"05103",5.4,4.78683333333332
"05105",4.5,4.01139583333334
"05107",6.9,5.70852083333333
"05109",4.5,4.22485416666667
"05111",4.7,4.2141875
"05113",4.9,4.35927083333334
"05115",3.9,3.44779166666667
"05117",4.8,3.90820833333333
