"county_fips","per_obesity","pred_outcome"
"01001",39.8,36.7906666666667
"01003",35.2,33.9114375
"01005",46.8,42.8915624999999
"01007",43.9,39.2547708333334
"01009",36.1,37.9477708333334
"01011",51.3,45.5791875
"01013",40.4,42.0387083333334
"01015",38.6,38.5558541666667
"01017",41.5,40.8421875000001
"01019",39.5,37.6784791666667
"01021",40,37.792875
"01023",44.4,41.2635416666668
"01025",43.9,41.9515625
"01027",42.5,39.4645625
"01029",37.4,37.6145208333334
"01031",41,38.127625
"01033",37.5,38.6568750000001
"01035",46.4,42.9928333333334
"01037",41.9,39.0384166666667
"01039",37.9,38.6468125000001
"01041",40.5,39.5240833333334
"01043",36.4,38.473125
"01045",41.3,39.4758541666667
"01047",46.3,46.1483333333334
"01049",38.6,40.5995208333333
"01051",38.9,37.3841041666666
"01053",43.9,42.2787916666666
"01055",43.8,38.7314583333334
"01057",40.6,39.2200833333334
"01059",42.2,39.219625
"01061",42.3,40.3292083333333
"01063",52.7,46.4251875000002
"01065",47.6,44.3364583333334
"01067",41.3,37.3974583333334
"01069",40.5,39.0473333333333
"01071",39.3,37.73275
"01073",37.4,35.7278958333333
"01075",40.8,38.2167083333334
"01077",35.6,35.0269166666667
"01079",39.5,38.6138125
"01081",38.4,32.5400624999999
"01083",39.6,35.3509791666666
"01085",51.2,46.2768541666667
"01087",46.7,44.7934791666667
"01089",39.9,30.0584583333333
"01091",43.1,41.98375
"01093",42.4,38.4746250000002
"01095",37.6,38.6107916666667
"01097",39,38.7578333333333
"01099",43.8,41.6466666666667
"01101",46.1,36.6898125
"01103",38.6,38.0761250000001
"01105",52.9,46.6579166666668
"01107",48,42.6299375000001
"01109",40.3,38.8033750000001
"01111",37.8,38.1593333333334
"01113",43,42.2459791666667
"01115",39.6,38.0048125
"01117",31.7,29.6865833333333
"01119",47.2,46.2990625
"01121",45.6,40.2226458333334
"01123",39.5,37.8502083333333
"01125",41,37.8108749999999
"01127",35.8,38.0097916666667
"01129",41.1,40.2156458333334
"01131",51.2,46.2392708333335
"01133",39.1,39.153125
"04001",35.8,45.0834375
"04003",31.2,35.1742916666667
"04005",23.6,32.6571041666666
"04007",31.4,36.4728541666667
"04009",36,39.3819791666667
"04011",33.1,39.3971458333333
"04012",33.2,38.9721458333333
"04013",30.4,29.594875
"04015",32.7,36.8321666666666
"04017",37.6,41.3220833333334
"04019",31.1,30.9174166666666
"04021",38.4,37.5485208333333
"04023",34.2,40.3943333333333
"04025",27,32.1674166666666
"04027",37.4,39.9688333333333
"05001",39.1,39.0669791666666
"05003",45.1,40.7455
"05005",37.7,35.3312916666667
"05007",35.3,32.9
"05009",40.7,37.6980833333333
"05011",42.5,41.3366458333333
"05013",39.2,37.4195208333333
"05015",37.6,37.0759791666667
"05017",47.1,43.1549583333334
"05019",40,38.4963750000002
"05021",40.2,37.9811666666667
"05023",37.9,35.2943333333333
"05025",42.4,38.9657916666667
"05027",37.7,39.5354166666668
"05029",41.4,38.5932083333333
"05031",39.1,37.9233125000001
"05033",38.8,38.2999166666667
"05035",46.7,42.9058541666666
"05037",45,40.37275
"05039",41.9,38.2382916666666
"05041",46.6,43.8382708333333
"05043",43.8,38.7513333333335
"05045",39.8,35.3703333333333
"05047",39.8,39.5620416666667
"05049",39.6,36.8118958333334
"05051",39.1,35.209625
"05053",36.9,37.8317291666666
"05055",42.3,38.8565416666667
"05057",45.6,41.40625
"05059",37.1,38.4042916666667
"05061",39.4,41.0626666666666
"05063",41.6,39.4660833333334
"05065",41.2,35.5330625
"05067",43.9,40.6143958333334
"05069",45.9,41.5336041666667
"05071",37.4,38.8854166666667
"05073",46,41.265
"05075",43.7,39.4867500000001
"05077",46.9,45.2708541666666
"05079",42.6,40.675125
"05081",41.3,39.3768541666666
"05083",38.1,37.6646458333334
"05085",36.1,37.3489375
"05087",40.8,40.0139375000001
"05089",37.9,38.6546666666666
"05091",38.1,39.2820208333333
"05093",46.6,40.2043541666667
"05095",43.5,41.0331458333334
"05097",40.9,36.9035
"05099",44,42.5115625
"05101",38.6,36.3730000000001
"05103",43.5,40.7732916666667
"05105",38.9,38.9740000000001
"05107",48.4,44.3672708333334
"05109",38.3,38.28025
"05111",41.4,40.515375
"05113",40,37.7941250000001
"05115",44.6,35.8498333333333
"05117",40.3,37.7476041666667
"05119",40.5,35.0036458333333
"05121",41.4,40.1945625
"05123",48.2,45.1630625
"05125",34.5,36.2157291666667
"05127",37,38.6383333333334
"05129",39.9,39.3441041666665
"05131",36.2,36.7290625
"05133",41.4,41.8502708333333
"05135",39.4,38.4841875
"05137",39.8,38.2520208333333
"05139",39.4,39.4838541666668
"05141",39.6,38.3313541666667
"05143",35.4,32.5915833333334
"05145",39.7,38.5407083333334
"05147",39.2,39.3152291666667
"05149",42,38.0332291666667
"06001",22.8,24.2879166666666
"06003",28.4,30.7047916666666
"06005",29.6,34.0774166666667
"06007",29.3,32.9504375
"06009",29.8,34.5932916666666
"06011",35,39.1723958333333
"06013",28,26.5908333333333
"06015",31,37.7779375
"06017",27.7,30.16025
"06019",37.7,38.7291874999999
"06021",32.1,39.3273125
"06023",31.3,33.170375
"06025",34.7,42.3870625
"06027",28.2,33.9983541666667
"06029",36,38.2002708333333
"06031",34.7,39.4315625
"06033",32.7,37.2491666666667
"06035",34.2,37.732125
"06037",26.5,30.0598958333333
"06039",36.5,41.4061875
"06041",21.3,26.064875
"06043",30.5,33.8393958333333
"06045",29.3,34.5982083333334
"06047",33.8,41.6983749999999
"06049",31.9,35.632375
"06051",31.2,29.5833333333333
"06053",31.1,36.6466458333333
"06055",27.9,30.3573541666666
"06057",27.5,30.091375
"06059",23.9,26.7605625
"06061",27.3,30.6202083333333
"06063",29.9,34.0259583333334
"06065",36.8,36.0725625
"06067",29.6,32.3229166666666
"06069",31.5,39.0861666666666
"06071",33.3,37.7993333333332
"06073",25.3,27.1511458333334
"06075",17.2,21.607
"06077",30.7,37.7980208333332
"06079",26.1,29.7926458333333
"06081",22.3,24.1098958333333
"06083",26.1,30.4400208333333
"06085",21.9,22.063
"06087",25.8,29.8767708333333
"06089",29.3,36.5309791666667
"06091",32.5,34.2612708333333
"06093",31.8,35.5457083333333
"06095",31.3,34.9272500000001
"06097",26.1,30.7549791666666
"06099",36.4,36.2900416666666
"06101",29.5,38.139875
"06103",31.6,38.372875
"06105",33.3,37.4184166666667
"06107",35,40.5211458333333
"06109",29,34.1703020833333
"06111",25.7,28.9346875
"06113",25.7,32.159875
"06115",30.8,38.2853958333334
"08001",33.2,34.9059583333334
"08003",30.3,35.9085625
"08005",26.1,27.2173958333333
"08007",27.6,29.7095416666667
"08009",29.9,34.5640416666667
"08011",33.7,39.8327708333334
"08013",16.7,23.527875
"08014",22.3,25.265
"08015",25.7,25.934125
"08017",28.8,36.1726875
"08019",23.9,25.0475208333333
"08021",30.3,38.9253958333333
"08023",31.6,36.5257708333333
"08025",31.7,38.9529583333334
"08027",26.6,29.8877916666667
"08029",26.7,33.5664583333333
"08031",21.6,24.8962916666667
"08033",27.3,34.2035625
"08035",25.3,26.0164166666668
"08037",24.3,25.7443125
"08039",24.8,30.5927291666667
"08041",28.3,30.1220416666667
"08043",30.6,35.0633958333334
"08045",24,31.8187083333334
"08047",25.5,24.6066458333333
"08049",24.3,29.15
"08051",23.8,24.40375
"08053",23.5,28.5407291666667
"08055",27.5,33.3364583333333
"08057",30,33.1976458333333
"08059",23.1,25.736875
"08061",27.1,36.9852708333333
"08063",29.4,36.5047083333334
"08065",23.9,27.7961041666667
"08067",20.9,25.5789791666667
"08069",23.5,26.2652291666666
"08071",32.5,36.27
"08073",29.8,35.0955625
"08075",29.7,35.6104583333334
"08077",29.8,33.1993333333333
"08079",25.7,25.2785208333333
"08081",28.5,37.0185833333334
