"county_fips","per_highChol","pred_outcome"
"01001",41.3,36.5284583333334
"01003",42.8,37.7995624999999
"01005",43,39.9089791666666
"01007",42.4,39.1274375
"01009",42.2,39.5602083333333
"01011",43.2,39.8524791666667
"01013",43.4,41.1165625
"01015",40.4,38.5609375
"01017",41.8,39.834625
"01019",45.9,42.0658958333333
"01021",43.3,39.3733333333333
"01023",45.3,42.6903125
"01025",42,40.9593958333333
"01027",44.5,40.7227291666667
"01029",43.2,39.6530416666666
"01031",40.4,37.946875
"01033",42.7,38.8157708333333
"01035",45,42.936125
"01037",44.8,40.8364583333334
"01039",44.5,41.188375
"01041",42.5,40.5435416666667
"01043",41.5,39.7933541666667
"01045",42.1,38.7591458333334
"01047",44.1,39.8538125
"01049",42.6,39.6861041666667
"01051",40.6,36.857125
"01053",42.8,39.6019999999999
"01055",42.5,39.6395
"01057",43.4,41.1807916666667
"01059",43.7,39.3717708333333
"01061",43.6,41.3143333333333
"01063",45.1,42.8782083333333
"01065",42.1,40.3432083333333
"01067",43.9,41.2623333333333
"01069",40.2,38.4210833333333
"01071",43.2,40.863625
"01073",39.5,35.8984375000001
"01075",45.1,41.5117083333334
"01077",40.3,38.587875
"01079",42.7,39.9430208333334
"01081",36.5,32.2511666666666
"01083",40.4,36.2611666666666
"01085",43,40.9865
"01087",39.4,39.4684791666666
"01089",38.7,35.0508125
"01091",44.3,40.4935625
"01093",44.2,41.3606041666668
"01095",42.5,38.2734791666667
"01097",40.2,37.3768749999999
"01099",43.2,41.1118333333333
"01101",38.1,35.9036458333334
"01103",41.8,37.4963541666667
"01105",43.5,41.4711875
"01107",42.6,40.1312916666667
"01109",36.6,35.6185625
"01111",44.4,40.6057916666666
"01113",41.1,38.0420625
"01115",42.7,38.4312291666666
"01117",40.4,36.3808958333333
"01119",39.9,39.9401041666667
"01121",42.1,39.1096666666667
"01123",45.1,41.4954583333334
"01125",38,35.251375
"01127",41.9,40.4080416666666
"01129",43.3,40.3364791666667
"01131",43.9,41.9369791666667
"01133",45.9,42.0165833333334
"04001",33.8,38.4273125
"04003",40.9,38.2849791666666
"04005",31.6,33.4631666666667
"04007",40.6,40.1427708333333
"04009",33.2,36.6874583333333
"04011",34.8,34.8686666666666
"04012",43.4,42.3913333333332
"04013",36.5,35.6140833333333
"04015",41.9,40.73075
"04017",36.3,39.7584375
"04019",37.9,36.2693125
"04021",40.3,38.4375416666667
"04023",39.1,38.576125
"04025",41,39.7008958333333
"04027",35.9,39.5858958333334
"05001",39.5,38.3469375
"05003",42.2,40.6297291666667
"05005",41,42.2438958333334
"05007",32.8,35.0276249999999
"05009",40.2,38.9182916666667
"05011",41.7,39.5203333333333
"05013",41,39.6782708333333
"05015",42,41.2913541666666
"05017",41.9,40.3667916666666
"05019",35.6,36.4248958333333
"05021",41.1,40.7348333333333
"05023",42.5,40.5591458333333
"05025",40.7,40.1498333333334
"05027",35.9,37.5613125000001
"05029",41.3,39.7326250000001
"05031",36.4,35.2622916666666
"05033",40.8,38.440625
"05035",39.2,37.4380208333334
"05037",40.4,39.6223333333334
"05039",41.4,39.9837708333333
"05041",42,40.1025416666667
"05043",38.7,37.4503541666667
"05045",35.7,35.1450416666666
"05047",41.6,40.8853125000001
"05049",43.6,42.597
"05051",39.3,39.0983333333333
"05053",39.5,38.1821666666667
"05055",38.7,38.2889583333333
"05057",39.5,39.5239166666667
"05059",40.4,39.1791666666666
"05061",39.3,39.2466041666667
"05063",40.3,39.3873541666666
"05065",42.2,39.9627708333333
"05067",39.4,39.78325
"05069",39.4,37.8816666666667
"05071",40.5,39.171875
"05073",43.4,43.4966666666666
"05075",40.4,39.87075
"05077",39.7,41.139125
"05079",37.1,37.5400208333333
"05081",40.8,40.0690833333334
"05083",41.3,39.6777916666667
"05085",39,36.4703541666666
"05087",40.5,39.9626250000001
"05089",43.8,43.3981875
"05091",38.2,38.9893125
"05093",37.6,38.2927500000001
"05095",42.8,42.0600416666667
"05097",45.3,42.8144375
"05099",42.4,41.8400208333334
"05101",43.6,41.1175416666667
"05103",40.9,39.8124166666667
"05105",41.7,39.5178541666667
"05107",41.2,40.21775
"05109",41.8,40.6250625
"05111",40.8,39.774625
"05113",42.5,42.2195000000001
"05115",38.2,35.9515833333333
"05117",41.8,39.5503541666667
"05119",36.3,35.8730833333334
"05121",40.2,40.2477708333334
"05123",37.1,39.2888125
"05125",38.6,37.1149791666667
"05127",41.2,40.665625
"05129",44.9,43.3929583333333
"05131",40.2,36.9866875
"05133",39.3,38.5363333333335
"05135",43.4,42.5095416666666
"05137",44.4,43.4226666666666
"05139",40.4,38.4993958333333
"05141",43.5,43.2312083333333
"05143",33.3,33.2943124999999
"05145",39.2,38.4846041666667
"05147",42.5,42.1597083333333
"05149",41.4,38.7486041666667
"06001",33.4,33.7931874999999
"06003",38.5,36.5743333333334
"06005",38.9,39.3084583333333
"06007",33.9,34.8870833333333
"06009",40.7,40.756375
"06011",34.9,36.348875
"06013",36.1,35.5397916666667
"06015",37.1,37.3353958333333
"06017",36.3,36.9783541666666
"06019",32.7,34.6663333333333
"06021",35.3,37.5263541666667
"06023",35.5,35.3450833333333
"06025",35,36.3863333333333
"06027",37.3,38.5592499999999
"06029",33,34.2174166666667
"06031",31.8,34.1704583333334
"06033",38.9,38.8744374999999
"06035",34.5,37.3631875
"06037",36.9,34.9738333333333
"06039",34.4,37.3036458333333
"06041",37.3,36.8312291666666
"06043",40.6,40.0608541666667
"06045",39,38.3953124999999
"06047",35,35.2317291666667
"06049",41.1,42.8414791666667
"06051",35.1,35.3096041666667
"06053",35.2,35.182
"06055",36.4,36.3092916666667
"06057",38.5,38.5619375
"06059",36.6,35.1981666666667
"06061",36.4,36.0463958333333
"06063",41.4,39.8586458333333
"06065",36.7,35.7115
"06067",33.8,34.618375
