"county_fips","per_arthritis","pred_outcome"
"01001",34.5,27.1142708333333
"01003",34.6,29.6006875000001
"01005",37.1,33.5977291666667
"01007",33.9,31.2563541666667
"01009",34.6,30.8431458333333
"01011",35.3,33.0677291666666
"01013",38.1,34.9755416666667
"01015",35.4,31.1083124999999
"01017",36.8,33.6702708333334
"01019",43.6,34.1429166666667
"01021",32.7,31.1229166666667
"01023",41.8,35.8578750000001
"01025",37.3,34.8463541666666
"01027",36.6,34.7013125
"01029",37.4,31.4866666666667
"01031",33.2,29.2115
"01033",36.1,32.2202083333334
"01035",38.7,36.0601458333334
"01037",42.2,33.4664375
"01039",40.3,34.5448750000001
"01041",36,32.9046666666667
"01043",34.7,30.58925
"01045",35.6,30.6426666666667
"01047",38.5,35.0864375
"01049",38.3,31.7135
"01051",33,29.0580208333333
"01053",37.6,32.9980833333334
"01055",35.2,31.8611666666667
"01057",39.5,34.9285416666667
"01059",37.9,30.6474166666667
"01061",40.4,34.4475208333333
"01063",41.7,36.1761041666667
"01065",38.6,35.1070000000001
"01067",37.4,33.9013541666666
"01069",33.7,31.0775208333333
"01071",38,34.3045833333334
"01073",31.6,27.4248541666667
"01075",38.6,34.4957291666667
"01077",34.1,29.6644375
"01079",38.9,32.6103125
"01081",28,23.1682291666667
"01083",33.3,26.5943333333333
"01085",39.5,35.3673541666668
"01087",34.5,34.3325
"01089",28.1,23.4379791666667
"01091",38.9,34.0225416666666
"01093",38.9,34.3715208333334
"01095",35.4,29.4957291666666
"01097",33.3,30.1122083333333
"01099",40.5,34.54625
"01101",32,28.63075
"01103",34.6,28.9448958333333
"01105",39.3,37.0478541666667
"01107",37.1,34.2469583333334
"01109",28.7,27.7972083333333
"01111",36.7,33.4681041666667
"01113",32.7,30.1063958333333
"01115",34.7,29.6242291666667
"01117",29.2,25.4867916666666
"01119",34.5,35.1536458333334
"01121",40.3,32.818125
"01123",39.7,34.1141250000001
"01125",30.1,26.7761458333333
"01127",37.2,32.2192500000001
"01129",40.3,32.9102916666667
"01131",42.2,36.3133125000001
"01133",39.3,35.13175
"04001",32,30.8661875
"04003",29.9,30.9249583333333
"04005",23,23.2474166666667
"04007",37.1,33.6575416666667
"04009",24.5,27.0871041666666
"04011",24.5,25.0292083333333
"04012",40.3,34.0029583333334
"04013",24.1,23.6968125
"04015",38.4,33.0915000000001
"04017",30.1,32.115125
"04019",26.4,27.2979583333333
"04021",28.6,28.516875
"04023",24.7,30.4821666666667
"04025",35.3,33.2768541666666
"04027",26.4,29.02075
"05001",35.3,33.0190625000001
"05003",37.1,34.6123125000001
"05005",40.8,35.6229583333333
"05007",25.7,24.521375
"05009",35.7,31.923875
"05011",36.2,32.2606666666667
"05013",34.6,32.0913541666666
"05015",35.7,32.4680833333333
"05017",40.4,34.5709375
"05019",28.7,28.5685624999999
"05021",36,35.2058125
"05023",41.4,33.9583333333333
"05025",40.7,31.8854791666667
"05027",30,31.2338541666667
"05029",36.8,32.0071041666667
"05031",30.2,25.9785833333333
"05033",31.3,30.7562291666666
"05035",32.3,29.5819791666667
"05037",37,32.8643958333334
"05039",37.2,33.5430416666666
"05041",37.6,33.8232916666667
"05043",38.4,29.8912083333333
"05045",27.5,25.513875
"05047",36.5,34.5371874999999
"05049",42.4,35.9403541666667
"05051",35,31.8372916666666
"05053",32.2,30.6955416666667
"05055",33.1,30.3165416666666
"05057",37,32.3127083333333
"05059",35.9,30.9429583333333
"05061",33,32.2504166666666
"05063",38.1,31.6715833333333
"05065",36,32.6496666666666
"05067",34.4,32.2382708333334
"05069",33.3,30.9085
"05071",36.4,31.8188958333333
"05073",43.2,35.7740833333333
"05075",38.4,32.8613125
"05077",35.3,33.8392500000001
"05079",29.2,27.9146666666666
"05081",35.7,31.4683958333333
"05083",36.9,32.5880833333333
"05085",33.4,27.2495208333334
"05087",38.3,32.8442708333334
"05089",41.7,36.4137083333333
"05091",34.2,30.4162291666667
"05093",35.3,29.3125833333333
"05095",39.9,35.9186041666667
"05097",40.6,34.3733958333333
"05099",38.2,36.0695416666667
"05101",40.6,33.7031458333334
"05103",35.3,34.1913541666667
"05105",35.2,32.4615625
"05107",39.9,35.1186041666667
"05109",35.9,32.8578750000001
"05111",38.4,33.4630625
"05113",37.6,34.58725
"05115",34.1,28.8102291666667
"05117",37.5,31.8727916666667
"05119",29.1,27.3526458333334
"05121",36.1,33.3354375
"05123",34.8,32.7504166666667
"05125",30,29.0761666666667
"05127",36.5,32.9254166666667
"05129",40.1,36.1812291666667
"05131",31.1,28.7880625
"05133",28.6,28.8904791666667
"05135",42.4,36.3731666666667
"05137",41.9,36.3440208333333
"05139",32,31.5943333333333
"05141",40.9,36.0316458333333
"05143",25,22.6132708333333
"05145",33.2,30.4347291666666
"05147",38.7,34.7553125
"05149",34.6,30.1962708333334
"06001",20.5,19.0368541666666
"06003",26.9,30.9899166666666
"06005",30.3,30.9088958333333
"06007",25.1,26.8171666666667
"06009",31.9,33.721125
"06011",23.7,26.1219791666666
"06013",23,22.4543541666667
"06015",29.5,29.47275
"06017",30,28.7395208333333
"06019",22.2,23.5632708333333
"06021",25.8,28.6312083333334
"06023",26.9,27.4668541666667
"06025",21.3,24.8884791666667
"06027",28.7,30.8198125
"06029",21.1,22.2330625
"06031",21.4,21.7048333333333
"06033",29.7,32.0485625
"06035",24.7,27.6977291666667
"06037",19.3,21.4619583333334
"06039",24.8,28.8348958333334
"06041",26,26.0104583333334
"06043",33.1,33.3980208333333
"06045",28.5,31.8222916666667
"06047",23.5,23.6491666666666
"06049",32.8,33.813875
"06051",24.3,25.1362708333334
"06053",22.9,24.707
"06055",26.8,26.2371875
"06057",32.5,31.1478958333334
"06059",21.1,20.364625
