"county_fips","per_highCh","pred_outcome"
"51121",33.9,31.9889458333335
"51125",43.8,42.5661874999999
"51127",38.1,39.2256041666666
"51131",45,42.3615
"51133",45.1,43.7176083333333
"51135",40.2,39.0666208333333
"51137",40.1,38.8642291666667
"51139",42.7,41.8196666666666
"51141",43.4,43.3832583333334
"51143",43.9,42.8678041666666
"51145",40.7,39.4297374999999
"51147",35.7,37.4241791666666
"51149",32.8,37.3503875
"51153",36.3,35.0384833333333
"51155",42.6,41.5890166666668
"51157",43.8,42.7119499999999
"51159",39.7,39.1337458333334
"51161",39,37.5215208333334
"51163",43.2,43.0194833333333
"51165",39.9,39.3512458333334
"51167",43.5,43.0800208333333
"51169",44.1,42.9068666666667
"51171",40.2,40.3379375
"51173",41.7,42.8641416666667
"51175",41.1,40.6817333333333
"51177",37.4,37.5657166666667
"51179",35.7,35.9085
"51181",42.5,41.47225
"51183",37.7,39.03185
"51185",42.5,42.76615
"51187",38.2,39.2647083333332
"51191",42.1,42.5630583333333
"51193",43.8,41.9490416666667
"51195",40.4,41.3273375
"51197",42,42.1379666666667
"51199",38.3,37.5824041666666
"51510",35.5,35.9355083333333
"51520",41.2,40.871
"51530",38.1,39.1044666666667
"51540",34,32.8691625
"51550",35.1,36.8854958333333
"51570",38.4,38.2079041666666
"51580",41.5,40.9873875000001
"51590",40.6,40.3365958333333
"51595",39.6,38.8451375
"51600",36.9,36.3847708333333
"51610",36.5,36.2825583333333
"51620",39.1,37.7862624999999
"51630",32.7,32.0433
"51640",40.1,40.4441875
"51650",36.7,36.7421
"51660",31,32.2165041666666
"51670",38.9,37.605
"51678",29.6,35.4132458333334
"51680",32.8,33.7746333333333
"51683",36.1,34.3330541666666
"51685",36.2,34.6650791666666
"51690",39.5,39.1057208333333
"51700",36.3,35.6585124999999
"51710",34.6,33.6974083333333
"51720",39.7,42.0802625
"51730",37,38.2008125
"51735",39.1,38.2592041666666
"51740",37.5,35.4550583333334
"51750",30.3,30.7888833333335
"51760",34.5,35.4068833333333
"51770",37,38.5663458333333
"51775",38.7,39.3173875000001
"51790",39,37.9796708333334
"51800",39.2,37.1588666666667
"51810",39.5,37.5702791666666
"51820",38.5,38.9321541666666
"51830",32.2,36.1482124999999
"51840",38.7,36.4789708333333
"53001",34.1,32.0616541666667
"53003",37.6,36.9055875
"53005",36.4,34.6824208333333
"53007",35.7,34.9633458333333
"53009",41.3,37.9706291666667
"53011",33.5,33.8607708333333
"53013",39.2,37.6302208333333
"53015",34.6,34.5197041666667
"53017",34,34.2119416666666
"53019",41.2,38.9429041666667
"53021",31.3,32.7999124999999
"53023",38.5,38.2764083333333
"53025",34,34.0961791666666
"53027",39.1,37.3504291666666
"53029",36.8,37.9309791666666
"53031",43.2,39.8413375
"53033",34,31.4436666666667
"53035",34.1,33.9907208333333
"53037",32.4,34.071975
"53039",36.3,37.375575
"53041",38.8,37.3929416666666
"53043",39.3,39.1347083333333
"53045",39,37.8128416666666
