"county_fips","per_obesit","pred_outcome"
"01001",39.8,38.5141541666667
"01003",35.2,37.4887249999999
"01005",46.8,42.2789583333333
"01007",43.9,39.7525875
"01009",36.1,37.3199875
"01011",51.3,46.5137791666668
"01013",40.4,42.8709375
"01015",38.6,39.0132791666667
"01017",41.5,40.5794125
"01019",39.5,37.7424125
"01021",40,39.6250208333333
"01023",44.4,43.9680666666666
"01025",43.9,43.2339083333333
"01027",42.5,39.8795541666667
"01029",37.4,37.7390583333333
"01031",41,38.8743500000001
"01033",37.5,38.8364874999999
"01035",46.4,43.2880291666667
"01037",41.9,39.4688249999999
"01039",37.9,39.6703166666667
"01041",40.5,38.7000499999999
"01043",36.4,36.8807625
"01045",41.3,39.3064666666668
"01047",46.3,45.6429291666665
"01049",38.6,39.3230625
"01051",38.9,37.8811
"01053",43.9,43.6885708333333
"01055",43.8,38.4184874999999
"01057",40.6,38.5050708333334
"01059",42.2,39.7706166666667
"01061",42.3,40.3328291666666
"01063",52.7,48.0922666666667
"01065",47.6,44.4705708333333
"01067",41.3,39.0243791666666
"01069",40.5,39.4599875000001
"01071",39.3,36.8099833333333
"01073",37.4,39.8899249999999
"01075",40.8,38.5860666666668
"01077",35.6,36.9211083333334
"01079",39.5,39.4413458333334
"01081",38.4,36.3197541666667
"01083",39.6,35.9818666666666
"01085",51.2,46.5455624999999
"01087",46.7,44.0789708333332
"01089",39.9,37.2838291666666
"01091",43.1,44.26985
"01093",42.4,38.6940708333335
"01095",37.6,38.2975208333334
"01097",39,39.5669666666667
"01099",43.8,43.5947
"01101",46.1,40.696875
"01103",38.6,40.1060749999999
"01105",52.9,47.3657166666666
"01107",48,43.4073916666667
"01109",40.3,40.1199125
"01111",37.8,39.2648083333333
"01113",43,42.2916833333333
"01115",39.6,38.3177625
"01117",31.7,35.0875041666668
"01119",47.2,46.9330458333333
"01121",45.6,40.4688833333334
"01123",39.5,39.2126833333333
"01125",41,39.6758500000001
"01127",35.8,37.7422208333334
"01129",41.1,41.7844458333333
"01131",51.2,47.3198208333333
"01133",39.1,38.4066375000002
"04001",35.8,37.4623124999999
"04003",31.2,32.6729083333333
"04005",23.6,28.0204833333334
"04007",31.4,35.132725
"04009",36,36.0479791666667
"04011",33.1,33.3118833333334
"04012",33.2,35.1272541666668
"04013",30.4,26.6996166666666
"04015",32.7,36.0189041666668
"04017",37.6,37.2953041666667
"04019",31.1,28.9291625
"04021",38.4,34.3640875
"04023",34.2,34.4638125
"04025",27,28.4197875
"04027",37.4,37.2955500000001
"05001",39.1,39.2424458333334
"05003",45.1,42.2172375
"05005",37.7,37.5209208333333
"05007",35.3,35.4590833333332
"05009",40.7,39.3841833333333
"05011",42.5,41.5053541666667
"05013",39.2,39.9917041666667
"05015",37.6,39.5275875
"05017",47.1,44.1996750000001
"05019",40,39.2482166666666
"05021",40.2,38.7446916666667
"05023",37.9,37.8842708333333
"05025",42.4,39.3559416666667
"05027",37.7,40.0665583333332
"05029",41.4,39.7974875
"05031",39.1,40.9964208333334
"05033",38.8,39.3675708333334
"05035",46.7,42.2880249999999
"05037",45,40.8311291666667
"05039",41.9,40.0945666666667
"05041",46.6,44.6872333333334
"05043",43.8,40.1532958333334
"05045",39.8,37.3722375000001
"05047",39.8,38.96025
"05049",39.6,38.77085
"05051",39.1,36.2019291666668
"05053",36.9,37.9116458333334
"05055",42.3,38.2360333333334
"05057",45.6,41.0878791666667
"05059",37.1,37.0750458333335
"05061",39.4,40.2619208333333
"05063",41.6,39.7829916666667
"05065",41.2,39.416375
"05067",43.9,41.4676458333334
"05069",45.9,41.6226416666667
"05071",37.4,39.171775
"05073",46,42.4821416666667
"05075",43.7,40.1273083333333
"05077",46.9,45.9027375
"05079",42.6,41.0815708333333
"05081",41.3,39.9742291666667
"05083",38.1,38.647475
"05085",36.1,36.9537916666668
"05087",40.8,40.3372583333333
"05089",37.9,38.7301249999999
"05091",38.1,41.4114208333333
"05093",46.6,40.8046541666667
"05095",43.5,41.0981083333334
"05097",40.9,38.1248625
"05099",44,42.2740375
"05101",38.6,38.3703208333333
"05103",43.5,40.3990125
"05105",38.9,38.1107708333333
"05107",48.4,44.4475458333333
"05109",38.3,38.2780666666666
"05111",41.4,41.2584333333334
"05113",40,37.7254624999999
"05115",44.6,37.6755333333333
"05117",40.3,37.5860875
"05119",40.5,40.6511749999999
"05121",41.4,40.9300416666667
"05123",48.2,45.6889166666667
"05125",34.5,35.7789875000001
"05127",37,38.4502958333333
"05129",39.9,39.4818375
"05131",36.2,38.7881125
"05133",41.4,41.447125
"05135",39.4,38.9591083333332
"05137",39.8,39.1943916666666
"05139",39.4,39.7774833333334
"05141",39.6,39.0714458333333
"05143",35.4,35.1920208333332
"05145",39.7,37.323375
"05147",39.2,39.3962916666667
"05149",42,37.5110625000001
"06001",22.8,21.404525
"06003",28.4,27.1582291666667
"06005",29.6,30.6748833333334
"06007",29.3,30.7470791666667
"06009",29.8,30.5496541666667
"06011",35,31.8251583333333
"06013",28,24.1617250000001
"06015",31,33.0115333333334
"06017",27.7,27.0292041666667
"06019",37.7,30.1699375
"06021",32.1,32.9804
"06023",31.3,31.3404208333333
"06025",34.7,36.2255416666667
"06027",28.2,29.0823791666667
"06029",36,33.2286333333333
"06031",34.7,32.0057166666666
"06033",32.7,33.4786916666667
"06035",34.2,33.5508458333333
"06037",26.5,27.3140083333333
"06039",36.5,32.3288833333334
"06041",21.3,23.9398583333334
"06043",30.5,30.1836125
"06045",29.3,31.6291166666667
"06047",33.8,32.1518916666666
"06049",31.9,32.5284833333334
"06051",31.2,30.0725
"06053",31.1,27.3465875
"06055",27.9,27.6682875
"06057",27.5,27.1347166666666
"06059",23.9,24.29365
"06061",27.3,24.7323208333334
"06063",29.9,30.3762041666667
"06065",36.8,28.5143208333333
"06067",29.6,26.5839
"06069",31.5,29.7029375
"06071",33.3,33.2562083333334
"06073",25.3,24.3924625
"06075",17.2,20.4244083333334
"06077",30.7,29.6290375
"06079",26.1,26.7430083333334
"06081",22.3,21.4262291666667
"06083",26.1,29.0680416666667
"06085",21.9,20.1694666666667
"06087",25.8,26.0963833333333
"06089",29.3,32.0457708333333
"06091",32.5,31.2945708333334
"06093",31.8,32.3054250000001
"06095",31.3,27.7224166666666
"06097",26.1,27.60525
"06099",36.4,29.9062708333333
"06101",29.5,30.3580375
"06103",31.6,33.0124
"06105",33.3,32.6781666666667
"06107",35,32.64585
"06109",29,30.1433083333334
"06111",25.7,27.2661541666666
"06113",25.7,26.1800625
"06115",30.8,33.0133
"08001",33.2,30.4922416666667
"08003",30.3,32.0379166666667
"08005",26.1,24.7013583333333
"08007",27.6,26.4223208333333
"08009",29.9,33.8637916666667
"08011",33.7,32.9630916666667
"08013",16.7,21.5893041666666
"08014",22.3,24.5355625
"08015",25.7,24.2064375
"08017",28.8,37.9221291666667
"08019",23.9,25.0912583333334
"08021",30.3,30.8446666666667
"08023",31.6,32.7830583333333
"08025",31.7,32.5679958333333
"08027",26.6,25.7258875
"08029",26.7,27.5004291666667
"08031",21.6,24.3706708333333
"08033",27.3,29.9592666666667
"08035",25.3,22.6887208333333
"08037",24.3,23.3365791666666
"08039",24.8,26.9218166666667
"08041",28.3,26.0234833333333
"08043",30.6,30.6909875
"08045",24,26.897
"08047",25.5,25.3955875
"08049",24.3,25.1056
"08051",23.8,23.4863625
"08053",23.5,24.4924875
"08055",27.5,31.9408291666666
"08057",30,29.0631666666667
"08059",23.1,25.1621875
"08061",27.1,33.1657541666667
"08063",29.4,35.9936
"08065",23.9,24.2580666666666
"08067",20.9,25.259825
"08069",23.5,25.1743416666667
"08071",32.5,33.06755
"08073",29.8,32.6749583333333
"08075",29.7,34.6851583333333
"08077",29.8,27.0900541666667
"08079",25.7,24.1641625
"08081",28.5,30.5975458333333
"08083",28.4,27.6657625
"08085",27.5,28.112125
"08087",32.1,30.4585291666666
"08089",34.6,33.0762125
"08091",23.3,24.1456958333334
"08093",23.5,26.0485791666667
"08095",28.9,34.0239083333334
"08097",20.7,22.7037125
"08099",29.2,32.3641
"08101",32.1,31.9758875
"08103",26.7,27.0659958333333
"08105",27.7,28.0051708333333
"08107",23.7,23.0743416666667
"08109",29.1,28.5196583333333
"08111",26.4,26.6534833333334
"08113",26.3,23.4358333333334
"08115",28,36.9564875
"08117",24.4,23.4867833333333
"08119",24.1,26.3733958333333
"08121",26.4,35.6258583333334
"08123",33.8,26.8457208333334
"08125",28.4,32.6429125
"10001",43.5,36.7069416666666
"10003",33.4,33.4987916666667
"10005",33.8,34.7506708333333
"11001",24.7,27.2245041666667
"12001",30.9,36.2144833333334
"12003",35.3,38.7942041666667
"12005",33.4,37.9626875
"12007",34.9,39.0743083333333
"12009",34,32.8255750000001
"12011",30.6,34.2623750000001
"12013",40,40.5848791666667
"12015",30.6,34.8966375000001
"12017",32.3,37.0715791666667
"12019",34.9,34.8941708333334
"12021",26.6,33.6793833333334
"12023",39.7,38.7143666666666
"12027",41,41.1723416666667
"12029",34.7,39.4188833333333
"12031",34.3,33.8535708333334
"12033",35.8,38.9826416666667
"12035",30.6,33.3775750000001
"12037",32.3,38.8752291666667
"12039",44.6,42.5020333333334
"12041",34.5,38.2431125
"12043",37.1,40.6613583333333
"12045",35.3,38.3430375
"12047",41.5,41.9727708333333
"12049",39.9,41.399975
"12051",37.6,41.748175
"12053",36.1,36.851925
"12055",36.7,36.106325
"12057",31.6,36.4534166666667
"12059",36.3,41.6494874999999
"12061",26.6,32.8428625000001
"12063",38.7,38.9118875
"12065",35.1,38.8637916666667
"12067",34.7,39.2291583333334
"12069",35.3,34.5614916666667
"12071",30.4,34.1219208333334
"12073",33.1,38.2754875
"12075",33.8,38.5642166666666
"12077",44.5,39.9301291666667
"12079",38,40.4118541666667
"12081",32.1,35.6583125
"12083",36.4,36.0951125
"12085",27,33.8637583333334
"12086",29.5,34.5473791666667
"12087",25.8,34.9180291666667
"12089",33.7,35.0163916666667
"12091",30.7,37.3861958333333
"12093",43.9,39.4592375
"12095",33.5,34.3562916666667
"12097",39.8,35.314525
"12099",26.6,33.9943708333334
"12101",31.8,35.8746916666667
"12103",31.5,35.5588916666667
"12105",40.2,36.4374083333334
"12107",33.1,39.4787291666667
"12109",29.2,34.0738833333334
"12111",31.5,35.1263958333333
"12113",32.1,37.7397083333334
"12115",29.2,35.4836125
"12117",29.5,34.1416666666668
"12119",29.5,34.7680458333334
"12121",38.3,38.2578416666667
"12123",40.8,38.2915333333334
"12125",41.6,39.8674916666666
"12127",32.7,34.7449541666667
"12129",38.9,37.6407000000001
"12131",30.1,38.1802374999999
"12133",40.1,42.0108208333333
"13001",40.6,39.3451291666666
"13003",44,41.4244208333333
"13005",36.9,39.5559541666667
"13007",43.3,41.6991375
"13009",38.7,38.8453958333332
"13011",34.5,34.0306458333333
"13013",35.3,37.2579750000001
"13015",38.7,35.2605166666667
"13017",41.5,42.2291416666666
"13019",38.1,38.1687458333333
"13021",44.7,40.0182208333332
"13023",37.7,37.2809333333334
"13025",39,38.6045458333333
"13027",40.2,41.4746916666667
"13029",33.5,34.9360541666667
"13031",38.9,35.7782
"13033",40.1,39.0819875
"13035",38.2,37.1562958333334
"13037",43.6,43.1121666666667
"13039",37.2,36.7844
"13043",42.2,39.5175833333334
"13045",34.2,35.8639041666666
"13047",34.1,33.9622208333333
"13049",41.5,41.8981916666667
"13051",33,33.3875416666667
"13053",35.8,36.0057916666667
"13055",35.2,38.3296333333334
"13057",33.5,30.8479583333332
"13059",30.2,32.6542458333334
"13061",41.2,40.3988583333333
"13063",45.2,41.3189291666666
"13065",41.9,40.8859
"13067",29.9,30.5335708333334
"13069",39.3,41.5081833333333
"13071",35.7,39.6001541666666
"13073",33.1,35.1078708333333
"13075",37.6,40.0380708333333
"13077",35.7,33.9112291666667
"13079",37.3,37.5107916666666
"13081",44.6,40.8553708333334
"13083",35.1,35.8623541666666
"13085",31.6,32.8687249999999
"13087",42.2,41.2008
"13089",31.8,32.6098
"13091",40.4,39.8239041666667
"13093",41,40.5372083333334
"13095",41.9,40.9987291666667
"13097",36.3,35.1425208333333
"13099",40.7,41.0137791666667
"13101",38.3,39.0062583333333
"13103",37.9,37.1801041666667
"13105",38.2,39.7022125
"13107",42.7,41.7812875
"13109",42.4,39.6340166666667
"13111",38.2,34.1114
"13113",30.7,30.2649375
"13115",37.3,36.8671333333333
"13117",27.7,28.0726374999999
"13119",39,37.0409708333333
"13121",28.2,30.6005458333333
"13123",34.2,34.6356375
"13125",37.6,35.9943374999999
"13127",35.1,35.2945500000001
"13129",35.3,35.8862958333334
"13131",38.5,39.7639208333333
"13133",33.7,34.4198166666667
"13135",34.9,32.5808583333333
"13137",32.2,35.2183458333333
"13139",32.3,37.0714791666667
"13141",44.8,41.1409458333333
"13143",36.2,35.26895
"13145",33,34.421525
"13147",35.1,35.5417416666667
"13149",35.6,38.3632416666667
"13151",45.2,37.3932291666666
"13153",39.7,37.2255625
"13155",40.3,39.1043625
"13157",33,34.4458916666666
"13159",37.1,36.7156458333333
"13161",40.4,40.7060208333334
"13163",41.3,39.8183541666666
"13165",42.5,42.4089291666667
"13167",43.5,39.777925
"13169",39.8,35.722975
"13171",36.6,35.1115083333333
"13173",40.9,40.2530666666667
"13175",44,39.6320166666667
"13177",39.2,35.5129750000001
"13179",32.3,37.5778666666667
"13181",38,38.6112166666667
"13183",38.4,38.4351
"13185",38.7,38.41345
"13187",28.9,33.7565625
"13189",38.9,38.388425
"13191",40.7,38.5450833333333
"13193",43.8,43.1718458333334
"13195",38.1,36.6838166666666
"13197",38.6,40.7250666666667
"13199",41.4,42.3677791666667
"13201",41.8,38.0605208333332
"13205",45.1,42.1563
"13207",34.9,35.3998833333333
"13209",39.4,37.9223375
"13211",31.7,33.5946166666666
"13213",41.5,35.5115166666667
"13215",40.3,38.5134666666666
"13217",42.4,39.3885583333333
"13219",28.8,29.4341416666666
"13221",36.4,34.4251
"13223",38.4,35.2109208333333
"13225",39.3,38.5098291666666
"13227",35,33.7700208333334
"13229",36.4,37.8755583333333
"13231",36,34.13005
"13233",40.4,37.697
"13235",40.8,38.9242583333333
"13237",39.4,37.0291875
"13239",42.3,41.0311
"13241",34.2,33.9114083333334
"13243",45.6,44.1501375
"13245",36.6,40.2962458333334
"13247",39,39.0702875
"13249",37.4,35.9522375
"13251",40,38.2407916666666
"13253",39.4,38.4067874999999
"13255",39.7,40.8401458333333
"13257",38.5,36.1413875
"13259",41.6,44.0361583333334
"13261",39.5,39.8406166666666
"13263",43.1,41.6022375
"13265",41.7,41.4419374999999
"13267",40.7,41.4191666666666
"13269",42.4,41.9386833333333
"13271",43,42.6155458333332
"13273",43.6,43.4565583333333
"13275",39.2,38.58705
"13277",39.4,39.3667791666666
"13279",40.6,39.2896208333333
"13281",31.9,33.5040875
"13283",41.2,41.5585458333333
"13285",36,40.9862
"13287",44.4,40.851325
"13289",39.7,38.78105
"13291",34.5,32.9104333333334
"13293",39.2,38.8132916666668
"13295",38,36.7923708333333
"13297",38.3,35.9634416666666
"13299",41.3,40.9961166666667
"13301",43.5,40.3587833333333
"13303",43.1,38.6031666666666
"13305",43.3,40.1552
"13307",42.2,42.5071416666666
"13309",41.3,41.3979458333333
"13311",35,32.8998291666667
"13313",37.9,36.2747958333334
"13315",42.6,40.9514750000001
"13317",40.6,38.7622833333333
"13319",41,39.3824791666666
"13321",38.9,39.3866333333334
"16001",29,31.5907958333333
"16003",34.2,33.1199583333334
"16005",33,35.6400791666667
"16007",31,32.3295125
"16009",36.3,34.0974666666666
"16011",39,36.1808083333334
"16013",23.1,30.091575
"16015",31.9,32.8796583333334
"16017",32.2,32.2079375
"16019",33.3,34.0627791666667
"16021",33.3,34.1667291666667
"16023",35.5,34.83755
"16025",29.7,33.5454333333333
"16027",35.3,35.37135
"16029",34.8,33.4094208333333
"16031",37.5,34.8844208333334
"16033",36,33.7997166666667
"16035",31.8,33.8696291666667
"16037",31.5,32.8425125
"16039",34.2,35.4181958333334
"16041",35.7,33.1298
"16043",32.7,32.2411958333334
"16045",32.9,35.2851666666666
"16047",34.1,36.1233
"16049",31.8,33.70395
"16051",33.1,33.2953458333334
"16053",35.8,36.1189958333334
"16055",31.7,32.0952041666667
"16057",29,31.2092708333333
"16059",30.4,33.2646416666667
"16061",35.2,33.9600541666666
"16063",34.2,33.8263958333334
"16065",26.2,31.4484374999999
"16067",36.4,35.9328083333334
"16069",37.7,32.2280958333333
"16071",31.9,32.7677875
"16073",33.4,34.4346708333334
"16075",31.4,36.0588041666667
"16077",37.5,34.8196625
"16079",36.1,35.1652958333333
"16081",32,29.1137708333334
"16083",33.3,35.5661958333333
"16085",34,30.76305
"16087",33.4,34.1403625
"17001",37.8,35.9206208333333
"17003",45.3,40.7219625000001
"17005",39,37.7146333333334
"17007",36.8,35.4039458333334
"17009",41.5,38.6638333333334
"17011",38.1,37.2035416666667
"17013",35.3,36.338175
"17015",38.8,38.0397666666667
"17017",40.6,38.0202333333333
"17019",31.1,32.7238333333334
"17021",38.1,37.5406125
"17023",37.3,37.1132
"17025",41.5,37.2193875
"17027",40.2,36.7099500000001
"17029",37.7,36.3468791666666
"17031",31,31.9387875
"17033",40.1,36.6213874999999
"17035",38.7,36.9405166666666
"17037",35.1,35.5369
"17039",38.2,36.4790708333333
"17041",38.5,35.8388499999999
"17043",29.2,32.2198708333333
"17045",37.5,36.8770770833333
"17047",40.3,38.2959208333333
"17049",34.3,36.6759708333334
"17051",39.8,37.680725
"17053",37.7,37.5137416666667
"17055",41.6,37.6965833333333
"17057",39.9,38.0602333333333
"17059",40.8,38.1258583333334
"17061",40.2,38.3678208333334
"17063",36.4,34.6859375000001
"17065",40,37.6257625
"17067",38.8,37.6358708333333
"17069",39.7,37.9593916666667
"17071",38.6,38.4779791666667
"17073",36.9,35.7386541666666
"17075",40.6,37.6634041666667
"17077",39.8,36.630725
"17079",38.2,36.8965416666667
"17081",39.8,37.1565708333333
"17083",39,35.8098125
"17085",36.1,35.7425583333333
"17087",41.4,38.2987083333333
"17089",35.1,32.2218875000001
"17091",39.8,37.341125
"17093",39.7,32.6922083333334
"17095",39.2,39.7329750000001
"17097",32.9,31.6155125000001
"17099",37.8,37.8511083333333
"17101",40.7,38.2214125000001
"17103",38.9,37.8838
"17105",35.9,37.2703291666667
"17107",38.5,37.06705
"17109",36.3,37.0326416666666
"17111",32.1,32.7302208333334
"17113",34.5,34.2471833333334
"17115",42.1,36.9783416666667
"17117",37,36.5939194444445
"17119",38.7,36.3951583333333
"17121",39.5,37.8523916666667
"17123",38.6,37.1973375
"17125",37.3,37.50755
"17127",40.8,38.2653833333333
"17129",37.9,35.5810958333333
"17131",38.6,38.8281041666667
"17133",35.5,34.0393916666668
"17135",39.1,37.4618
"17137",39.9,37.1046339285715
"17139",38.4,35.9393291666667
"17141",40.9,36.4541041666667
"17143",34.8,34.284325
"17145",40.7,38.5118875000001
"17147",35.1,35.2133
"17149",40.6,38.2239125
"17151",39.6,38.868475
"17153",45.6,42.2744458333333
"17155",36.1,36.8060666666667
"17157",38.8,38.5564291666666
"17159",39.4,36.7420166666667
"17161",39.6,37.1907708333332
"17163",38.8,38.5941333333333
"17165",40.3,37.4375208333333
"17167",39.6,35.4423083333333
"17169",40.4,38.9409875000001
"17171",38.4,37.398875
"17173",37.6,36.3627166666667
"17175",38.2,37.0394958333333
"17177",40.6,38.3818125
"17179",36.3,35.7442333333333
"17181",39.8,37.3579
"17183",43.8,38.1781833333334
"17185",39.8,37.3591416666667
"17187",37,37.8460875
"17189",36.8,36.0173291666667
"17191",39.9,37.2894499999999
"17193",39.2,37.8261583333333
"17195",36.2,37.4601708333333
"17197",38,31.7874500000001
"17199",40.1,36.0012166666666
"17201",42,38.6612708333333
"17203",37.3,34.6537374999999
"18001",41.7,38.7389625
"18003",39.4,36.9573791666667
"18005",38.9,36.5553916666667
"18007",42.4,37.702225
"18009",44.3,39.4982708333333
"18011",32.9,34.4407375
"18013",36.1,37.0291541666667
"18015",41.6,38.3506249999999
"18017",47.4,38.6806708333333
"18019",43.9,37.9360833333334
"18021",43.3,37.8382291666666
"18023",40.2,37.7138458333333
"18025",43.6,40.7225833333333
"18027",41.4,36.9943333333332
"18029",35.8,37.1606666666667
"18031",37.6,37.6632708333334
"18033",43.7,37.5815875
"18035",36.6,39.5321416666667
"18037",40,37.9809375
"18039",43.8,37.6172041666666
"18041",44.9,40.2164583333334
"18043",37.6,37.1966875000001
"18045",42.6,38.9781583333333
"18047",40.8,38.5002041666667
"18049",41.7,37.9785083333333
"18051",39.4,37.8792375
"18053",41.1,39.6415000000001
"18055",40.7,38.2994166666666
"18057",32.5,32.0002208333334
"18059",39.9,35.0019166666667
"18061",42.7,37.8689833333333
"18063",36.4,33.7995375
"18065",43.7,38.5951291666667
"18067",36.5,39.9980125000001
"18069",39.9,38.5552041666667
"18071",39.6,38.5182458333334
"18073",40.2,35.881175
"18075",43.6,39.3201
"18077",36.6,38.93645
"18079",41.2,39.8370880952381
"18081",38.8,36.3879333333334
